well,cluster_k6,stability
ceh11,1,0.6582836401348198
ceh23,1,0.9926377597109304
ceh25,1,0.9570062574702947
ceh26,1,0.9813519813519813
ceh27,1,0.9596476271668087
ceh5,1,0.9686612691253063
ceh6,1,0.9420574162679426
D38,2,0.6404199475065617
D7,2,0.7486772486772487
D9,2,0.6855670103092784
L7,2,0.7633587786259542
T41a,2,0.7690355329949239
ceh10,2,0.5671641791044776
D10,3,0.9119804400977995
D15,3,0.6332518337408313
D17,3,0.9464285714285714
D41,3,0.9319899244332494
D43,3,0.8072916666666666
D44,3,0.9192708333333334
D5,3,0.912718204488778
D6,3,0.9444444444444444
D8,3,0.9396984924623115
T41b,3,0.9429280397022333
T41c,3,0.941320293398533
T41d,3,0.9484029484029484
WMC1,3,0.941320293398533
ceh24,3,0.9398496240601504
ceh28,3,0.7866666666666666
ceh40,3,0.5478036175710594
ceh41,3,0.5749385749385749
nw 4b,3,0.9591836734693877
nw3,3,0.8110236220472441
nw4,3,0.9534883720930233
Ceh32,4,0.9907160980722027
ceh13,4,0.8956743002544529
ceh14,4,0.8587324256561617
ceh2,4,0.9987468671679198
ceh20,4,1.0
ceh30,4,1.0
ceh33,4,1.0
ceh34,4,1.0
nw10,4,1.0
ceh16,5,0.9841829630078102
ceh17,5,0.9962311557788945
ceh19,5,0.9879518072289157
ceh31,5,0.8505995203836931
nw9,5,0.9987893462469734
D25,6,0.4543114074034804
WMC2,6,0.5832988708848703
ceh 1,6,0.47211469267227474
ceh18,6,0.21413779370768618
ceh21,6,0.11773399014778324
ceh36,6,0.4639403386515068
ceh39,6,0.5590312931431201
ceh4,6,0.0961691533862855
ceh42,6,0.19902282844152444
ceh9,6,0.5245571269193317
nw1,6,0.4039426586187535
nw11,6,0.4818756515013955
nw13,6,0.3019910760330949
nw2,6,0.43172713247735645
nw5,6,0.5277693713081588
nw6,6,0.518088970403136
nw7,6,0.31224886951921504
wmc3,6,0.34729157620495005
wmc4,6,0.3283757677828413
