date,time,wellId,fieldName,depth_m,wte_mAOD,groundElev_mAOD,pipeElev_mAOD
01 Jul 2026,09:21:56,CEH27,,0.73,10.209999999999999,10.9,10.94
01 Jul 2026,09:30:31,D15,,0.74,9.781,10.371,10.521
01 Jul 2026,09:40:30,NW3,,0.87,9.836,10.656,10.706
01 Jul 2026,09:40:56,D5,,0.89,9.709999999999999,10.5,10.6
