Easting,Northing,Thickness_m
239200,362350.0,11.367785945359705
239250,362350.0,11.37542183806029
239300,362350.0,11.382940748790645
239350,362350.0,11.390314780015864
239400,362350.0,11.397513877814132
239450,362350.0,11.404505870054384
239500,362350.0,11.411256548532128
239550,362350.0,11.417729800298332
239600,362350.0,11.423887791930719
239650,362350.0,11.42969120807249
239700,362350.0,11.435099542005364
239750,362350.0,11.440071431194138
239800,362350.0,11.444565024620982
239850,362350.0,11.448538361495284
239900,362350.0,11.45194973302372
239950,362350.0,11.454757991115159
240000,362350.0,11.45692276125267
240050,362350.0,11.458404512602868
240100,362350.0,11.459164438144466
240150,362350.0,11.459164102436233
240200,362350.0,11.458364825487424
240250,362350.0,11.456726788369206
240300,362350.0,11.45420786941461
240350,362350.0,11.450762248225411
240400,362350.0,11.446338846911255
240450,362350.0,11.44087971235429
240500,362350.0,11.434318477786976
240550,362350.0,11.426579074027186
240600,362350.0,11.417574886953215
240650,362350.0,11.407208573699128
240700,362350.0,11.395372749670841
240750,362350.0,11.381951734252434
240800,362350.0,11.366824485632447
240850,362350.0,11.349868753498475
240900,362350.0,11.33096632087519
240950,362350.0,11.310008985092527
241000,362350.0,11.286904648404985
241050,362350.0,11.261582590705611
241100,362350.0,11.233996785371128
241150,362350.0,11.204126197866914
241200,362350.0,11.171971669591304
241250,362350.0,11.137550498410103
241300,362350.0,11.100892106391687
241350,362350.0,11.062040423528336
241400,362350.0,11.021069170846143
241450,362350.0,10.978113317409822
241500,362350.0,10.933413065746683
241550,362350.0,10.887357388478366
241600,362350.0,10.840505634155662
241650,362350.0,10.793561929632919
241700,362350.0,10.7472827552214
241750,362350.0,10.702318268644905
241800,362350.0,10.65902193158823
241850,362350.0,10.617294215459543
241900,362350.0,10.576526870197577
241950,362350.0,10.535675228575043
242000,362350.0,10.493437913540857
242050,362350.0,10.448504331239192
242100,362350.0,10.399833461569456
242150,362350.0,10.346912803806136
242200,362350.0,10.289915354470162
242250,362350.0,10.229685667375279
242300,362350.0,10.167569119676473
242350,362350.0,10.105180843709407
242400,362350.0,10.044214907049263
242450,362350.0,9.986331454376389
242500,362350.0,9.933090021009216
242550,362350.0,9.885859710281593
242600,362350.0,9.845652877062985
242650,362350.0,9.812915140642597
242700,362350.0,9.787409532545238
242750,362350.0,9.768319050136473
242800,362350.0,9.754528583105662
242850,362350.0,9.744918517271955
242900,362350.0,9.738542459796367
242950,362350.0,9.734677427753997
243000,362350.0,9.732798792797924
243050,362350.0,9.73253092976863
243100,362350.0,9.733600813974633
243150,362350.0,9.73580321152797
243200,362350.0,9.73897727863648
243250,362350.0,9.742991735002612
243300,362350.0,9.747735748097204
243350,362350.0,9.753113377157451
243400,362350.0,9.75904015043684
243450,362350.0,9.765440892302898
243500,362350.0,9.772248275933286
243550,362350.0,9.77940179913844
243600,362350.0,9.786847011882324
243650,362350.0,9.794534899150053
243700,362350.0,9.8024213648896
243750,362350.0,9.810466785997994
243800,362350.0,9.818635618066567
243850,362350.0,9.826896041591345
239200,362400.0,11.382350602170373
239250,362400.0,11.390598459959662
239300,362400.0,11.39874839481482
239350,362400.0,11.406771455751818
239400,362400.0,11.41463624826032
239450,362400.0,11.422308958916261
239500,362400.0,11.429753432423656
239550,362400.0,11.436931309298505
239600,362400.0,11.443802231209212
239650,362400.0,11.45032411862876
239700,362400.0,11.456453521592577
239750,362400.0,11.462146038686413
239800,362400.0,11.467356791721942
239850,362400.0,11.472040933946849
239900,362400.0,11.476154158502537
239950,362400.0,11.479653162090255
240000,362400.0,11.482496007862393
240050,362400.0,11.484642323292721
240100,362400.0,11.486053265288653
240150,362400.0,11.48669118805594
240200,362400.0,11.486518960652141
240250,362400.0,11.485498901383021
240300,362400.0,11.483591324881909
240350,362400.0,11.48075273374561
240400,362400.0,11.476933728367932
240450,362400.0,11.472076754284492
240500,362400.0,11.466113853922842
240550,362400.0,11.45896463668515
240600,362400.0,11.450534724314698
240650,362400.0,11.440714962440396
240700,362400.0,11.42938170687313
240750,362400.0,11.416398484887505
240800,362400.0,11.401619284254439
240850,362400.0,11.38489361835854
240900,362400.0,11.366073330219246
240950,362400.0,11.345020801737922
241000,362400.0,11.32161779950291
241050,362400.0,11.295773616579458
241100,362400.0,11.267430552686386
241150,362400.0,11.236564399097428
241200,362400.0,11.203178044975838
241250,362400.0,11.16728842236655
241300,362400.0,11.12891129226061
241350,362400.0,11.088053976129313
241400,362400.0,11.044729846095537
241450,362400.0,10.999005633452454
241500,362400.0,10.951081032114939
241550,362400.0,10.901382459721981
241600,362400.0,10.850635226601538
241650,362400.0,10.799865815483061
241700,362400.0,10.750285083213102
241750,362400.0,10.703029823953793
241800,362400.0,10.658809634260766
241850,362400.0,10.617592349630186
241900,362400.0,10.578480664170522
241950,362400.0,10.539833696818837
242000,362400.0,10.499560255612728
242050,362400.0,10.455495261824353
242100,362400.0,10.405841332905641
242150,362400.0,10.349637926694138
242200,362400.0,10.287077671274838
242250,362400.0,10.219461613224986
242300,362400.0,10.14881634815006
242350,362400.0,10.07743346948932
242400,362400.0,10.007569845743463
242450,362400.0,9.941361840574107
242500,362400.0,9.880858178506418
242550,362400.0,9.827999109349218
242600,362400.0,9.784359537143812
242650,362400.0,9.75065573569175
242700,362400.0,9.72638477512593
242750,362400.0,9.710020712390486
242800,362400.0,9.69965782024952
242850,362400.0,9.693593594990132
242900,362400.0,9.690570325216536
242950,362400.0,9.689752062399652
243000,362400.0,9.690606874495867
243050,362400.0,9.6927940677807
243100,362400.0,9.696085079649423
243150,362400.0,9.700315252210075
243200,362400.0,9.70535659533819
243250,362400.0,9.711103088521346
243300,362400.0,9.717462957210389
243350,362400.0,9.72435464899426
243400,362400.0,9.731704700584107
243450,362400.0,9.73944653987062
243500,362400.0,9.747519737275335
243550,362400.0,9.755869468910122
243600,362400.0,9.764446080311815
243650,362400.0,9.773204701199546
243700,362400.0,9.782104890503584
243750,362400.0,9.791110303622819
243800,362400.0,9.800188379029043
243850,362400.0,9.809310043132124
239200,362450.0,11.397054845595106
239250,362450.0,11.405946002649417
239300,362450.0,11.414760998465368
239350,362450.0,11.423469844127606
239400,362450.0,11.43203977070496
239450,362450.0,11.440435230599734
239500,362450.0,11.448617960074886
239550,362450.0,11.45654711503766
239600,362450.0,11.464179491591588
239650,362450.0,11.471469840948386
239700,362450.0,11.478371284476559
239750,362450.0,11.484835828384421
239800,362450.0,11.49081496830949
239850,362450.0,11.496260361694944
239900,362450.0,11.501124530549463
239950,362450.0,11.505361539997983
240000,362450.0,11.508927580782679
240050,362450.0,11.51178136922361
240100,362450.0,11.513884269259137
240150,362450.0,11.515200041160107
240200,362450.0,11.51569413270539
240250,362450.0,11.515332452053677
240300,362450.0,11.514079596767088
240350,362450.0,11.51189655874987
240400,362450.0,11.508737978058207
240450,362450.0,11.504549077585041
240500,362450.0,11.499262473891914
240550,362450.0,11.492795125216439
240600,362450.0,11.485045743048978
240650,362450.0,11.475893053531903
240700,362450.0,11.465195341288826
240750,362450.0,11.452791729942241
240800,362450.0,11.43850563517368
240850,362450.0,11.422150745082552
240900,362450.0,11.403539702518867
240950,362450.0,11.382495326447037
241000,362450.0,11.358863628213845
241050,362450.0,11.332526955073398
241100,362450.0,11.303414290420548
241150,362450.0,11.271504287518747
241200,362450.0,11.236815891242532
241250,362450.0,11.199383304999374
241300,362450.0,11.159219023687845
241350,362450.0,11.116281129207584
241400,362450.0,11.070473503323127
241450,362450.0,11.021708368424171
241500,362450.0,10.970041149588535
241550,362450.0,10.915854260955633
241600,362450.0,10.860034292485587
241650,362450.0,10.80406026676341
241700,362450.0,10.749895159595281
241750,362450.0,10.699581226473494
241800,362450.0,10.654566133657417
241850,362450.0,10.6150354821254
241900,362450.0,10.579649283836497
241950,362450.0,10.545810365553148
242000,362450.0,10.510187488945546
242050,362450.0,10.469230480805795
242100,362450.0,10.419800644352529
242150,362450.0,10.360081782441881
242200,362450.0,10.290344922202925
242250,362450.0,10.212840563594947
242300,362450.0,10.130850826872923
242350,362450.0,10.04770340459205
242400,362450.0,9.966316674952939
242450,362450.0,9.88925948288878
242500,362450.0,9.819078731277296
242550,362450.0,9.758578790248839
242600,362450.0,9.710524282594307
242650,362450.0,9.676402704910055
242700,362450.0,9.655206840207748
242750,362450.0,9.643875809007147
242800,362450.0,9.639002626704604
242850,362450.0,9.638032251858753
242900,362450.0,9.639429826743545
242950,362450.0,9.642377277104094
243000,362450.0,9.64645703608453
243050,362450.0,9.651448967797798
243100,362450.0,9.657222633210472
243150,362450.0,9.663685860416999
243200,362450.0,9.670762149058007
243250,362450.0,9.678381691984368
243300,362450.0,9.686478391604519
243350,362450.0,9.694989274917644
243400,362450.0,9.703854705264748
243450,362450.0,9.713018733984812
243500,362450.0,9.722429362297072
243550,362450.0,9.732038663052181
243600,362450.0,9.741802777654275
243650,362450.0,9.751681820480425
243700,362450.0,9.761639721758794
