Easting,Northing,Head_maOD
239200,362350.0,0.0
239250,362350.0,1.779243379811844
239300,362350.0,2.1361598378435644
239350,362350.0,2.0622210565053503
239400,362350.0,0.0
239450,362350.0,2.1617448589776846
239500,362350.0,2.3858598109520908
239550,362350.0,2.233530127321698
239600,362350.0,0.0
239650,362350.0,2.295952046123684
239700,362350.0,2.5209764270827657
239750,362350.0,2.354276883686004
239800,362350.0,0.0
239850,362350.0,2.4105860266264094
239900,362350.0,2.639370691568512
239950,362350.0,2.4658132796912993
240000,362350.0,0.0
240050,362350.0,2.520372417193214
240100,362350.0,2.7524068220086026
240150,362350.0,2.5743957828731547
240200,362350.0,0.0
240250,362350.0,2.6278390568402052
240300,362350.0,2.8619697403168067
240350,362350.0,2.6805344100416066
240400,362350.0,0.0
240450,362350.0,2.732223440093686
240500,362350.0,2.966983963750889
240550,362350.0,2.7825831236494083
240600,362350.0,0.0
240650,362350.0,2.8312500526373565
240700,362350.0,3.0650125060555977
240750,362350.0,2.87784411639735
240800,362350.0,0.0
240850,362350.0,2.9219910419925155
240900,362350.0,3.153163685440933
240950,362350.0,2.9633433433782668
241000,362350.0,0.0
241050,362350.0,3.001599857994129
241100,362350.0,3.2288868715383923
241150,362350.0,3.0365225379392737
241200,362350.0,0.0
241250,362350.0,3.0679437700187275
241300,362350.0,3.290650808095598
241350,362350.0,3.0957519365927753
241400,362350.0,0.0
241450,362350.0,3.1198492206641832
241500,362350.0,3.337850311022022
241550,362350.0,3.140099547543214
241600,362350.0,0.0
241650,362350.0,3.1563009809036067
241700,362350.0,3.3692949013678724
241750,362350.0,3.1682024635369532
241800,362350.0,0.0
241850,362350.0,3.1755633933672343
241900,362350.0,3.382859990315554
241950,362350.0,3.178231106097124
242000,362350.0,0.0
242050,362350.0,3.176169177918068
242100,362350.0,3.3775641860023278
242150,362350.0,3.169411481638505
242200,362350.0,0.0
242250,362350.0,3.1580268770378606
242300,362350.0,3.3538380739765707
242350,362350.0,3.142085453661377
242400,362350.0,0.0
242450,362350.0,3.1215614536088436
242500,362350.0,3.3114499420542054
242550,362350.0,3.0962426839841206
242600,362350.0,0.0
242650,362350.0,3.0657342554268143
242700,362350.0,3.2493547986761713
242750,362350.0,3.0296668005081386
242800,362350.0,0.0
242850,362350.0,2.987965937414889
242900,362350.0,3.165412389355139
242950,362350.0,2.940844181607095
243000,362350.0,0.0
243050,362350.0,2.8886339709968576
243100,362350.0,3.059276929916943
243150,362350.0,2.8316458512691303
243200,362350.0,0.0
243250,362350.0,2.770016177519034
243300,362350.0,2.932059651067338
243350,362350.0,2.703462671105837
243400,362350.0,0.0
243450,362350.0,2.6307934540685083
243500,362350.0,2.77852971072562
243550,362350.0,2.548645711124396
243600,362350.0,0.0
243650,362350.0,2.4469814904809843
243700,362350.0,2.548152161869583
243750,362350.0,2.279050542744705
243800,362350.0,0.0
243850,362350.0,0.0
239200,362400.0,1.7741657048329578
239250,362400.0,1.9851381647658222
239300,362400.0,2.188367139204187
239350,362400.0,2.2060576996275505
239400,362400.0,2.13901370505714
239450,362400.0,2.323217604654782
239500,362400.0,2.451125390846396
239550,362400.0,2.407888066939259
239600,362400.0,2.301323252849649
239650,362400.0,2.4795262217511067
239700,362400.0,2.60060324590421
239750,362400.0,2.544997184204368
239800,362400.0,2.427159854040306
239850,362400.0,2.6072147806567507
239900,362400.0,2.7279736642339727
239950,362400.0,2.6675525398243782
240000,362400.0,2.544218988326757
240050,362400.0,2.7266691694284093
240100,362400.0,2.8479390944133818
240150,362400.0,2.784836790914596
240200,362400.0,2.657960667067411
240250,362400.0,2.8420883756612065
240300,362400.0,2.963443189059528
240350,362400.0,2.8982929904571972
240400,362400.0,2.7686117415159663
240450,362400.0,2.953201737175829
240500,362400.0,3.0736921878924894
