Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
nw1,2005-04-01,2026-03-01,250,-1.5551975724738354,0.4267462370181952,-0.7268536454129675,-1.9835714285714285,-1.088095238095238,0.0
nw2,2005-04-01,2026-03-01,250,-0.7397226118366212,0.42389342207531683,-0.6822262577347321,-1.1645238095238093,-0.2947619047619048,0.0
nw4,2005-04-01,2026-03-01,250,-0.3272667108147325,0.3020700503950003,-0.5113662451798046,-0.6995238095238095,-0.05273809523809524,0.0
nw5,2005-04-01,2026-03-01,250,-0.6224981828511534,0.40064182959677425,-0.5591464726995938,-0.9669219296408419,-0.22696663976324988,0.0
nw3,2005-04-01,2026-03-01,241,-0.47561426629782905,0.343536407618292,-0.680219345635778,-0.8750310559006212,-0.1253571428571429,3.5999999999999996
nw 4b,2006-03-01,2026-03-01,240,-0.36687638686286317,0.3143359424542263,-0.5664194915254237,-0.7627499999999999,-0.05785714285714284,4.0
nw6,2005-04-01,2026-03-01,240,-0.45011551382371856,0.3344086760758574,-0.5528709244362611,-0.7820866849947391,-0.1405854800936768,4.0
nw9,2006-03-01,2026-03-01,240,-0.7442421162514279,0.3641736207337399,-0.42991878531073446,-1.0177,-0.4320952380952382,4.0
ceh 1,2006-05-01,2026-03-01,238,-0.6480502374609195,0.4814674296194768,-0.7117288135593222,-1.064,-0.15199999999999997,4.8
ceh6,2006-05-01,2026-03-01,238,-0.26292697823780803,0.3276591954687487,-0.7311949152542373,-0.714,0.1915,4.8
ceh10,2006-06-01,2026-03-01,237,-1.2901017453277577,0.4715482084603158,-0.8471016949152542,-1.7305,-0.7155,5.2
ceh11,2006-06-01,2026-03-01,237,-0.5145715988462178,0.3426277338384351,-0.6913432203389831,-0.9412499999999999,-0.09550000000000002,5.2
ceh3,2006-06-01,2026-03-01,237,-1.0163396888258929,0.2800179254699296,-0.268177966101695,-1.1940000000000002,-0.792,5.2
ceh4,2006-06-01,2026-03-01,237,-0.661868463227596,0.3392050334447769,-0.4971906779661016,-0.96675,-0.33100000000000007,5.2
ceh5,2006-06-01,2026-03-01,237,-0.4017998787755154,0.38695165358249095,-0.8079788135593221,-0.8987499999999999,0.06749999999999999,5.2
nw7,2005-04-01,2026-03-01,237,-1.2410972161634564,0.37299882927876654,-0.5249202440210559,-1.5518909491332766,-0.9118692180348621,5.2
ceh9,2006-06-01,2026-03-01,233,-0.7237581522592288,0.38018321123997667,-0.49042439785905445,-1.04975,-0.40227892561983464,6.800000000000001
ceh14,2006-06-01,2026-03-01,229,-1.1180675794222317,0.5407080712466614,-0.24810184115470668,-1.3610526315789475,-0.7759057377049181,8.4
