Cluster,Label,n_years,Slope_m_per_yr,R2,p_value
C1,C1 (Lake Edge),19,0.0078,0.07,0.2722
C2,C2 (Dune),20,0.0061,0.021,0.5394
C3,C3 (Western Residual),20,-0.0004,0.0,0.9778
C4,C4 (Main Forest),19,-0.0036,0.002,0.8657
C5,C5 (Coastal Forest),20,-0.0376,0.263,0.0208
