Cluster,Label,n_years,Slope_m_per_yr,R2,p_value
C1,C1 (Lake Edge),20,-0.0109,0.234,0.0307
C2,C2 (Dune),21,-0.0176,0.253,0.0202
C3,C3 (Western Residual),21,-0.0067,0.054,0.3121
C4,C4 (Main Forest),20,-0.0172,0.069,0.264
C5,C5 (Coastal Forest),20,-0.0356,0.393,0.0031
