Cluster,Label,n_years,Slope_m_per_yr,R2,p_value
C1,C1 (Lake Edge),20,0.0075,0.096,0.1844
C2,C2 (Dune),21,0.0035,0.011,0.6571
C3,C3 (Western Residual),21,0.0034,0.005,0.7703
C4,C4 (Main Forest),20,-0.0072,0.008,0.7085
C5,C5 (Coastal Forest),20,-0.0349,0.215,0.0396
