Cluster,Wet_Slack_Exceedances,Dry_Slack_Exceedances,n_years,Wet_Slack_Pct
C1,14,18,20,70.0
C2,11,13,21,52.4
C3,1,6,21,4.8
C4,0,0,20,0.0
C5,1,1,20,5.0
