easting_m,break_northing_raw_m,break_elevation_m,plain_elevation_m,relief_m,break_northing_m,withheld,withheld_reason
241823.0,364623.0,14.90749994913737,11.999906176612487,39.8386649177188,364623.0,False,
241825.0,364623.0,14.889404705592561,11.970588983808243,39.577506174359996,364623.0,False,
241827.0,364623.0,14.876904805501301,11.94560015088036,39.18951896939958,364623.0,False,
241829.0,364623.0,14.867738042558942,11.942833341870989,38.812286163511736,364623.0,False,
241831.0,364623.0,14.858690443493069,11.908685947599865,38.40786144619895,364623.0,False,
241833.0,364623.0,14.850000063578287,11.888612883431572,38.132101286025275,364623.0,False,
241835.0,364623.0,14.84166667574928,11.86842609133039,38.0916927019755,364623.0,False,
241837.0,364623.0,14.829880896068751,11.870773778642926,38.061011623200905,364623.0,False,
241839.0,364623.0,14.833809443882533,11.859345572335377,38.00196438743955,364623.0,False,
241841.0,364621.0,14.675595238095239,11.827863802228656,37.95761179242815,364623.0,False,
241843.0,364621.0,14.698690596080962,11.79578572681972,37.933857595352904,364623.0,False,
241845.0,364621.0,14.692500023614793,11.782626488095238,37.90689729963029,364623.0,False,
241847.0,364621.0,14.670833269755045,11.76940471104213,37.902737862723214,364623.0,False,
241849.0,364621.0,14.635714258466448,11.75098711649577,37.98496535164968,364623.0,False,
241851.0,364621.0,14.586547624497188,11.738485422588527,37.98306238537742,364623.0,False,
241853.0,364621.0,14.544999940054755,11.709421616508845,37.96414983386086,364623.0,False,
241855.0,364623.0,14.678809620085218,11.688340355101085,37.8978501864842,364623.0,False,
241857.0,364623.0,14.652023951212565,11.680288110460554,37.907926037198024,364623.0,False,
241859.0,364623.0,14.638333320617676,11.683565362294516,37.92369611376808,364623.0,False,
241861.0,364623.0,14.613571348644438,11.693071478889106,37.96514290855043,364623.0,False,
241863.0,364623.0,14.581071535746256,11.667133344922746,38.03048523040045,364623.0,False,
241865.0,364623.0,14.544285683404832,11.647059617723738,38.101869178953635,364623.0,False,
241867.0,364623.0,14.49952379862467,11.642727456774029,38.115487039656855,364623.0,False,
241869.0,364623.0,14.453452337355838,11.63510716756185,38.11394061133974,364623.0,False,
241871.0,364625.0,14.5875000726609,11.641178580692836,38.13691648301623,364625.0,False,
241873.0,364625.0,14.52011912209647,11.634035773504346,38.1366783959525,364625.0,False,
241875.0,364625.0,14.450595129103888,11.630428563980828,38.16338087263562,364625.0,False,
241877.0,364627.0,14.566071464901878,11.63542854218256,38.20707114537557,364627.0,False,
241879.0,364627.0,14.481071381341842,11.648321424211774,38.1739405677432,364627.0,False,
241881.0,364629.0,14.581547555469328,11.666511885325113,38.14860717682612,364629.0,False,
241883.0,364629.0,14.500357219151088,11.656857104528518,38.122190725235704,364629.0,False,
241885.0,364631.0,14.61345250265939,11.647790391104563,38.13220947810581,364631.0,False,
241887.0,364631.0,14.513928595043362,11.646901330493742,38.12988456544422,364631.0,False,
241889.0,364633.0,14.611071450369698,11.648102342514765,38.13904063815163,364633.0,False,
241891.0,364633.0,14.466428575061617,11.63470235097976,38.202321429479696,364633.0,False,
241893.0,364635.0,14.545714287530808,11.622845213753836,38.26775035858154,364635.0,False,
241895.0,364635.0,14.442142849876767,11.609404818216959,38.3183330081758,364635.0,False,
241897.0,364637.0,14.561428433372862,11.597597621736071,38.34680716196697,364637.0,False,
241899.0,364637.0,14.450833366030738,11.570321382795061,38.37932116190592,364637.0,False,
241901.0,364637.0,14.373095194498699,11.545249984377906,38.441654704865954,364637.0,False,
241903.0,364639.0,14.509523845854257,11.528786400386265,38.48942750749133,364639.0,False,
241905.0,364639.0,14.4486905506679,11.492357158660887,38.50014278321039,364639.0,False,
241907.0,364639.0,14.406904765537803,11.474726263682047,38.52313096636817,364639.0,False,
241909.0,364639.0,14.350000018165225,11.469595164344424,38.485285686311265,364639.0,False,
241911.0,364639.0,14.307381039574032,11.477082783835275,38.47125041144234,364639.0,False,
241913.0,364641.0,14.457976250421433,11.46678390048799,38.471906830015634,364641.0,False,
241915.0,364641.0,14.421785717918757,11.452214835938953,38.46349942797706,364641.0,False,
241917.0,364641.0,14.37333347683861,11.434059538160051,38.59617847715104,364641.0,False,
241919.0,364641.0,14.331190517970493,11.424327005658828,38.676625687735424,364641.0,False,
241921.0,364641.0,14.303690547034853,11.415721425555999,38.674873819805335,364641.0,False,
241923.0,364641.0,14.266309511093864,11.415583369845432,38.555369163694834,364641.0,False,
241925.0,364641.0,14.23059522537958,11.396773792448498,38.567523002624505,364641.0,False,
241927.0,364641.0,14.196904727390836,11.38665479478382,38.595559451693575,364641.0,False,
241929.0,364643.0,14.354999905540827,11.383928598676409,38.51995538075764,364643.0,False,
241931.0,364643.0,14.32511901855469,11.384869066874186,38.536699849083305,364643.0,False,
241933.0,364643.0,14.30178578694661,11.384857191358295,38.71540794826688,364643.0,False,
241935.0,364643.0,14.280476206824892,11.390095274788994,38.67558600107829,364643.0,False,
241937.0,364643.0,14.262857255481535,11.385845297858827,38.602654843103316,364643.0,False,
241939.0,364643.0,14.235952377319334,11.409488055819557,38.48363647915068,364643.0,False,
241941.0,364645.0,14.377380961463565,11.42378575007121,38.404805006299696,364645.0,False,
241943.0,364645.0,14.341309547424316,11.402178514571416,38.39993933268955,364645.0,False,
241945.0,364645.0,14.308809643700007,11.360154710497172,38.44680326098488,364645.0,False,
241947.0,364645.0,14.27440479823521,11.351773834228515,38.45727404639834,364645.0,False,
241949.0,364645.0,14.230595179966514,11.32114293234689,38.46421404339018,364645.0,False,
241951.0,364645.0,14.167381014142716,11.300952307383218,38.49654721305483,364645.0,False,
241953.0,364647.0,14.267261868431456,11.286285736447287,38.532523954482315,364647.0,False,
241955.0,364647.0,14.196190334501722,11.26764295668829,38.537714113507946,364647.0,False,
241957.0,364647.0,14.109999929155622,11.243059426262265,38.538012372879756,364647.0,False,
241959.0,364649.0,14.16714282262893,11.21927381697155,38.55036896751041,364647.0,False,
241961.0,364649.0,14.059642837161107,11.19265480949765,38.560917200360976,364647.0,False,
241963.0,364651.0,14.074642862592425,11.186916705540249,38.55332148415701,364647.0,False,
241965.0,364655.0,14.17250011080787,11.19003571555728,38.541511503855396,364647.0,False,
241967.0,364657.0,14.132261957441054,11.153428577241442,38.606809161958246,364647.0,False,
241969.0,364655.0,13.949404807317826,11.114607170649935,38.73789283661615,364647.0,False,
241971.0,364655.0,14.0111905506679,11.089273797898064,38.85584487915038,364647.0,False,
241973.0,364655.0,14.0391666775658,11.060535635266985,38.99755984260922,364649.0,False,
241975.0,364653.0,13.893690472557433,11.019785772051133,39.145571545192155,364649.0,False,
241977.0,364653.0,13.922857193719775,11.019690531776066,39.25733332861037,364649.0,False,
241979.0,364653.0,13.838809512910386,11.004892866952078,39.3765356245495,364649.0,False,
241981.0,364653.0,13.86059520358131,10.970476232256205,39.49261911483038,364649.0,False,
241983.0,364651.0,13.756904829116094,10.898749923706054,39.62732189723423,364649.0,False,
241985.0,364651.0,13.757261957441058,10.831869020916166,39.68360702423823,364649.0,False,
241987.0,364651.0,13.73928569612049,10.831821487063454,39.67579737163726,364649.0,False,
241989.0,364651.0,13.723928633190335,10.820154825846354,39.722464243570954,364649.0,False,
241991.0,364651.0,13.699642817179363,10.798095235370456,39.75797645478021,364649.0,False,
241993.0,364651.0,13.674404780069986,10.766904753730412,39.81726181847708,364649.0,False,
241995.0,364651.0,13.665595372517902,10.730380816686722,39.824619125184554,364649.0,False,
241997.0,364651.0,13.660119147527784,10.7231428645906,39.77792797542754,364649.0,False,
