file,key,old,new,rel,flag
00_report_numbers.csv,centring_constant,19.50950509661819,19.50950509661819,0.0,
00_report_numbers.csv,cumbal_wl_r2,0.5265382628551603,0.52831901111223,0.003381992122307738,
00_report_numbers.csv,cumbal_wl_slope,0.0021643939563532,0.0021702308271236,0.002696769113250878,
00_report_numbers.csv,driest_decade_mean_rain | 1990s,793.3799999999999,793.3799999999999,0.0,
00_report_numbers.csv,driest_year_rain | 1945,592.1999999999998,592.1999999999998,0.0,
00_report_numbers.csv,mean_annual_rain_1930s | 1930s,859.1999999999999,859.1999999999999,0.0,
00_report_numbers.csv,mean_annual_rain_1940s | 1940s,819.0555555555553,819.0555555555553,0.0,
00_report_numbers.csv,mean_annual_rain_1950s | 1950s,892.4599999999998,892.4599999999998,0.0,
00_report_numbers.csv,mean_annual_rain_1960s | 1960s,900.6599999999999,900.6599999999999,0.0,
00_report_numbers.csv,mean_annual_rain_1970s | 1970s,801.1799999999998,801.1799999999998,0.0,
00_report_numbers.csv,mean_annual_rain_1980s | 1980s,856.4999999999998,856.4999999999998,0.0,
00_report_numbers.csv,mean_annual_rain_1990s | 1990s,793.3799999999999,793.3799999999999,0.0,
00_report_numbers.csv,mean_annual_rain_2000s | 2000s,890.5599999999998,890.5599999999998,0.0,
00_report_numbers.csv,mean_annual_rain_2010s | 2010s,871.4099999999999,871.4099999999999,0.0,
00_report_numbers.csv,mean_annual_rain_2020s | 2020s,910.7666666666664,910.7666666666664,0.0,
00_report_numbers.csv,mean_annual_rain_long_record | 1931-2025,857.7702127659572,857.7702127659572,0.0,
00_report_numbers.csv,mean_annual_rain_post_felling | 2018-2025,896.2249999999999,896.2249999999999,0.0,
00_report_numbers.csv,mean_annual_rain_pre_felling | 2006-2017,887.2999999999998,887.2999999999998,0.0,
00_report_numbers.csv,mean_annual_rain_well_record | 2006-2025,890.8699999999997,890.8699999999997,0.0,
00_report_numbers.csv,n_years_annual_rain_complete | 1931-2025,94.0,94.0,0.0,
00_report_numbers.csv,n_years_annual_rain_incomplete | 1931-2025,1.0,1.0,0.0,
00_report_numbers.csv,pet_peak_mm | month 7,106.92819617625868,106.92819617625868,0.0,
00_report_numbers.csv,pet_warming_dT | 1931-1960 vs 1996-2025,0.7288888888888874,0.7288888888888874,0.0,
00_report_numbers.csv,pet_warming_elasticity,0.4168438400896984,0.4168438400896984,0.0,
00_report_numbers.csv,pet_warming_pct_PET,3.0029602360953422,3.0029602360953422,0.0,
00_report_numbers.csv,pet_warming_pct_T,7.204041291456176,7.204041291456176,0.0,
00_report_numbers.csv,rain_months_missing_in_source | 1931-2025,1.0,1.0,0.0,
00_report_numbers.csv,rain_peak_mm | month 12,108.59999999999998,108.59999999999998,0.0,
