model_quantile_m,well_quantile_m
-1.617,-1.289
-1.512,-1.28
-1.453,-1.213
-1.407,-1.21
-1.391,-1.21
-1.386,-1.205
-1.371,-1.2
-1.361,-1.2
-1.356,-1.19
-1.337,-1.18
-1.324,-1.175
-1.309,-1.17
-1.304,-1.165
-1.293,-1.14
-1.292,-1.13
-1.29,-1.12
-1.274,-1.105
-1.267,-1.09
-1.265,-1.085
-1.254,-1.08
-1.237,-1.08
-1.213,-1.08
-1.212,-1.07
-1.208,-1.07
-1.205,-1.065
-1.188,-1.06
-1.183,-1.05
-1.177,-1.045
-1.168,-1.04
-1.165,-1.04
-1.164,-1.035
-1.163,-1.035
-1.162,-1.015
-1.16,-1.005
-1.158,-1.005
-1.156,-1.0
-1.145,-1.0
-1.137,-0.99
-1.118,-0.97
-1.114,-0.97
-1.11,-0.955
-1.109,-0.95
-1.106,-0.95
-1.097,-0.945
-1.095,-0.94
-1.094,-0.94
-1.091,-0.935
-1.088,-0.92
-1.083,-0.92
-1.076,-0.92
-1.071,-0.91
-1.061,-0.905
-1.061,-0.9
-1.055,-0.9
-1.054,-0.895
-1.053,-0.885
-1.05,-0.88
-1.041,-0.88
-1.041,-0.862
-1.039,-0.86
-1.038,-0.85
-1.034,-0.85
-1.026,-0.85
-1.026,-0.845
-1.005,-0.84
-1.003,-0.84
-0.998,-0.84
-0.992,-0.832
-0.989,-0.83
-0.978,-0.83
-0.955,-0.82
-0.955,-0.82
-0.953,-0.815
-0.944,-0.815
-0.935,-0.815
-0.931,-0.81
-0.93,-0.805
-0.92,-0.8
-0.919,-0.8
-0.915,-0.795
-0.91,-0.79
-0.909,-0.79
-0.905,-0.785
-0.902,-0.77
-0.899,-0.77
-0.895,-0.76
-0.889,-0.76
-0.888,-0.76
-0.886,-0.75
-0.882,-0.745
-0.88,-0.74
-0.878,-0.74
-0.877,-0.74
-0.875,-0.735
-0.873,-0.73
-0.871,-0.73
-0.87,-0.73
-0.869,-0.72
-0.864,-0.72
-0.854,-0.715
-0.842,-0.715
-0.836,-0.71
-0.834,-0.71
-0.833,-0.7
-0.811,-0.695
-0.808,-0.68
-0.789,-0.68
-0.783,-0.68
-0.782,-0.675
-0.777,-0.67
-0.776,-0.67
-0.775,-0.66
-0.773,-0.66
-0.771,-0.66
-0.771,-0.66
-0.77,-0.66
-0.762,-0.645
-0.762,-0.645
-0.759,-0.64
-0.759,-0.64
-0.75,-0.63
-0.742,-0.63
-0.733,-0.63
-0.728,-0.63
-0.723,-0.613
-0.715,-0.61
-0.714,-0.6
-0.714,-0.6
-0.705,-0.595
-0.703,-0.595
-0.702,-0.59
-0.701,-0.59
-0.699,-0.59
-0.696,-0.58
-0.692,-0.58
-0.684,-0.58
-0.677,-0.57
-0.675,-0.56
-0.674,-0.555
-0.668,-0.555
-0.659,-0.55
-0.657,-0.54
-0.655,-0.53
-0.651,-0.52
-0.649,-0.52
-0.647,-0.52
-0.642,-0.512
-0.642,-0.51
-0.641,-0.495
-0.637,-0.49
-0.627,-0.48
-0.621,-0.48
-0.621,-0.48
-0.616,-0.465
-0.614,-0.46
-0.611,-0.455
-0.61,-0.45
-0.599,-0.445
-0.596,-0.425
-0.595,-0.42
-0.591,-0.42
-0.584,-0.404
-0.581,-0.4
-0.574,-0.4
-0.563,-0.39
-0.556,-0.39
-0.549,-0.388
-0.545,-0.38
-0.54,-0.38
-0.54,-0.375
-0.535,-0.365
-0.532,-0.36
-0.514,-0.36
-0.512,-0.35
-0.511,-0.35
-0.506,-0.35
-0.505,-0.345
-0.505,-0.34
-0.5,-0.33
-0.498,-0.33
-0.492,-0.315
-0.484,-0.295
-0.462,-0.265
-0.456,-0.26
-0.456,-0.25
-0.45,-0.25
-0.449,-0.24
-0.418,-0.24
-0.416,-0.23
-0.408,-0.22
-0.405,-0.22
-0.396,-0.2
-0.391,-0.2
-0.39,-0.16
-0.366,-0.158
-0.335,-0.155
-0.333,-0.15
-0.312,-0.145
-0.307,-0.14
-0.297,-0.135
-0.293,-0.13
-0.293,-0.13
-0.285,-0.125
-0.282,-0.11
-0.278,-0.095
-0.271,-0.05
-0.261,-0.045
-0.259,-0.045
-0.245,-0.04
-0.222,-0.04
-0.214,-0.04
-0.2,-0.035
-0.192,-0.028
-0.173,-0.02
-0.173,-0.02
-0.171,-0.01
-0.157,-0.008
-0.142,-0.005
-0.129,0.01
-0.066,0.015
-0.06,0.03
-0.045,0.03
-0.027,0.03
-0.024,0.038
0.001,0.04
0.042,0.04
