month,median_level_modelled_m,median_level_calibrated_m,n_wells_run,median_level_observed_m,n_wells_observed,above_fitted_range,spin_up,climate_flagged,open_water_ha,wet_floor_ha,open_water_ha_raw_level,wet_floor_ha_raw_level
1930-12,-0.711,-0.598,66,,,False,True,False,1.759,31.697,1.067,28.467
1931-01,-0.681,-0.575,66,,,False,True,False,1.947,32.398,1.22,29.296
1931-02,-0.674,-0.557,66,,,False,True,False,2.111,32.968,1.255,29.479
1931-03,-0.784,-0.68,66,,,False,True,False,1.224,29.317,0.772,26.549
1931-04,-0.862,-0.719,66,,,False,True,False,1.029,28.244,0.545,24.633
1931-05,-0.836,-0.71,66,,,False,True,False,1.071,28.49,0.613,25.263
1931-06,-0.773,-0.66,66,,,False,True,False,1.337,29.882,0.809,26.818
1931-07,-0.963,-0.823,66,,,False,True,False,0.649,25.572,0.349,22.384
1931-08,-1.024,-0.845,66,,,False,True,False,0.59,25.055,0.266,21.105
1931-09,-1.01,-0.841,66,,,False,True,False,0.599,25.136,0.283,21.391
1931-10,-1.071,-0.911,66,,,False,True,False,0.44,23.521,0.216,20.181
1931-11,-0.705,-0.595,66,,,False,True,False,1.783,31.792,1.093,28.615
1931-12,-0.717,-0.611,66,,,False,True,False,1.662,31.313,1.037,28.294
1932-01,-0.486,-0.3,66,,,False,True,False,6.6,42.136,2.89,35.273
1932-02,-0.699,-0.589,66,,,False,True,False,1.831,31.975,1.127,28.8
1932-03,-0.794,-0.68,66,,,False,True,False,1.224,29.317,0.74,26.308
1932-04,-0.874,-0.731,66,,,False,True,False,0.974,27.914,0.518,24.366
1932-05,-0.923,-0.801,66,,,False,True,False,0.715,26.112,0.417,23.253
1932-06,-1.129,-0.982,66,,,False,True,False,0.321,21.981,0.167,19.096
1932-07,-1.126,-0.978,66,,,False,True,False,0.326,22.055,0.17,19.157
1932-08,-1.311,-1.171,66,,,False,True,False,0.139,18.356,0.075,16.056
1932-09,-1.321,-1.174,66,,,False,True,False,0.137,18.297,0.071,15.901
1932-10,-1.046,-0.88,66,,,False,True,False,0.504,24.224,0.242,20.685
1932-11,-0.922,-0.801,66,,,False,True,False,0.715,26.118,0.418,23.265
1932-12,-0.72,-0.612,66,,,False,False,False,1.654,31.28,1.025,28.223
1933-01,-0.556,-0.39,66,,,False,False,False,4.428,38.668,2.121,33.002
1933-02,-0.588,-0.413,66,,,False,False,False,3.999,37.828,1.843,32.019
1933-03,-0.638,-0.492,66,,,False,False,False,2.818,35.084,1.473,30.51
1933-04,-0.826,-0.698,66,,,False,False,False,1.128,28.806,0.64,25.497
1933-05,-0.988,-0.83,66,,,False,False,False,0.629,25.408,0.312,21.847
1933-06,-1.19,-1.061,66,,,False,False,False,0.227,20.391,0.128,18.025
1933-07,-1.402,-1.21,66,,,False,False,False,0.117,17.681,0.05,14.717
1933-08,-1.587,-1.287,66,,,False,False,False,0.083,16.432,0.022,12.345
1933-09,-1.762,-1.378,66,,,False,False,False,0.055,15.056,0.01,10.445
1933-10,-1.632,-1.299,66,,,False,False,False,0.079,16.244,0.018,11.818
1933-11,-1.63,-1.297,66,,,False,False,False,0.079,16.268,0.018,11.847
1933-12,-1.557,-1.284,66,,,False,False,False,0.084,16.474,0.025,12.694
1934-01,-1.387,-1.206,66,,,False,False,False,0.119,17.743,0.053,14.931
1934-02,-1.539,-1.282,66,,,False,False,False,0.085,16.5,0.027,12.92
1934-03,-1.533,-1.282,66,,,False,False,False,0.085,16.509,0.028,12.991
1934-04,-1.622,-1.293,66,,,False,False,False,0.081,16.337,0.019,11.929
1934-05,-1.495,-1.261,66,,,False,False,False,0.093,16.842,0.033,13.468
1934-06,-1.643,-1.305,66,,,False,False,False,0.077,16.144,0.017,11.701
1934-07,-1.931,-1.482,66,,,False,False,False,0.035,13.633,0.005,8.888
1934-08,-1.934,-1.485,66,,,False,False,False,0.035,13.604,0.005,8.857
1934-09,-1.821,-1.415,66,,,False,False,False,0.047,14.537,0.008,9.866
1934-10,-1.564,-1.285,66,,,False,False,False,0.084,16.465,0.024,12.617
1934-11,-1.48,-1.243,66,,,False,False,False,0.101,17.125,0.035,13.668
1934-12,-0.76,-0.643,66,,,False,False,False,1.443,30.378,0.856,27.15
1935-01,-0.804,-0.68,66,,,False,False,False,1.224,29.317,0.705,26.034
1935-02,-0.705,-0.595,66,,,False,False,False,1.784,31.794,1.095,28.623
1935-03,-0.861,-0.719,66,,,False,False,False,1.032,28.26,0.548,24.661
1935-04,-0.897,-0.765,66,,,False,False,False,0.841,27.041,0.468,23.836
1935-05,-1.045,-0.88,66,,,False,False,False,0.504,24.224,0.243,20.693
1935-06,-1.05,-0.88,66,,,False,False,False,0.504,24.224,0.238,20.601
1935-07,-1.365,-1.2,66,,,False,False,False,0.122,17.85,0.059,15.257
1935-08,-1.5,-1.266,66,,,False,False,False,0.091,16.761,0.032,13.41
1935-09,-1.184,-1.052,66,,,False,False,False,0.235,20.556,0.131,18.118
1935-10,-0.969,-0.826,66,,,False,False,False,0.64,25.501,0.339,22.244
1935-11,-0.61,-0.45,66,,,False,False,False,3.393,36.514,1.671,31.351
1935-12,-0.497,-0.327,66,,,False,False,False,5.85,41.057,2.76,34.926
1936-01,-0.262,-0.045,66,,,False,False,False,20.397,53.72,7.812,43.693
1936-02,-0.27,-0.049,66,,,False,False,False,20.05,53.522,7.549,43.373
1936-03,-0.282,-0.11,66,,,False,False,False,15.286,50.486,7.141,42.857
1936-04,-0.428,-0.24,66,,,False,False,False,8.605,44.612,3.746,37.301
1936-05,-0.637,-0.49,66,,,False,False,False,2.843,35.15,1.483,30.557
1936-06,-0.508,-0.35,66,,,False,False,False,5.284,40.167,2.62,34.538
1936-07,-0.532,-0.36,66,,,False,False,False,5.052,39.78,2.361,33.773
1936-08,-0.695,-0.58,66,,,False,False,False,1.906,32.253,1.143,28.887
1936-09,-0.678,-0.57,66,,,False,False,False,1.99,32.551,1.236,29.383
1936-10,-0.757,-0.638,66,,,False,False,False,1.473,30.51,0.868,27.23
1936-11,-0.659,-0.55,66,,,False,False,False,2.175,33.181,1.341,29.9
1936-12,-0.349,-0.156,66,,,False,False,False,12.478,48.328,5.301,40.194
1937-01,-0.282,-0.112,66,,,False,False,False,15.181,50.411,7.13,42.843
1937-02,-0.095,0.013,66,,,False,False,False,26.376,56.776,16.352,51.224
1937-03,-0.208,-0.038,66,,,False,False,False,21.1,54.113,9.931,46.011
1937-04,-0.326,-0.148,66,,,False,False,False,12.922,48.693,5.878,41.098
1937-05,-0.592,-0.42,66,,,False,False,False,3.875,37.572,1.811,31.898
1937-06,-0.714,-0.6,66,,,False,False,False,1.745,31.643,1.053,28.383
1937-07,-0.866,-0.72,66,,,False,False,False,1.025,28.22,0.536,24.547
1937-08,-1.057,-0.9,66,,,False,False,False,0.462,23.766,0.23,20.463
1937-09,-1.071,-0.91,66,,,False,False,False,0.442,23.541,0.216,20.191
1937-10,-0.705,-0.595,66,,,False,False,False,1.784,31.794,1.094,28.619
1937-11,-0.761,-0.643,66,,,False,False,False,1.439,30.36,0.855,27.142
1937-12,-0.588,-0.413,66,,,False,False,False,3.999,37.828,1.843,32.019
1938-01,-0.461,-0.264,66,,,False,False,False,7.738,43.605,3.234,36.138
1938-02,-0.611,-0.452,66,,,False,False,False,3.358,36.434,1.665,31.327
1938-03,-0.734,-0.63,66,,,False,False,False,1.527,30.75,0.963,27.841
1938-04,-0.975,-0.828,66,,,False,False,False,0.634,25.445,0.332,22.134
1938-05,-1.025,-0.845,66,,,False,False,False,0.59,25.053,0.265,21.098
1938-06,-0.952,-0.815,66,,,False,False,False,0.673,25.774,0.367,22.621
1938-07,-0.896,-0.763,66,,,False,False,False,0.846,27.079,0.469,23.849
