month,site_anomaly_m,site_sd_m,n_wells,P_m,PET,site_anomaly_smoothed_m
1930-12-01,0.1866193274955571,0.04844365092416765,50,0.1303,0.0209511073452165,
1931-01-01,0.19328240111502315,0.04664531415464921,50,0.0662,0.0194045364190314,
1931-02-01,0.17650742278251932,0.0557932654400763,50,0.0606,0.0197791729804388,
1931-03-01,0.03809367836614055,0.07752919793949029,50,0.0325,0.0255400575694889,
1931-04-01,-0.055032137895757775,0.09012467824917453,50,0.0471,0.0426364590471799,
1931-05-01,-0.020148750440844722,0.0687439357139075,50,0.086,0.0685524650722647,
1931-06-01,0.05487338222465965,0.03489556678203736,50,0.1042,0.0899115948707752,-0.004364626570666115
1931-07-01,-0.13759063361395282,0.03307231318733879,50,0.0435,0.0988847277198607,-0.011365531182122218
1931-08-01,-0.19537203990652155,0.03258307030840127,50,0.0698,0.0898406555693692,0.0006013662370640965
1931-09-01,-0.17782780530141287,0.030692422703666594,50,0.0783,0.0648340088175669,-0.007110082661412325
1931-10-01,-0.25098359746649823,0.03693968984017605,50,0.05,0.0467894985392713,-0.012911581596298993
1931-11-01,0.13520323379309482,0.047252561586739336,50,0.1558,0.0323451947352966,-0.018590091237295107
1931-12-01,0.10260847215808384,0.028991829564755316,50,0.0577,0.0248373107615653,-0.030877914438709565
1932-01-01,0.3368851701452589,0.06026422632421007,50,0.1226,0.0257807474063319,-0.06626808673158381
1932-02-01,0.08397003600080226,0.05234324511759608,50,0.0054,0.019549717150277,-0.0831100033548199
1932-03-01,-0.031524308852499475,0.07838809565073136,50,0.0375,0.0285982501388093,-0.11017818241420956
1932-04-01,-0.12317425358771111,0.0942670924796497,50,0.0453999999999999,0.0404181077300108,-0.13896589139544893
1932-05-01,-0.16760262885781824,0.08597812077078879,50,0.0642,0.0653041747240713,-0.13698909114567295
1932-06-01,-0.36980868528983135,0.09091718212937021,50,0.0355,0.0948938922953776,-0.15731022344577397
1932-07-01,-0.3396936330927858,0.056721513626233816,50,0.0914,0.1022005158373261,-0.15802362812670642
1932-08-01,-0.5201901886191973,0.07543231519918495,50,0.0385,0.0962706028169267,-0.16525104498518817
1932-09-01,-0.5232803130762858,0.06993896564850995,50,0.0684,0.0674871647481054,-0.15599982299663206
1932-10-01,-0.22726199446918613,0.04356564761127496,50,0.133,0.0436132344040645,-0.14249464752962268
1932-11-01,-0.10865035380811758,0.03631778405568932,50,0.089,0.0268234504290401,-0.13865623212358616
1932-12-01,0.09404761598689458,0.05039508105185629,50,0.1102,0.0227752748237024,-0.14487392010705624
1933-01-01,0.2501561678434778,0.062018643339279415,50,0.0997,0.0152216446573109,-0.15067617041423795
1933-02-01,0.19498469986347555,0.04940949109051443,50,0.0521,0.018994471106036,-0.17574556488509327
1933-03-01,0.13053779675161323,0.04983067615217334,50,0.0554,0.0376813195307237,-0.20024698194401278
1933-04-01,-0.07711326871527305,0.06709698826004411,50,0.0228,0.0478844205592484,-0.2391536826497628
1933-05-01,-0.24221488465945903,0.07614024580054186,50,0.0378999999999999,0.0715818123790072,-0.2908115220531413
1933-06-01,-0.43943568897601204,0.08404562852446516,50,0.0354,0.0946896750376037,-0.35302548890486984
1933-07-01,-0.6405263667430496,0.09530558432845296,50,0.036,0.108605537235146,-0.426846720114455
1933-08-01,-0.8142071933262308,0.10976185092879202,50,0.0367,0.1015559456786617,-0.49919332122352805
1933-09-01,-0.990160721545287,0.12887286060382105,50,0.0238999999999999,0.0757703614406462,-0.5818019241937208
1933-10-01,-0.8471560673097277,0.09898637610426579,50,0.0885,0.047052268212415,-0.6590607194022945
1933-11-01,-0.8552179560288602,0.09548756639514973,50,0.046,0.0241531790823182,-0.7270970722770168
1933-12-01,-0.7918071585281277,0.08518888939508448,50,0.0591,0.0124574922622665,-0.7687738349955273
1934-01-01,-0.6180030454653982,0.06058378739025858,50,0.09,0.0202601065737339,-0.8055940893466905
1934-02-01,-0.7963185357788377,0.09612397600078153,50,0.0066,0.0190904337591565,-0.8490954696474153
1934-03-01,-0.7965677457512698,0.09924195232777708,50,0.0494,0.026256942321156,-0.8765617458274937
1934-04-01,-0.8935495032119419,0.11331130568839048,50,0.0306,0.0398334416071251,-0.8781438113397875
1934-05-01,-0.7423360372815861,0.07553441304086501,50,0.0984,0.0644648764115419,-0.8685247617903334
1934-06-01,-0.8812787411899693,0.0831713857974624,50,0.0394,0.0897766673836645,-0.8519711491923924
1934-07-01,-1.162542930351747,0.11414503130638669,50,0.0106,0.1131563717525449,-0.7767808468218029
1934-08-01,-1.1438025074871718,0.11223810688559098,50,0.0711,0.0910235466883079,-0.7223407006598165
1934-09-01,-1.0091455076928126,0.11172029683664304,50,0.0932,0.0721813669922541,-0.6459080835079963
1934-10-01,-0.7317274727162794,0.12087520061564452,50,0.1217,0.0471736361769976,-0.585045789740214
1934-11-01,-0.6565746048535667,0.11041813162842208,50,0.0699,0.0265313542204685,-0.5200463058872552
1934-12-01,0.1104764699189463,0.21100324678477309,50,0.2405,0.0267952544317013,-0.4809136392329172
1935-01-01,0.03527870847843846,0.16273615533956964,50,0.0462,0.0205196533342904,-0.42932089765369197
1935-02-01,0.12087287004300407,0.15154688181199713,50,0.085,0.0234232594003683,-0.381044049732531
1935-03-01,-0.06622022053788232,0.0982084938512317,50,0.0231,0.0328420616135173,-0.34504716496967963
1935-04-01,-0.11355569697643621,0.08081224917640399,50,0.0573,0.0427794055297655,-0.2910317937405435
1935-05-01,-0.2727440374295299,0.05685318694003659,50,0.0361,0.0625091847628705,-0.2413379397497998
1935-06-01,-0.26216584223926687,0.06750140501326148,50,0.0837,0.0875364961564327,-0.16693932595869698
1935-07-01,-0.5832207552978154,0.06101681384232891,50,0.0084,0.1029047025934425,-0.14849298293860982
1935-08-01,-0.7118398903329551,0.07680407900099359,50,0.0457,0.0917120746409395,-0.1046375262184146
1935-09-01,-0.36096105294317843,0.11310420736207008,50,0.1524,0.0684847866055259,-0.0707983231758821
1935-10-01,-0.13540122482735586,0.13675505854856587,50,0.1199,0.045287411445767,-0.023823432572835267
1935-11-01,0.23620876063966786,0.17760624561327382,50,0.1527,0.0258179882487419,0.012853801662939562
1935-12-01,0.33183258615999217,0.16202779043454638,50,0.0883,0.0158836403095784,0.0443736604214151
1936-01-01,0.5615441891207809,0.17653507833622664,50,0.1231,0.0171409102838762,0.08815210243556827
1936-02-01,0.5269433065533943,0.1424246637468504,50,0.0626,0.017495551250851,0.15815349975083384
1936-03-01,0.49747846669867957,0.12072014374618843,50,0.0688,0.0335723722309261,0.22531507561542005
1936-04-01,0.3265711138528617,0.08432570874183774,50,0.0346,0.0365302916215644,0.2653685451098567
1936-05-01,0.10549426767217654,0.056292552930870855,50,0.031,0.0696705149451104,0.27885319986103285
1936-06-01,0.26317546193057123,0.06903928078936825,50,0.1267,0.0894228000573341,0.26909994639282203
1936-07-01,0.2567960124853714,0.0767231294980928,50,0.0932,0.0995631797357299,0.2781340624504822
1936-08-01,0.09409902004207953,0.06181929802461296,50,0.0533,0.0949647807562545,0.27244496449326006
1936-09-01,0.1196805809900608,0.0717388725003139,50,0.0886,0.0731118842487999,0.2850789678496799
