well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw11,1C,1992-03,-1.86,-1.503816450039065,-1.503816450039065,-1.1563993254842537,-0.35618354996093515
nw11,1C,1992-04,-1.87,-1.4961626006168152,-1.4961626006168152,-1.1483934801647275,-0.37383739938318494
nw11,1C,1992-05,-1.86,-1.4729570052571879,-1.4729570052571879,-1.1160016723543964,-0.38704299474281223
nw11,1C,1992-06,-1.87,-1.614711721887522,-1.614711721887522,-1.2620839181320787,-0.2552882781124781
nw11,1C,1992-07,-1.85,-1.685844456723469,-1.685844456723469,-1.3306049922344516,-0.16415554327653115
nw11,1C,1992-08,-1.86,-1.5613813720873857,-1.5613813720873857,-1.1876253321268047,-0.2986186279126144
nw11,1C,1992-09,-1.86,-1.5452942641114507,-1.5452942641114507,-1.1689502520326696,-0.31470573588854944
nw11,1C,1992-10,-1.85,-1.4476238158775174,-1.4476238158775174,-1.0662787878090039,-0.40237618412248266
nw11,1C,1992-11,-1.85,-1.1664408310469585,-1.1664408310469585,-0.7633360674113229,-0.6835591689530416
nw11,1C,1992-12,-1.69,-0.9942571848556103,-0.9942571848556103,-0.5823280933961775,-0.6957428151443896
nw11,1C,1993-01,-1.63,-0.910865870079058,-0.910865870079058,-0.49707688584894516,-0.719134129920942
nw11,1C,1993-02,-1.72,-1.0375196121293502,-1.0375196121293502,-0.6422968732081591,-0.6824803878706498
nw11,1C,1993-03,-1.81,-1.1584934478318174,-1.1584934478318174,-0.7787685524992114,-0.6515065521681827
nw11,1C,1993-04,-1.86,-1.1549140201001762,-1.1549140201001762,-0.7740421182849676,-0.7050859798998239
nw11,1C,1993-05,-1.81,-0.9221919268632273,-0.9221919268632273,-0.5129575907477393,-0.8878080731367728
nw11,1C,1993-06,-1.86,-0.9559178237654697,-0.9559178237654697,-0.5415612243976267,-0.9040821762345304
nw11,1C,1993-07,-1.87,-1.1579713502699105,-1.1579713502699105,-0.7543526223993305,-0.7120286497300896
nw11,1C,1993-08,-1.88,-1.327046746452791,-1.327046746452791,-0.934028457444892,-0.5529532535472088
nw11,1C,1993-09,-1.89,-1.2662926692362306,-1.2662926692362306,-0.8660710827992522,-0.6237073307637693
nw11,1C,1993-10,-1.9,-1.3802698376886544,-1.3802698376886544,-0.99587918370799,-0.5197301623113455
nw11,1C,1993-11,-1.9,-1.2197883299301748,-1.2197883299301748,-0.8265973056455242,-0.6802116700698251
nw11,1C,1993-12,-1.9,-0.9548180956099198,-0.9548180956099198,-0.5421576051963515,-0.9451819043900801
nw11,1C,1994-01,-1.9,-0.8717479061460821,-0.8717479061460821,-0.4571479027578025,-1.0282520938539177
nw11,1C,1994-02,-1.88,-0.728657060220057,-0.728657060220057,-0.30659689289336856,-1.1513429397799428
nw11,1C,1994-03,-1.51,-0.5178198635935429,-0.5178198635935429,-0.07694435000779337,-0.9921801364064571
nw11,1C,1994-04,-1.4,-0.42185404894465284,-0.42185404894465284,0.028362569199622767,-0.9781459510553471
nw11,1C,1994-05,-1.58,-0.6599541180902191,-0.6599541180902191,-0.22795526058563664,-0.920045881909781
nw11,1C,1994-06,-1.75,-0.9728954968558405,-0.9728954968558405,-0.5633139533614517,-0.7771045031441595
nw11,1C,1994-07,-1.88,-1.1924279077611752,-1.1924279077611752,-0.7930881569783568,-0.6875720922388247
nw11,1C,1994-08,-1.96,-1.211334241938384,-1.211334241938384,-0.8060339329559914,-0.7486657580616161
nw11,1C,1994-09,-1.97,-1.1634936415916082,-1.1634936415916082,-0.7519639152770523,-0.8065063584083918
nw11,1C,1994-10,-1.94,-1.163137333527188,-1.163137333527188,-0.7538105876769496,-0.776862666472812
nw11,1C,1994-11,-1.7,-1.0503604713404262,-1.0503604713404262,-0.6344341484061813,-0.6496395286595738
nw11,1C,1994-12,-1.37,-0.7293272082342973,-0.7293272082342973,-0.2881394400138064,-0.6406727917657028
