mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2006-06,ceh7,-0.4,-0.47,-0.337
R,2006-06,ceh8,-0.305,-0.484,-0.584
R,2006-06,ceh12,-1.205,-0.84,-24.129
R,2006-07,nw1,-1.725,-1.474,-2.283
R,2006-07,nw2,-0.895,-1.012,-1.18
R,2006-07,nw3,-0.74,-0.685,-1.428
R,2006-07,nw4,-0.56,-0.592,-0.866
R,2006-07,nw4b,-0.615,-0.804,-0.962
R,2006-07,nw5,-0.42,-1.001,-0.887
R,2006-07,nw6,-0.43,-0.862,-1.133
R,2006-07,nw7,-1.15,-1.092,-1.942
R,2006-07,nw9,-0.399,-1.12,0.189
R,2006-07,ceh1,-0.71,-1.037,-1.83
R,2006-07,ceh2,-1.135,-1.469,-2.498
R,2006-07,ceh4,-0.405,-0.972,-1.166
R,2006-07,ceh5,-0.785,-0.826,-1.528
R,2006-07,ceh6,-0.77,-0.739,-0.791
R,2006-07,ceh9,-0.555,-1.036,-3.145
R,2006-07,ceh10,-1.56,-1.302,-1.383
R,2006-07,ceh11,-0.875,-0.847,-0.864
R,2006-07,ceh13,-0.795,-1.252,-3.882
R,2006-07,ceh14,-0.8,-1.356,-3.748
R,2006-07,nw8,-1.11,-1.47,-1.772
R,2006-07,ceh3,-0.69,-1.205,-1.049
R,2006-07,ceh7,-0.705,-0.847,-0.744
R,2006-07,ceh8,-0.555,-0.86,-0.972
R,2006-07,ceh12,-1.44,-1.192,-24.481
R,2006-08,nw1,-1.575,-1.454,-2.311
R,2006-08,nw2,-0.735,-1.018,-1.194
R,2006-08,nw3,-0.58,-0.691,-1.421
R,2006-08,nw4,-0.28,-0.604,-0.88
R,2006-08,nw4b,-0.3,-0.802,-0.976
R,2006-08,nw5,-0.45,-1.008,-0.957
R,2006-08,nw6,-0.285,-0.876,-1.164
R,2006-08,nw7,-0.99,-1.093,-1.986
R,2006-08,nw9,-0.349,-1.14,0.183
