mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2012-06,ceh18,-1.37,-1.284,-0.821
R,2012-06,ceh19,-1.36,-1.356,0.175
R,2012-06,ceh20,-2.19,-1.886,-1.941
R,2012-06,ceh21,-1.4,-1.272,-1.055
R,2012-06,ceh23,-0.51,-0.959,-1.106
R,2012-06,ceh24,-0.75,-1.076,-1.09
R,2012-06,ceh25,-0.535,-0.979,-1.099
R,2012-06,ceh26,-0.555,-0.957,-1.316
R,2012-06,ceh27,-0.7,-0.968,-1.149
R,2012-06,ceh28,-0.9,-1.053,-1.206
R,2012-06,ceh30,-2.56,-2.216,-1.933
R,2012-06,ceh31,-2.15,-1.865,-0.603
R,2012-06,ceh33,-2.67,-2.279,-2.093
R,2012-06,ceh34,-1.84,-1.599,-2.491
R,2012-06,ceh36,-1.22,-1.201,-2.107
R,2012-06,wmc4,-1.49,-1.207,-1.521
R,2012-06,nw8,-1.76,-1.555,-1.857
R,2012-06,ceh3,-1.29,-1.29,-1.159
R,2012-06,ceh8,-0.88,-1.076,-1.171
R,2012-06,ceh15,-1.881,-1.662,-0.148
R,2012-06,ceh22,-0.79,-0.889,-0.689
R,2012-06,ceh35,-0.96,-1.01,-1.147
R,2012-06,ceh37,-0.84,-1.119,-1.302
R,2012-06,ceh38,-0.95,-1.054,-1.262
R,2012-07,nw1,-2.3,-1.903,-2.617
R,2012-07,nw2,-1.48,-1.447,-1.597
R,2012-07,nw4,-0.82,-1.068,-1.265
R,2012-07,nw4b,-0.88,-1.094,-1.361
R,2012-07,nw5,-1.19,-1.336,-1.157
R,2012-07,nw6,-0.98,-1.201,-1.431
R,2012-07,nw9,-1.259,-1.41,-0.037
R,2012-07,nw11,-1.57,-1.48,-1.53
R,2012-07,nw13,-1.38,-1.244,-1.609
R,2012-07,ceh1,-1.46,-1.402,-2.115
R,2012-07,ceh4,-1.07,-1.224,-1.358
R,2012-07,ceh5,-0.71,-1.022,-1.7
R,2012-07,ceh6,-0.5,-0.876,-0.928
R,2012-07,ceh9,-1.35,-1.38,-3.415
R,2012-07,ceh10,-1.75,-1.593,-1.65
R,2012-07,ceh11,-0.83,-1.002,-0.991
R,2012-07,ceh16,-1.44,-1.509,-0.441
R,2012-07,ceh17,-2.5,-2.195,-0.889
R,2012-07,ceh18,-1.26,-1.341,-0.919
R,2012-07,ceh19,-1.28,-1.411,0.118
R,2012-07,ceh20,-2.03,-1.989,-2.0
R,2012-07,ceh21,-1.34,-1.33,-1.103
R,2012-07,ceh23,-0.67,-0.967,-1.123
R,2012-07,ceh24,-0.84,-1.13,-1.162
R,2012-07,ceh25,-0.705,-0.985,-1.121
R,2012-07,ceh26,-0.705,-0.965,-1.332
R,2012-07,ceh27,-0.77,-0.975,-1.161
R,2012-07,ceh28,-0.91,-1.109,-1.271
R,2012-07,ceh30,-2.4,-2.312,-1.992
R,2012-07,ceh31,-2.0,-1.898,-0.664
R,2012-07,ceh33,-2.52,-2.375,-2.152
R,2012-07,ceh34,-1.73,-1.707,-2.612
R,2012-07,ceh36,-1.13,-1.263,-2.189
R,2012-07,wmc4,-1.42,-1.269,-1.609
R,2012-07,nw8,-1.76,-1.601,-1.924
R,2012-07,ceh3,-1.27,-1.348,-1.241
R,2012-07,ceh8,-0.87,-1.13,-1.238
R,2012-07,ceh15,-1.751,-1.769,-0.209
R,2012-07,ceh22,-0.81,-0.955,-0.785
R,2012-07,ceh35,-0.96,-1.068,-1.229
R,2012-07,ceh37,-0.92,-1.171,-1.374
R,2012-07,ceh38,-0.94,-1.124,-1.344
R,2012-08,nw1,-2.15,-1.786,-2.553
R,2012-08,nw2,-1.36,-1.355,-1.514
R,2012-08,nw3,-0.96,-0.9,-1.513
R,2012-08,nw4,-0.64,-0.967,-1.171
R,2012-08,nw4b,-0.67,-0.991,-1.267
R,2012-08,nw5,-1.11,-1.25,-1.139
R,2012-08,nw6,-0.89,-1.123,-1.371
R,2012-08,nw9,-1.179,-1.368,0.042
R,2012-08,nw11,-1.45,-1.387,-1.443
R,2012-08,nw13,-1.102,-1.164,-1.551
R,2012-08,ceh1,-1.38,-1.313,-2.026
R,2012-08,ceh4,-0.94,-1.145,-1.278
R,2012-08,ceh5,-0.41,-0.842,-1.634
R,2012-08,ceh6,-0.09,-0.709,-0.764
R,2012-08,ceh9,-1.33,-1.292,-3.397
R,2012-08,ceh10,-1.67,-1.458,-1.542
R,2012-08,ceh11,-0.69,-0.824,-0.884
R,2012-08,ceh16,-1.37,-1.462,-0.358
R,2012-08,ceh17,-2.46,-2.117,-0.81
R,2012-08,ceh18,-1.21,-1.256,-0.871
R,2012-08,ceh19,-1.22,-1.369,0.204
R,2012-08,ceh20,-2.1,-1.995,-1.914
R,2012-08,ceh21,-1.25,-1.245,-1.007
R,2012-08,ceh23,-0.29,-0.792,-0.956
R,2012-08,ceh24,-0.64,-1.025,-1.073
R,2012-08,ceh25,-0.305,-0.808,-0.959
R,2012-08,ceh26,-0.355,-0.79,-1.163
R,2012-08,ceh27,-0.48,-0.799,-0.989
R,2012-08,ceh28,-0.7,-1.005,-1.176
R,2012-08,ceh30,-2.46,-2.313,-1.906
R,2012-08,ceh31,-2.01,-1.833,-0.581
R,2012-08,ceh33,-2.57,-2.374,-2.066
R,2012-08,ceh34,-1.73,-1.719,-2.636
R,2012-08,ceh36,-1.06,-1.182,-2.109
R,2012-08,wmc4,-1.25,-1.187,-1.551
R,2012-08,nw8,-1.82,-1.55,-1.894
R,2012-08,ceh3,-1.14,-1.308,-1.161
R,2012-08,ceh8,-0.76,-1.025,-1.145
R,2012-08,ceh15,-1.711,-1.779,-0.126
R,2012-08,ceh22,-0.65,-0.861,-0.718
R,2012-08,ceh35,-0.82,-0.967,-1.149
R,2012-08,ceh37,-0.73,-1.063,-1.285
R,2012-08,ceh38,-0.8,-1.051,-1.264
R,2012-09,nw1,-2.03,-1.612,-2.43
R,2012-09,nw2,-1.23,-1.206,-1.374
R,2012-09,nw3,-0.84,-0.749,-1.358
R,2012-09,nw4,-0.49,-0.811,-1.022
R,2012-09,nw4b,-0.55,-0.834,-1.118
R,2012-09,nw5,-1.0,-1.107,-1.059
R,2012-09,nw6,-0.82,-0.987,-1.253
R,2012-09,nw9,-1.099,-1.284,0.18
R,2012-09,nw11,-1.33,-1.236,-1.298
R,2012-09,ceh1,-1.26,-1.167,-1.88
R,2012-09,ceh4,-0.83,-1.008,-1.142
R,2012-09,ceh5,-0.26,-0.643,-1.511
R,2012-09,ceh6,-0.34,-0.521,-0.579
R,2012-09,ceh9,-1.23,-1.147,-3.317
R,2012-09,ceh10,-1.49,-1.271,-1.38
R,2012-09,ceh11,-0.43,-0.626,-0.751
R,2012-09,ceh16,-1.3,-1.374,-0.218
R,2012-09,ceh17,-2.41,-1.999,-0.672
R,2012-09,ceh18,-1.12,-1.112,-0.763
R,2012-09,ceh19,-1.15,-1.284,0.347
R,2012-09,ceh20,-1.99,-1.916,-1.772
R,2012-09,ceh21,-1.14,-1.102,-0.855
R,2012-09,ceh23,-0.11,-0.597,-0.769
R,2012-09,ceh24,-0.46,-0.865,-0.929
R,2012-09,ceh25,-0.155,-0.612,-0.776
R,2012-09,ceh26,-0.175,-0.595,-0.975
R,2012-09,ceh27,-0.3,-0.603,-0.797
R,2012-09,ceh28,-0.53,-0.847,-1.026
R,2012-09,ceh30,-2.36,-2.228,-1.764
R,2012-09,ceh31,-1.9,-1.728,-0.441
R,2012-09,ceh33,-2.46,-2.288,-1.924
R,2012-09,ceh34,-1.63,-1.645,-2.574
R,2012-09,ceh36,-0.97,-1.043,-1.973
R,2012-09,wmc3,-1.74,-1.322,-3.187
R,2012-09,wmc4,-1.13,-1.048,-1.434
R,2012-09,nw8,-1.83,-1.458,-1.821
R,2012-09,ceh3,-1.07,-1.227,-1.025
R,2012-09,ceh8,-0.64,-0.865,-0.996
R,2012-09,ceh15,-1.621,-1.704,0.014
R,2012-09,ceh22,-0.55,-0.712,-0.594
R,2012-09,ceh35,-0.72,-0.811,-1.013
R,2012-09,ceh37,-0.54,-0.901,-1.141
R,2012-09,ceh38,-0.72,-0.919,-1.128
R,2012-10,nw1,-1.77,-1.91,-2.038
R,2012-10,nw2,-0.97,-1.165,-1.209
R,2012-10,nw3,-0.38,-0.76,-1.324
R,2012-10,nw4,-0.03,-0.461,-0.589
R,2012-10,nw4b,-0.04,-0.489,-0.685
R,2012-10,nw5,-0.75,-0.929,-0.054
R,2012-10,nw6,-0.58,-0.722,-0.815
R,2012-10,nw7,-1.64,-1.348,-1.602
R,2012-10,nw9,-0.879,-1.071,0.254
R,2012-10,nw10,-1.73,-1.328,-1.322
R,2012-10,nw11,-1.01,-1.25,-1.278
R,2012-10,ceh1,-0.99,-1.184,-1.889
R,2012-10,ceh2,-1.8,-1.488,-2.557
R,2012-10,ceh4,-0.65,-0.769,-0.645
R,2012-10,ceh5,0.08,-0.221,-0.864
R,2012-10,ceh6,0.24,-0.157,-0.165
R,2012-10,ceh9,-0.93,-1.137,-2.312
R,2012-10,ceh10,-1.22,-1.424,-1.186
R,2012-10,ceh11,-0.14,-0.476,0.408
R,2012-10,ceh16,-1.09,-1.254,-0.292
R,2012-10,ceh17,-2.31,-2.295,-0.598
R,2012-10,ceh18,-0.82,-1.024,-0.176
R,2012-10,ceh19,-0.92,-1.11,0.374
R,2012-10,ceh20,-1.71,-1.958,-1.815
R,2012-10,ceh21,-0.98,-1.061,-0.959
R,2012-10,ceh23,0.02,-0.112,-0.15
R,2012-10,ceh24,-0.05,-0.461,-0.384
R,2012-10,ceh25,0.165,-0.125,-0.185
R,2012-10,ceh26,0.005,-0.171,-0.551
R,2012-10,ceh27,-0.03,-0.285,-0.444
R,2012-10,ceh28,-0.15,-0.517,-0.575
R,2012-10,ceh30,-2.06,-2.312,-1.807
R,2012-10,ceh31,-1.65,-1.865,-0.515
R,2012-10,ceh33,-2.19,-2.42,-1.967
R,2012-10,ceh34,-1.39,-1.595,-2.311
R,2012-10,ceh36,-0.73,-0.882,-1.476
R,2012-10,wmc3,-1.46,-1.524,-3.004
R,2012-10,wmc4,-0.85,-1.061,-1.05
R,2012-10,nw8,-1.57,-1.693,-1.638
R,2012-10,ceh3,-0.9,-1.034,-0.528
R,2012-10,ceh8,-0.24,-0.573,-0.541
R,2012-10,ceh15,-1.451,-1.577,-0.06
R,2012-10,ceh22,-0.39,-0.47,0.038
R,2012-10,ceh35,-0.53,-0.629,-0.516
R,2012-10,ceh37,-0.1,-0.545,-0.596
R,2012-10,ceh38,-0.5,-0.637,-0.631
R,2012-11,nw1,-1.23,-1.524,-1.739
R,2012-11,nw2,-0.43,-0.822,-0.88
R,2012-11,nw3,-0.03,-0.4,-0.963
R,2012-11,nw4,0.01,-0.12,-0.26
R,2012-11,nw4b,0.01,-0.146,-0.356
R,2012-11,nw5,-0.38,-0.599,0.169
R,2012-11,nw6,-0.26,-0.404,-0.523
R,2012-11,nw7,-1.2,-0.994,-1.324
R,2012-11,nw9,-0.589,-0.859,0.584
R,2012-11,nw10,-1.22,-1.067,-0.982
R,2012-11,nw11,-0.52,-0.902,-0.938
R,2012-11,ceh1,-0.55,-0.84,-1.545
R,2012-11,ceh2,-1.49,-1.223,-2.213
R,2012-11,ceh4,-0.3,-0.448,-0.333
R,2012-11,ceh5,0.25,0.131,-0.574
R,2012-11,ceh6,0.31,0.189,0.174
R,2012-11,ceh9,-0.59,-0.795,-2.089
R,2012-11,ceh10,-0.26,-1.022,-0.83
R,2012-11,ceh11,-0.04,-0.102,0.634
R,2012-11,ceh13,-1.79,-0.972,-3.546
R,2012-11,ceh14,-1.48,-1.093,-3.408
R,2012-11,ceh16,-0.82,-1.033,0.05
R,2012-11,ceh17,-1.88,-2.027,-0.268
R,2012-11,ceh18,-0.48,-0.688,0.097
R,2012-11,ceh19,-0.7,-0.896,0.713
R,2012-11,ceh20,-1.36,-1.685,-1.473
R,2012-11,ceh21,-0.77,-0.724,-0.604
R,2012-11,ceh23,0.02,0.23,0.173
R,2012-11,ceh24,0.21,-0.12,-0.067
R,2012-11,ceh25,0.255,0.218,0.136
R,2012-11,ceh26,0.025,0.176,-0.209
R,2012-11,ceh27,0.19,0.072,-0.094
R,2012-11,ceh28,0.07,-0.173,-0.246
R,2012-11,ceh30,-1.77,-2.032,-1.465
R,2012-11,ceh31,-1.35,-1.617,-0.173
R,2012-11,ceh33,-1.84,-2.138,-1.625
R,2012-11,ceh34,-1.07,-1.329,-2.061
R,2012-11,ceh36,-0.47,-0.555,-1.164
R,2012-11,wmc3,-1.18,-1.16,-2.801
R,2012-11,wmc4,-0.33,-0.724,-0.756
R,2012-11,nw8,-1.16,-1.453,-1.435
R,2012-11,ceh3,-0.81,-0.823,-0.216
R,2012-11,ceh8,-0.15,-0.225,-0.214
R,2012-11,ceh15,-1.091,-1.311,0.282
R,2012-11,ceh22,-0.17,-0.129,0.33
R,2012-11,ceh35,-0.29,-0.278,-0.204
R,2012-11,ceh37,0.06,-0.199,-0.279
R,2012-11,ceh38,-0.24,-0.324,-0.319
R,2012-12,nw1,-0.88,-1.224,-1.52
R,2012-12,nw2,-0.07,-0.561,-0.634
R,2012-12,nw3,0.03,-0.136,-0.697
R,2012-12,nw4,0.03,0.127,-0.024
R,2012-12,nw4b,0.02,0.102,-0.12
R,2012-12,nw5,0.06,-0.351,0.316
R,2012-12,nw6,0.09,-0.167,-0.311
R,2012-12,nw7,-0.87,-0.723,-1.126
R,2012-12,nw9,-0.359,-0.698,0.833
R,2012-12,nw10,-0.76,-0.845,-0.725
R,2012-12,nw11,-0.15,-0.637,-0.679
R,2012-12,nw13,-0.01,-0.345,-0.543
R,2012-12,ceh1,-0.04,-0.578,-1.284
R,2012-12,ceh2,-1.07,-0.998,-1.952
R,2012-12,ceh4,-0.05,-0.209,-0.112
R,2012-12,ceh5,0.3,0.36,-0.374
R,2012-12,ceh6,0.35,0.413,0.393
R,2012-12,ceh9,-0.18,-0.536,-1.942
R,2012-12,ceh10,-0.11,-0.717,-0.569
R,2012-12,ceh11,0.15,0.148,0.749
R,2012-12,ceh13,-1.34,-0.752,-3.334
R,2012-12,ceh14,-0.66,-0.87,-3.149
R,2012-12,ceh16,-0.48,-0.865,0.31
R,2012-12,ceh17,-1.73,-1.815,-0.019
R,2012-12,ceh18,-0.24,-0.435,0.292
R,2012-12,ceh19,-0.53,-0.734,0.97
R,2012-12,ceh20,-1.03,-1.452,-1.213
R,2012-12,ceh21,-0.49,-0.469,-0.333
R,2012-12,ceh23,0.03,0.451,0.377
R,2012-12,ceh24,0.48,0.127,0.158
R,2012-12,ceh25,0.335,0.44,0.339
R,2012-12,ceh26,0.015,0.402,0.011
R,2012-12,ceh27,0.21,0.307,0.135
R,2012-12,ceh28,0.1,0.077,-0.011
R,2012-12,ceh30,-1.44,-1.792,-1.205
R,2012-12,ceh31,-1.13,-1.423,0.087
R,2012-12,ceh33,-1.54,-1.896,-1.365
R,2012-12,ceh34,-0.7,-1.102,-1.849
R,2012-12,ceh36,-0.21,-0.309,-0.943
R,2012-12,wmc3,-0.86,-0.88,-2.65
R,2012-12,wmc4,-0.05,-0.469,-0.543
R,2012-12,nw8,-0.9,-1.266,-1.284
R,2012-12,ceh3,-0.64,-0.665,0.005
R,2012-12,ceh8,-0.11,0.028,0.02
R,2012-12,ceh15,-0.751,-1.084,0.542
R,2012-12,ceh22,0.03,0.118,0.532
R,2012-12,ceh35,0.03,-0.021,0.017
R,2012-12,ceh37,0.44,0.053,-0.054
R,2012-12,ceh38,0.01,-0.091,-0.098
R,2013-01,nw1,-0.78,-1.17,-1.543
R,2013-01,nw2,-0.06,-0.545,-0.631
R,2013-01,nw3,0.02,-0.144,-0.704
R,2013-01,nw4,0.01,0.101,-0.059
R,2013-01,nw4b,0.03,0.078,-0.155
R,2013-01,nw5,0.06,-0.347,0.226
R,2013-01,nw6,0.1,-0.173,-0.34
R,2013-01,nw7,-0.77,-0.698,-1.168
R,2013-01,nw9,-0.339,-0.701,0.838
R,2013-01,nw10,-0.49,-0.782,-0.712
R,2013-01,nw11,-0.1,-0.616,-0.665
R,2013-01,nw13,-0.01,-0.341,-0.571
R,2013-01,ceh1,0.0,-0.561,-1.267
R,2013-01,ceh2,-0.91,-0.933,-1.935
R,2013-01,ceh4,-0.07,-0.213,-0.162
R,2013-01,ceh5,0.23,0.272,-0.442
R,2013-01,ceh6,0.32,0.32,0.294
R,2013-01,ceh9,-0.14,-0.521,-2.032
R,2013-01,ceh10,-0.09,-0.688,-0.581
R,2013-01,ceh11,0.15,0.079,0.556
R,2013-01,ceh13,-1.03,-0.691,-3.283
R,2013-01,ceh14,-0.25,-0.807,-3.135
R,2013-01,ceh16,-0.41,-0.86,0.324
R,2013-01,ceh17,-1.71,-1.768,-0.014
R,2013-01,ceh18,-0.19,-0.426,0.246
R,2013-01,ceh19,-0.53,-0.735,0.982
R,2013-01,ceh20,-0.95,-1.378,-1.198
R,2013-01,ceh21,-0.45,-0.458,-0.306
R,2013-01,ceh23,0.04,0.355,0.264
R,2013-01,ceh24,0.49,0.101,0.112
R,2013-01,ceh25,0.375,0.344,0.226
R,2013-01,ceh26,0.015,0.31,-0.085
R,2013-01,ceh27,0.2,0.223,0.046
R,2013-01,ceh28,0.1,0.055,-0.046
R,2013-01,ceh30,-1.36,-1.712,-1.19
R,2013-01,ceh31,-1.12,-1.393,0.101
R,2013-01,ceh33,-1.43,-1.815,-1.35
R,2013-01,ceh34,-0.47,-1.035,-1.798
R,2013-01,ceh36,-0.2,-0.308,-0.993
R,2013-01,wmc3,-0.79,-0.845,-2.661
R,2013-01,wmc4,-0.05,-0.458,-0.571
R,2013-01,nw8,-0.88,-1.243,-1.295
R,2013-01,ceh3,-0.67,-0.669,-0.045
R,2013-01,ceh7,0.29,-0.048,0.282
R,2013-01,ceh8,-0.1,0.009,-0.017
R,2013-01,ceh15,-0.601,-1.017,0.556
R,2013-01,ceh22,0.02,0.093,0.464
R,2013-01,ceh35,0.01,-0.037,-0.033
R,2013-01,ceh37,0.45,0.032,-0.1
R,2013-01,ceh38,-0.01,-0.102,-0.148
R,2013-02,nw1,-0.87,-1.126,-1.572
R,2013-02,nw2,-0.15,-0.537,-0.636
R,2013-02,nw3,-0.01,-0.16,-0.719
R,2013-02,nw4,0.03,0.07,-0.1
R,2013-02,nw4b,0.02,0.048,-0.196
R,2013-02,nw5,0.06,-0.35,0.133
R,2013-02,nw6,0.09,-0.186,-0.375
R,2013-02,nw7,-0.78,-0.681,-1.214
R,2013-02,nw9,-0.399,-0.709,0.836
R,2013-02,nw10,-0.37,-0.726,-0.707
R,2013-02,nw11,-0.2,-0.604,-0.659
R,2013-02,nw13,-0.18,-0.345,-0.605
R,2013-02,ceh1,0.13,-0.552,-1.259
R,2013-02,ceh2,-0.7,-0.874,-1.927
R,2013-02,ceh4,-0.23,-0.223,-0.217
R,2013-02,ceh5,0.17,0.182,-0.515
R,2013-02,ceh6,0.03,0.226,0.194
R,2013-02,ceh9,-0.1,-0.514,-2.125
R,2013-02,ceh10,-0.37,-0.669,-0.599
R,2013-02,ceh11,0.23,0.006,0.371
R,2013-02,ceh13,-0.67,-0.636,-3.237
R,2013-02,ceh14,0.11,-0.751,-3.129
R,2013-02,ceh16,-0.45,-0.861,0.331
R,2013-02,ceh17,-1.67,-1.727,-0.016
R,2013-02,ceh18,-0.23,-0.425,0.195
R,2013-02,ceh19,-0.54,-0.742,0.987
R,2013-02,ceh20,-0.78,-1.311,-1.19
R,2013-02,ceh21,-0.53,-0.455,-0.288
R,2013-02,ceh23,0.0,0.258,0.153
R,2013-02,ceh24,0.34,0.07,0.061
R,2013-02,ceh25,0.205,0.248,0.114
R,2013-02,ceh26,-0.005,0.217,-0.183
R,2013-02,ceh27,0.09,0.138,-0.045
R,2013-02,ceh28,0.06,0.027,-0.087
R,2013-02,ceh30,-1.2,-1.639,-1.182
R,2013-02,ceh31,-1.08,-1.37,0.108
R,2013-02,ceh33,-1.24,-1.739,-1.342
R,2013-02,ceh34,-0.35,-0.974,-1.752
R,2013-02,ceh36,-0.25,-0.313,-1.048
R,2013-02,wmc3,-0.69,-0.82,-2.677
R,2013-02,wmc4,-0.21,-0.455,-0.605
R,2013-02,nw8,-0.86,-1.226,-1.311
R,2013-02,ceh3,-0.84,-0.678,-0.1
R,2013-02,ceh7,0.09,-0.07,0.216
R,2013-02,ceh8,-0.1,-0.016,-0.06
R,2013-02,ceh15,-0.511,-0.957,0.563
R,2013-02,ceh22,-0.15,0.062,0.393
R,2013-02,ceh35,-0.24,-0.059,-0.088
R,2013-02,ceh37,0.3,0.005,-0.151
R,2013-02,ceh38,-0.13,-0.119,-0.203
R,2013-03,nw1,-1.12,-0.987,-1.501
R,2013-03,nw2,-0.35,-0.431,-0.542
R,2013-03,nw3,-0.07,-0.065,-0.623
R,2013-03,nw4,-0.01,0.15,-0.029
R,2013-03,nw4b,-0.06,0.13,-0.125
R,2013-03,nw5,-0.1,-0.255,0.144
R,2013-03,nw6,-0.1,-0.1,-0.309
R,2013-03,nw7,-0.9,-0.567,-1.16
R,2013-03,nw9,-0.499,-0.65,0.932
R,2013-03,nw10,-0.41,-0.607,-0.604
R,2013-03,nw11,-0.32,-0.494,-0.556
R,2013-03,nw13,-0.31,-0.25,-0.538
R,2013-03,ceh1,-0.05,-0.445,-1.153
R,2013-03,ceh2,-0.77,-0.753,-1.821
R,2013-03,ceh4,-0.38,-0.135,-0.158
R,2013-03,ceh5,-0.048,0.23,-0.473
R,2013-03,ceh6,-0.13,0.27,0.234
R,2013-03,ceh9,-0.19,-0.41,-2.114
R,2013-03,ceh10,-0.69,-0.541,-0.507
R,2013-03,ceh11,0.01,0.07,0.332
R,2013-03,ceh13,-0.58,-0.519,-3.128
R,2013-03,ceh14,0.03,-0.631,-3.026
R,2013-03,ceh16,-0.57,-0.795,0.436
R,2013-03,ceh17,-1.79,-1.622,0.08
R,2013-03,ceh18,-0.4,-0.325,0.245
R,2013-03,ceh19,-0.63,-0.681,1.089
R,2013-03,ceh20,-0.83,-1.181,-1.085
R,2013-03,ceh21,-0.64,-0.353,-0.174
R,2013-03,ceh23,-0.13,0.299,0.181
R,2013-03,ceh24,0.25,0.15,0.124
R,2013-03,ceh25,-0.155,0.29,0.141
R,2013-03,ceh26,-0.105,0.262,-0.141
R,2013-03,ceh27,-0.03,0.19,0.003
R,2013-03,ceh28,0.0,0.11,-0.016
R,2013-03,ceh30,-1.31,-1.503,-1.077
R,2013-03,ceh31,-1.22,-1.281,0.213
R,2013-03,ceh33,-1.3,-1.602,-1.237
R,2013-03,ceh34,-0.37,-0.85,-1.643
R,2013-03,ceh36,-0.38,-0.22,-0.989
R,2013-03,wmc3,-0.85,-0.698,-2.625
R,2013-03,wmc4,-0.34,-0.353,-0.538
R,2013-03,nw8,-1.02,-1.144,-1.259
R,2013-03,ceh3,-0.81,-0.62,-0.041
R,2013-03,ceh7,-0.04,0.019,0.264
R,2013-03,ceh8,-0.13,0.069,0.01
R,2013-03,ceh15,-0.611,-0.833,0.668
R,2013-03,ceh22,-0.24,0.143,0.436
R,2013-03,ceh35,-0.38,0.029,-0.029
R,2013-03,ceh37,0.21,0.09,-0.088
R,2013-03,ceh38,-0.29,-0.037,-0.144
R,2013-04,nw1,-1.31,-1.098,-1.678
R,2013-04,nw2,-0.51,-0.574,-0.697
R,2013-04,nw3,-0.34,-0.24,-0.797
R,2013-04,nw4,-0.18,-0.039,-0.226
R,2013-04,nw4b,-0.23,-0.058,-0.322
R,2013-04,nw5,-0.28,-0.408,-0.09
R,2013-04,nw6,-0.28,-0.262,-0.491
R,2013-04,nw7,-1.04,-0.703,-1.353
R,2013-04,nw9,-0.599,-0.759,0.779
R,2013-04,nw10,-0.61,-0.688,-0.75
R,2013-04,nw11,-0.51,-0.634,-0.701
R,2013-04,nw13,-0.49,-0.403,-0.719
R,2013-04,ceh1,-0.41,-0.588,-1.296
R,2013-04,ceh2,-0.94,-0.831,-1.964
R,2013-04,ceh4,-0.51,-0.296,-0.367
R,2013-04,ceh5,-0.29,-0.006,-0.697
R,2013-04,ceh6,-0.31,0.031,-0.01
R,2013-04,ceh9,-0.35,-0.554,-2.348
R,2013-04,ceh10,-1.06,-0.686,-0.685
R,2013-04,ceh11,-0.23,-0.152,0.017
R,2013-04,ceh13,-0.7,-0.602,-3.22
R,2013-04,ceh14,-0.27,-0.712,-3.171
R,2013-04,ceh16,-0.66,-0.898,0.291
R,2013-04,ceh17,-1.89,-1.688,-0.073
R,2013-04,ceh18,-0.55,-0.475,0.049
R,2013-04,ceh19,-0.74,-0.789,0.943
R,2013-04,ceh20,-0.96,-1.252,-1.229
R,2013-04,ceh21,-0.78,-0.501,-0.308
R,2013-04,ceh23,-0.34,0.057,-0.073
R,2013-04,ceh24,0.09,-0.039,-0.082
R,2013-04,ceh25,-0.445,0.049,-0.114
R,2013-04,ceh26,-0.335,0.023,-0.384
R,2013-04,ceh27,-0.28,-0.042,-0.234
R,2013-04,ceh28,-0.24,-0.077,-0.213
R,2013-04,ceh30,-1.42,-1.568,-1.221
R,2013-04,ceh31,-1.33,-1.362,0.068
R,2013-04,ceh33,-1.42,-1.665,-1.381
R,2013-04,ceh34,-0.53,-0.927,-1.735
R,2013-04,ceh36,-0.52,-0.375,-1.198
R,2013-04,wmc3,-0.97,-0.826,-2.743
R,2013-04,wmc4,-0.52,-0.501,-0.719
R,2013-04,nw8,-1.16,-1.231,-1.377
R,2013-04,ceh3,-0.96,-0.731,-0.25
R,2013-04,ceh7,-0.2,-0.161,0.046
R,2013-04,ceh8,-0.17,-0.115,-0.189
R,2013-04,ceh15,-0.761,-0.911,0.523
R,2013-04,ceh22,-0.36,-0.045,0.213
R,2013-04,ceh35,-0.49,-0.152,-0.238
R,2013-04,ceh37,0.05,-0.096,-0.294
R,2013-04,ceh38,-0.42,-0.203,-0.353
R,2013-05,nw1,-1.42,-1.23,-1.87
R,2013-05,nw2,-0.61,-0.736,-0.869
R,2013-05,nw3,-0.44,-0.426,-0.982
R,2013-05,nw4,-0.27,-0.238,-0.432
R,2013-05,nw4b,-0.31,-0.255,-0.528
R,2013-05,nw5,-0.46,-0.579,-0.336
R,2013-05,nw6,-0.41,-0.442,-0.688
R,2013-05,nw7,-1.17,-0.857,-1.56
R,2013-05,nw9,-0.709,-0.883,0.609
R,2013-05,nw10,-0.76,-0.824,-0.914
R,2013-05,nw11,-0.64,-0.792,-0.864
R,2013-05,nw13,-0.6,-0.575,-0.916
R,2013-05,ceh1,-0.55,-0.748,-1.457
R,2013-05,ceh2,-1.07,-0.964,-2.125
R,2013-05,ceh4,-0.64,-0.473,-0.585
R,2013-05,ceh5,-0.42,-0.215,-0.929
R,2013-05,ceh6,-0.35,-0.181,-0.226
R,2013-05,ceh9,-0.54,-0.717,-2.594
R,2013-05,ceh10,-1.27,-0.843,-0.873
R,2013-05,ceh11,-0.42,-0.348,-0.264
R,2013-05,ceh13,-0.78,-0.739,-3.365
R,2013-05,ceh14,-0.43,-0.847,-3.334
R,2013-05,ceh16,-0.77,-1.016,0.129
R,2013-05,ceh17,-2.01,-1.771,-0.243
R,2013-05,ceh18,-0.69,-0.642,-0.161
R,2013-05,ceh19,-0.85,-0.912,0.779
R,2013-05,ceh20,-1.06,-1.378,-1.392
R,2013-05,ceh21,-0.91,-0.667,-0.462
R,2013-05,ceh23,-0.38,-0.157,-0.298
R,2013-05,ceh24,-0.15,-0.238,-0.296
R,2013-05,ceh25,-0.535,-0.165,-0.339
R,2013-05,ceh26,-0.395,-0.188,-0.598
R,2013-05,ceh27,-0.37,-0.248,-0.443
R,2013-05,ceh28,-0.4,-0.273,-0.42
R,2013-05,ceh30,-1.53,-1.688,-1.384
