date,h_scene,dh_month,phase,open_water_ha,wet_floor_ha,dark_total_ha
2016-11-26,-0.796,0.122,wetting,1.93,34.28,36.21
2016-11-29,-0.784,0.122,wetting,1.7,33.29,34.99
2017-01-05,-0.78,0.123,wetting,2.53,35.5,38.03
2017-02-04,-0.666,0.071,wetting,1.07,32.57,33.65
2019-02-27,-0.762,-0.081,drying,0.57,23.28,23.85
2019-03-24,-0.695,0.088,wetting,2.08,26.62,28.7
2019-04-10,-0.692,-0.051,drying,0.43,20.8,21.23
2019-04-13,-0.697,-0.051,drying,0.33,19.29,19.62
2019-11-29,-0.676,0.187,wetting,3.36,29.11,32.47
2020-01-03,-0.647,0.127,wetting,2.37,35.35,37.73
2020-01-15,-0.597,0.127,wetting,2.27,37.25,39.52
2020-03-25,-0.409,-0.206,drying,7.53,41.51,49.04
2020-04-07,-0.498,-0.208,drying,3.0,37.92,40.92
2020-04-14,-0.546,-0.208,drying,0.5,30.23,30.73
2021-01-09,-0.073,0.059,wetting,58.11,61.03,119.14
2021-02-28,0.03,0.065,wetting,38.15,58.48,96.63
2021-03-30,0.02,-0.01,flat,22.67,58.97,81.64
2021-04-02,0.001,-0.284,drying,28.22,60.58,88.8
2021-04-04,-0.017,-0.284,drying,24.51,59.32,83.83
2022-01-12,-0.157,-0.245,drying,10.96,48.53,59.49
2022-01-14,-0.173,-0.245,drying,12.35,48.75,61.1
2022-01-17,-0.197,-0.245,drying,11.39,47.85,59.24
2022-03-18,-0.317,-0.265,drying,5.93,41.19,47.12
2022-03-20,-0.334,-0.265,drying,7.02,38.12,45.14
2022-03-23,-0.36,-0.265,drying,2.6,37.1,39.7
2022-03-28,-0.404,-0.265,drying,1.83,35.69,37.52
2023-02-06,-0.529,-0.195,drying,1.71,33.22,34.93
2023-02-13,-0.574,-0.195,drying,1.69,32.04,33.73
2023-02-23,-0.638,-0.195,drying,8.69,34.05,42.75
2024-01-17,-0.132,0.103,wetting,11.84,45.69,57.53
2024-11-27,-0.781,0.01,flat,2.59,34.24,36.83
2025-01-16,-0.3,0.181,wetting,5.97,39.51,45.48
2025-03-19,-0.472,-0.26,drying,1.93,32.78,34.71
2025-03-24,-0.515,-0.26,drying,0.94,32.81,33.75
2025-04-03,-0.595,-0.208,drying,2.53,29.37,31.9
2025-04-05,-0.609,-0.208,drying,0.47,28.02,28.49
2025-04-06,-0.616,-0.208,drying,0.5,28.58,29.08
2025-04-11,-0.65,-0.208,drying,0.42,24.75,25.17
2026-01-03,-0.19,0.0,flat,13.93,45.87,59.8
2026-03-04,-0.092,-0.088,drying,19.13,51.97,71.1
2026-03-14,-0.121,-0.088,drying,14.66,47.42,62.09
2026-03-19,-0.135,-0.088,drying,15.06,50.44,65.5
2026-03-21,-0.141,-0.088,drying,15.93,48.17,64.1
