# Sentinel-2 scene manifest for the Newborough wet-area model (D-178, T-40).
# The INPUT of record for the wet-area line: these Copernicus scenes are LISTED,
# not committed. Re-fetch each stac_id from https://earth-search.aws.element84.com/v1 (collection sentinel-2-l2a),
# reproject onto the 10 m OSGB grid [239770,362090,244360,364940], and the derivation
# should reproduce W94_27_two_class_series.csv. b8_sha256 is the sha256 of this
# session's cached B8 array for the scene (working-store; blank where not cached).
# Classes: open water B8<=0.5 x floor median; wet floor 0.5-0.8.
# Generated by sentinel_wet_floor.py 1.11.0 --write-manifest.
date,stac_id,tile,collection,tile_cloud_pct,clear_pct,winter,used_in_fit,excluded,b8_sha256
2016-11-26,S2A_30UVD_20161126_0_L2A,30UVD,sentinel-2-l2a,8.6,99.7,True,True,False,916691a56a529aac907a0ce11738a6950c8f455e3e9ce6c63130dd83002e8023
2016-11-29,S2A_30UVD_20161129_0_L2A,30UVD,sentinel-2-l2a,0.2,99.8,True,True,False,d667130f30abf5d97ac8711dbba1c870d2fe288b5b43eb51954beef61963de70
2016-12-26,S2A_30UVD_20161226_0_L2A,30UVD,sentinel-2-l2a,16.5,99.0,True,False,True,
2017-01-05,S2A_30UVD_20170105_0_L2A,30UVD,sentinel-2-l2a,1.6,99.5,True,True,False,9a9e08409663df3893ed99622f168219d9c4fe1b86996381ebaed24dadb27d10
2017-02-04,S2A_30UVD_20170204_0_L2A,30UVD,sentinel-2-l2a,23.2,99.5,True,True,False,bc0e77a282f97358effbc1758c560c468e40b89411b9d469cc9c52b935a3b7fe
2017-07-02,S2B_30UVD_20170702_0_L2A,30UVD,sentinel-2-l2a,12.9,100.0,False,False,False,
2018-04-20,S2A_30UVD_20180420_0_L2A,30UVD,sentinel-2-l2a,15.9,99.9,False,False,False,
2018-05-05,S2B_30UVD_20180505_0_L2A,30UVD,sentinel-2-l2a,7.2,99.3,False,False,False,
2018-05-10,S2A_30UVD_20180510_0_L2A,30UVD,sentinel-2-l2a,22.5,100.0,False,False,False,
2018-05-13,S2A_30UVD_20180513_0_L2A,30UVD,sentinel-2-l2a,22.1,100.0,False,False,False,
2018-05-23,S2A_30UVD_20180523_0_L2A,30UVD,sentinel-2-l2a,0.1,100.0,False,False,False,
2018-06-07,S2B_30UVD_20180607_0_L2A,30UVD,sentinel-2-l2a,1.6,100.0,False,False,False,
2018-06-22,S2A_30UVD_20180622_0_L2A,30UVD,sentinel-2-l2a,0.4,99.7,False,False,False,
2018-06-24,S2B_30UVD_20180624_0_L2A,30UVD,sentinel-2-l2a,15.8,100.0,False,False,False,
2018-06-29,S2A_30UVD_20180629_1_L2A,30UVD,sentinel-2-l2a,0.0,100.0,False,False,False,
2018-07-02,S2A_30UVD_20180702_0_L2A,30UVD,sentinel-2-l2a,0.4,100.0,False,False,False,
2018-07-04,S2B_30UVD_20180704_0_L2A,30UVD,sentinel-2-l2a,15.8,100.0,False,False,False,
2018-07-14,S2B_30UVD_20180714_0_L2A,30UVD,sentinel-2-l2a,13.5,100.0,False,False,False,
2018-08-31,S2A_30UVD_20180831_0_L2A,30UVD,sentinel-2-l2a,3.1,100.0,False,False,False,
2018-09-27,S2A_30UVD_20180927_0_L2A,30UVD,sentinel-2-l2a,1.1,99.8,False,False,False,
2018-10-10,S2A_30UVD_20181010_0_L2A,30UVD,sentinel-2-l2a,0.5,100.0,False,False,False,
2018-10-20,S2A_30UVD_20181020_0_L2A,30UVD,sentinel-2-l2a,22.7,98.7,False,False,False,
2018-10-22,S2B_30UVD_20181022_0_L2A,30UVD,sentinel-2-l2a,15.5,89.1,False,False,False,
2019-02-27,S2A_30UVD_20190227_0_L2A,30UVD,sentinel-2-l2a,0.1,100.0,True,True,False,4ac219570c61a9e27190956791b6bc37713cae3df46303aadb26d5edd3942439
2019-03-24,S2B_30UVD_20190324_0_L2A,30UVD,sentinel-2-l2a,19.6,100.0,True,True,False,7a180beb520ca4dfd9445471aa4c4a6b69692e66801627fedc78909f86ffde7c
2019-04-10,S2B_30UVD_20190410_0_L2A,30UVD,sentinel-2-l2a,13.8,100.0,True,True,False,526802512a6d8404d10c39727264602b1010b4f294d99cacf970010aa2560469
2019-04-13,S2B_30UVD_20190413_0_L2A,30UVD,sentinel-2-l2a,20.1,100.0,True,True,False,e1df5650dc75b64070bb90230a0c9a42696c1ce5e6d49d50129c4904b719be5e
2019-05-15,S2A_30UVD_20190515_0_L2A,30UVD,sentinel-2-l2a,12.0,100.0,False,False,False,
2019-06-27,S2A_30UVD_20190627_1_L2A,30UVD,sentinel-2-l2a,0.0,100.0,False,False,False,
2019-07-29,S2B_30UVD_20190729_0_L2A,30UVD,sentinel-2-l2a,13.1,100.0,False,False,False,
2019-08-13,S2A_30UVD_20190813_0_L2A,30UVD,sentinel-2-l2a,23.7,100.0,False,False,False,
2019-08-26,S2A_30UVD_20190826_0_L2A,30UVD,sentinel-2-l2a,10.4,99.0,False,False,False,
2019-09-20,S2B_30UVD_20190920_1_L2A,30UVD,sentinel-2-l2a,0.1,100.0,False,False,False,
2019-11-29,S2B_30UVD_20191129_1_L2A,30UVD,sentinel-2-l2a,0.4,99.7,True,True,False,7ab5c1f2eb8c118b1c4b5ae12d5488583f7ffb7f895d638b2a58bb96d340cac3
2020-01-03,S2A_30UVD_20200103_0_L2A,30UVD,sentinel-2-l2a,21.2,98.5,True,True,False,ea9ddea95af90e68372fef1938e115617b0724a69e7b0164de5e98e6c89f54ae
2020-01-15,S2B_30UVD_20200115_0_L2A,30UVD,sentinel-2-l2a,15.2,99.9,True,True,False,02e20a08f26f9696e9c989e49f749f247bda15107e361fbe75d524e900f7570c
2020-03-25,S2B_30UVD_20200325_0_L2A,30UVD,sentinel-2-l2a,9.0,100.0,True,True,False,d2c7690ab9880563d131558a4ed58e54aee2baf76ede4523977f19ec21536123
2020-04-07,S2B_30UVD_20200407_0_L2A,30UVD,sentinel-2-l2a,7.2,100.0,True,True,False,39a295bf1fa73e039d29108efa4254beedd6fc51d617e205cb3dde5843f9c357
2020-04-14,S2B_30UVD_20200414_0_L2A,30UVD,sentinel-2-l2a,3.3,100.0,True,True,False,63b1fbf9e776d2463d935f8b8b63c8e4ea016ce8135f0978e08ba71a70e6c5d1
2020-04-19,S2A_30UVD_20200419_0_L2A,30UVD,sentinel-2-l2a,7.4,88.6,False,False,False,
2020-04-24,S2B_30UVD_20200424_0_L2A,30UVD,sentinel-2-l2a,5.4,100.0,False,False,False,
2020-05-09,S2A_30UVD_20200509_0_L2A,30UVD,sentinel-2-l2a,24.3,100.0,False,False,False,
2020-05-27,S2B_30UVD_20200527_0_L2A,30UVD,sentinel-2-l2a,3.9,100.0,False,False,False,
2020-05-29,S2A_30UVD_20200529_0_L2A,30UVD,sentinel-2-l2a,2.9,100.0,False,False,False,
2020-06-01,S2A_30UVD_20200601_1_L2A,30UVD,sentinel-2-l2a,0.0,100.0,False,False,False,
2020-09-14,S2B_30UVD_20200914_0_L2A,30UVD,sentinel-2-l2a,20.5,100.0,False,False,False,
2020-09-19,S2A_30UVD_20200919_0_L2A,30UVD,sentinel-2-l2a,17.1,100.0,False,False,False,
2020-09-21,S2B_30UVD_20200921_1_L2A,30UVD,sentinel-2-l2a,1.7,98.9,False,False,False,
2021-01-09,S2B_30UVD_20210109_0_L2A,30UVD,sentinel-2-l2a,14.2,93.8,True,True,False,ad226018a74b02bef0dbb7ed5812c39e804caeb42c4c40a15c3c162edfd5b539
2021-02-28,S2B_30UVD_20210228_0_L2A,30UVD,sentinel-2-l2a,0.4,99.7,True,True,False,db854adf44e462e7a66b211b6314f8739b78b0f39de2536a2a52c6d4c7c136be
2021-03-30,S2B_30UVD_20210330_0_L2A,30UVD,sentinel-2-l2a,13.4,99.9,True,True,False,4d53827294baafc6336801b6d9118328323f317207d8ab5acf1b78e369c03d51
2021-04-02,S2B_30UVD_20210402_0_L2A,30UVD,sentinel-2-l2a,0.7,100.0,True,True,False,1a3b75f85d5ffe276ffe63d6fc250d64c5293702890fe878d2c8cd4460f69de1
2021-04-04,S2A_30UVD_20210404_0_L2A,30UVD,sentinel-2-l2a,2.3,100.0,True,True,False,c7dc7335812b9be7ce4c4881e783cdae48d38d6950eb940bc6217d3b87cedb3d
2021-04-19,S2B_30UVD_20210419_0_L2A,30UVD,sentinel-2-l2a,14.7,100.0,False,False,False,
2021-04-22,S2B_30UVD_20210422_0_L2A,30UVD,sentinel-2-l2a,3.1,98.3,False,False,False,
2021-05-27,S2A_30UVD_20210527_0_L2A,30UVD,sentinel-2-l2a,10.0,98.4,False,False,False,
2021-07-18,S2B_30UVD_20210718_0_L2A,30UVD,sentinel-2-l2a,6.0,100.0,False,False,False,
2021-07-21,S2B_30UVD_20210721_1_L2A,30UVD,sentinel-2-l2a,2.0,100.0,False,False,False,
2022-01-12,S2A_30UVD_20220112_0_L2A,30UVD,sentinel-2-l2a,7.2,98.8,True,True,False,0fc53bdbe77e9f703abeffe305aab1625a761c7d8c2a3a5f1b7db98b8fb2f341
2022-01-14,S2B_30UVD_20220114_0_L2A,30UVD,sentinel-2-l2a,0.6,99.4,True,True,False,6ee81b5f3e4069f96fae6560d6f0bd42787669b26c3a5067f908ca957570eafb
2022-01-17,S2B_30UVD_20220117_0_L2A,30UVD,sentinel-2-l2a,2.1,99.5,True,True,False,51662994a80eb59d25fb15a4d9ca948db3c6b451dce4fb2858b69cb1e272089a
2022-03-18,S2B_30UVD_20220318_0_L2A,30UVD,sentinel-2-l2a,16.9,100.0,True,True,False,49badefb9e170a695c6a00ba33fbf5cf8780d87032967f0a62c996536e12dd7b
2022-03-20,S2A_30UVD_20220320_1_L2A,30UVD,sentinel-2-l2a,2.3,99.8,True,True,False,0ca700c51992e67f65e479ca831a2bfa534929e4961cf2778657be053f4b1b9f
2022-03-23,S2A_30UVD_20220323_0_L2A,30UVD,sentinel-2-l2a,4.7,100.0,True,True,False,9bf054490b4bd64aefc1504ba367e04d084c1cf87117a705701b9569625c7f78
2022-03-28,S2B_30UVD_20220328_0_L2A,30UVD,sentinel-2-l2a,19.8,100.0,True,True,False,d25023ae7542da376189496ccc2e48e40428c991d85adf536c8d17adc224a7b8
2022-04-24,S2B_30UVD_20220424_0_L2A,30UVD,sentinel-2-l2a,23.0,100.0,False,False,False,
2022-08-10,S2A_30UVD_20220810_0_L2A,30UVD,sentinel-2-l2a,0.7,100.0,False,False,False,
2022-08-12,S2B_30UVD_20220812_0_L2A,30UVD,sentinel-2-l2a,1.0,100.0,False,False,False,
2022-08-25,S2B_30UVD_20220825_0_L2A,30UVD,sentinel-2-l2a,17.2,100.0,False,False,False,
2022-12-15,S2A_30UVD_20221215_0_L2A,30UVD,sentinel-2-l2a,0.3,99.7,True,False,False,
2023-01-17,S2A_30UVD_20230117_0_L2A,30UVD,sentinel-2-l2a,15.8,100.0,True,False,False,
