class,n_scenes,R2_h_only,R2_h_dh,dh_coef,dh_p,wetting_vs_drying_ratio,n_wetting,n_drying,R2_h_dh_P,P_coef_per_100mm,P_p,n_scenes_P,R2_h_dh_P_field_month,P_coef_per_100mm_field_month,P_p_field_month,n_scenes_P_field_month,zero_area_clipped
open_water,43,0.7116657182932421,0.7705241755971949,2.236875746548564,0.0026680136788815104,2.212748661214777,12,28,0.7744293037658334,-1.3119146738415535,0.028465076886021057,39,0.7582724057068146,-0.08029554627932993,0.8557715703136377,41,False
wet_floor,43,0.7674518664643439,0.7912814673578348,0.2950249533112262,0.03876358781884982,1.1531856220002437,12,28,0.8284470619730946,-0.36227122615781726,0.001423624333666889,39,0.7987975269513861,-0.14891751537888195,0.08160201646520251,41,False
