cls,a,b,sigma_log,sigma_factor,rho,n,h_min,h_max
open_water,24.932771164189795,4.432727242069894,0.7356704093524397,2.0868805879004815,0.804832929459964,43,-0.796,0.03
wet_floor,56.0929203123104,0.9541606495867276,0.13694762947016922,1.1467680900952948,0.8498942917547568,43,-0.796,0.03
dark_total,79.13324512271052,1.4065234973631477,0.18761042256862465,1.2063634518176145,0.846723044397463,43,-0.796,0.03
