month,mode,median_level_modelled_m,median_level_observed_m,n_wells_observed,open_water_ha_modelled,wet_floor_ha_modelled,open_water_ha_observed,wet_floor_ha_observed,sentinel_index
2009-06,R,-1.125,-0.86,33,0.17,19.174,0.551,24.691,
2009-07,R,-1.079,-0.86,33,0.209,20.035,0.551,24.691,
2009-08,R,-1.015,-0.89,33,0.277,21.296,0.482,23.994,
2009-09,R,-1.18,-0.97,32,0.133,18.194,0.338,22.231,
2009-10,R,-0.924,-1.045,32,0.415,23.228,0.243,20.695,
2009-11,R,-0.4,-0.53,33,4.234,38.296,2.379,33.829,
2009-12,R,-0.301,-0.53,33,6.566,42.09,2.379,33.829,
2010-01,R,-0.315,-0.495,34,6.171,41.531,2.779,34.977,
2010-02,R,-0.399,-0.645,34,4.253,38.333,1.429,30.313,
2010-03,R,-0.361,-0.34,40,5.033,39.748,5.524,40.552,
2010-04,R,-0.574,-0.64,41,1.958,32.438,1.461,30.458,
2010-05,R,-0.741,-0.76,41,0.934,27.66,0.858,27.163,
2010-06,R,-0.98,-0.955,44,0.324,22.02,0.362,22.551,
2010-07,R,-0.877,-0.81,45,0.511,24.294,0.688,25.897,
2010-08,R,-1.086,-1.04,46,0.202,19.901,0.248,20.794,
2010-09,R,-1.026,-1.055,46,0.264,21.074,0.232,20.499,
2010-10,R,-0.93,-0.98,46,0.404,23.096,0.324,22.02,
2010-11,R,-0.834,-0.885,46,0.618,25.311,0.493,24.109,
2010-12,R,-0.817,-0.86,45,0.667,25.725,0.551,24.691,
2011-01,R,-0.819,-0.755,50,0.661,25.676,0.878,27.293,
2011-02,R,-0.722,-0.68,50,1.016,28.166,1.224,29.317,
2011-03,R,-0.847,-0.839,50,0.584,24.999,0.605,25.191,
