well,window_years,window_end_year,MINw_m_bg,cluster_id,cluster_label,network
ceh16,4,2013,-1.285,5,C5 (Coastal Forest),Reference
ceh16,4,2014,-1.31,5,C5 (Coastal Forest),Reference
ceh16,4,2015,-1.31,5,C5 (Coastal Forest),Reference
ceh16,4,2016,-1.2200000000000002,5,C5 (Coastal Forest),Reference
ceh16,4,2017,-1.1225,5,C5 (Coastal Forest),Reference
ceh16,4,2018,-1.1925,5,C5 (Coastal Forest),Reference
ceh16,4,2019,-1.2675,5,C5 (Coastal Forest),Reference
ceh16,4,2020,-1.3425,5,C5 (Coastal Forest),Reference
ceh16,4,2021,-1.3925,5,C5 (Coastal Forest),Reference
ceh16,4,2022,-1.3025000000000002,5,C5 (Coastal Forest),Reference
ceh16,4,2023,-1.3,5,C5 (Coastal Forest),Reference
ceh16,4,2024,-1.25,5,C5 (Coastal Forest),Reference
ceh16,4,2025,-1.175,5,C5 (Coastal Forest),Reference
ceh17,4,2012,-2.2125,5,C5 (Coastal Forest),Reference
ceh17,4,2013,-2.395,5,C5 (Coastal Forest),Reference
ceh17,4,2014,-2.4325,5,C5 (Coastal Forest),Reference
ceh17,4,2015,-2.4175,5,C5 (Coastal Forest),Reference
ceh17,4,2016,-2.3925,5,C5 (Coastal Forest),Reference
ceh17,4,2017,-2.3275,5,C5 (Coastal Forest),Reference
ceh17,4,2018,-2.3825000000000003,5,C5 (Coastal Forest),Reference
ceh17,4,2019,-2.4525,5,C5 (Coastal Forest),Reference
ceh17,4,2024,-2.44,5,C5 (Coastal Forest),Reference
ceh17,4,2025,-2.3600000000000003,5,C5 (Coastal Forest),Reference
ceh18,4,2012,-1.0675000000000001,3,C3 (Western Residual),Reference
ceh18,4,2013,-1.225,3,C3 (Western Residual),Reference
ceh18,4,2014,-1.26,3,C3 (Western Residual),Reference
ceh18,4,2015,-1.2725,3,C3 (Western Residual),Reference
ceh18,4,2016,-1.2799999999999998,3,C3 (Western Residual),Reference
ceh18,4,2017,-1.2149999999999999,3,C3 (Western Residual),Reference
ceh18,4,2018,-1.24,3,C3 (Western Residual),Reference
ceh18,4,2019,-1.2925,3,C3 (Western Residual),Reference
ceh18,4,2020,-1.3025,3,C3 (Western Residual),Reference
ceh18,4,2021,-1.3399999999999999,3,C3 (Western Residual),Reference
ceh18,4,2022,-1.305,3,C3 (Western Residual),Reference
ceh18,4,2023,-1.3275,3,C3 (Western Residual),Reference
ceh18,4,2024,-1.2850000000000001,3,C3 (Western Residual),Reference
ceh18,4,2025,-1.2475,3,C3 (Western Residual),Reference
ceh19,4,2012,-1.0825,5,C5 (Coastal Forest),Reference
ceh19,4,2013,-1.21,5,C5 (Coastal Forest),Reference
ceh19,4,2014,-1.2375000000000003,5,C5 (Coastal Forest),Reference
ceh19,4,2015,-1.2325,5,C5 (Coastal Forest),Reference
ceh19,4,2016,-1.2075,5,C5 (Coastal Forest),Reference
ceh19,4,2017,-1.15,5,C5 (Coastal Forest),Reference
ceh19,4,2018,-1.2025000000000001,5,C5 (Coastal Forest),Reference
ceh19,4,2019,-1.2675,5,C5 (Coastal Forest),Reference
ceh19,4,2020,-1.2925,5,C5 (Coastal Forest),Reference
ceh19,4,2021,-1.3425,5,C5 (Coastal Forest),Reference
ceh19,4,2022,-1.3075,5,C5 (Coastal Forest),Reference
ceh19,4,2023,-1.2999999999999998,5,C5 (Coastal Forest),Reference
ceh19,4,2024,-1.2575,5,C5 (Coastal Forest),Reference
ceh19,4,2025,-1.1925000000000001,5,C5 (Coastal Forest),Reference
ceh2,4,2010,-1.39,4,C4 (Main Forest),Reference
ceh2,4,2011,-1.5050000000000001,4,C4 (Main Forest),Reference
ceh2,4,2017,-1.6275,4,C4 (Main Forest),Reference
ceh2,4,2018,-1.7325,4,C4 (Main Forest),Reference
ceh2,4,2019,-1.8275,4,C4 (Main Forest),Reference
ceh2,4,2020,-1.8424999999999998,4,C4 (Main Forest),Reference
ceh2,4,2021,-1.915,4,C4 (Main Forest),Reference
ceh2,4,2022,-1.7675,4,C4 (Main Forest),Reference
ceh2,4,2023,-1.7574999999999998,4,C4 (Main Forest),Reference
ceh2,4,2024,-1.72,4,C4 (Main Forest),Reference
ceh2,4,2025,-1.605,4,C4 (Main Forest),Reference
ceh20,4,2013,-1.8525,4,C4 (Main Forest),Reference
ceh20,4,2014,-1.8599999999999999,4,C4 (Main Forest),Reference
ceh20,4,2015,-1.8024999999999998,4,C4 (Main Forest),Reference
ceh20,4,2016,-1.7374999999999998,4,C4 (Main Forest),Reference
ceh20,4,2017,-1.575,4,C4 (Main Forest),Reference
ceh20,4,2018,-1.6824999999999999,4,C4 (Main Forest),Reference
ceh20,4,2019,-1.7825,4,C4 (Main Forest),Reference
ceh20,4,2020,-1.8175,4,C4 (Main Forest),Reference
ceh20,4,2021,-1.8800000000000001,4,C4 (Main Forest),Reference
ceh20,4,2022,-1.7325000000000002,4,C4 (Main Forest),Reference
ceh20,4,2023,-1.72,4,C4 (Main Forest),Reference
ceh20,4,2024,-1.6375000000000002,4,C4 (Main Forest),Reference
ceh21,4,2014,-1.3324999999999998,3,C3 (Western Residual),Reference
ceh21,4,2015,-1.3225,3,C3 (Western Residual),Reference
ceh21,4,2016,-1.315,3,C3 (Western Residual),Reference
ceh21,4,2017,-1.2725,3,C3 (Western Residual),Reference
ceh21,4,2018,-1.2875,3,C3 (Western Residual),Reference
ceh21,4,2019,-1.3499999999999999,3,C3 (Western Residual),Reference
ceh21,4,2020,-1.36,3,C3 (Western Residual),Reference
ceh21,4,2021,-1.4,3,C3 (Western Residual),Reference
ceh21,4,2022,-1.3875,3,C3 (Western Residual),Reference
ceh21,4,2023,-1.415,3,C3 (Western Residual),Reference
ceh21,4,2024,-1.3825,3,C3 (Western Residual),Reference
ceh21,4,2025,-1.3475000000000001,3,C3 (Western Residual),Reference
ceh22,4,2014,-0.79,3,C3 (Western Residual),Extended
ceh22,4,2015,-0.8175,3,C3 (Western Residual),Extended
ceh22,4,2016,-0.8099999999999999,3,C3 (Western Residual),Extended
ceh22,4,2017,-0.7925,3,C3 (Western Residual),Extended
ceh22,4,2018,-0.785,3,C3 (Western Residual),Extended
ceh22,4,2019,-0.8125,3,C3 (Western Residual),Extended
ceh22,4,2020,-0.8325,3,C3 (Western Residual),Extended
