cluster_id,window_end_year,cluster_label,n_wells,MSL5_m_bg_mean,MSL5_m_bg_median,MSL5_m_bg_std,MAX5_m_bg_mean,MAX5_m_bg_median
1,2011,C1 (Lake Edge),3,-0.33155555555555555,-0.3413333333333333,0.11896840539185802,0.10600000000000002,0.10800000000000001
1,2012,C1 (Lake Edge),3,-0.3831111111111112,-0.41600000000000004,0.14940672799566418,0.030666666666666658,-1.1102230246251566e-17
1,2013,C1 (Lake Edge),3,-0.3715178907721281,-0.40522033898305077,0.12609124621744586,0.09533333333333331,0.061999999999999986
1,2014,C1 (Lake Edge),6,-0.3520922787193974,-0.35727683615819206,0.09443705672832788,0.07233333333333332,0.048999999999999995
1,2015,C1 (Lake Edge),7,-0.360364810330912,-0.36,0.0956878295995645,0.03742857142857142,0.01599999999999999
1,2016,C1 (Lake Edge),7,-0.27217433414043585,-0.2738870056497175,0.08401081636623742,0.11085714285714286,0.08199999999999999
1,2017,C1 (Lake Edge),6,-0.2235367231638418,-0.21294350282485874,0.09156591892041728,0.16133333333333333,0.161
1,2018,C1 (Lake Edge),6,-0.22977777777777778,-0.20766666666666667,0.10334723920769168,0.126,0.12200000000000003
1,2019,C1 (Lake Edge),6,-0.2727777777777778,-0.24666666666666665,0.11286603005661507,0.044000000000000004,0.038000000000000006
1,2020,C1 (Lake Edge),6,-0.29144444444444445,-0.27266666666666667,0.10219668763205074,0.09733333333333334,0.096
1,2021,C1 (Lake Edge),6,-0.2776666666666667,-0.263,0.09590156990952291,0.10599999999999998,0.10600000000000001
1,2022,C1 (Lake Edge),7,-0.2759047619047619,-0.246,0.08735065864741696,0.1377142857142857,0.15
1,2023,C1 (Lake Edge),7,-0.2768118657298985,-0.25133333333333335,0.08418411265107406,0.13228571428571428,0.15000000000000002
1,2024,C1 (Lake Edge),8,-0.22679371584699454,-0.23350819672131146,0.08196055907157479,0.1905,0.16199999999999998
1,2025,C1 (Lake Edge),8,-0.23529371584699454,-0.2308415300546448,0.08258289467165279,0.18225,0.15500000000000003
2,2009,C2 (Dune),2,-0.11911402550091074,-0.11911402550091074,0.1070989855541417,0.066,0.066
2,2010,C2 (Dune),3,-0.13461481481481483,-0.09659999999999999,0.0784630457433632,0.08822222222222222,0.0965
2,2011,C2 (Dune),6,-0.41533333333333333,-0.2566666666666667,0.43397306624054705,-0.08833333333333332,0.025000000000000012
2,2012,C2 (Dune),4,-0.577,-0.30533333333333335,0.5631260631181645,-0.2915,-0.07500000000000001
2,2013,C2 (Dune),5,-0.5457333333333333,-0.3233333333333333,0.4716492576292495,-0.242,-0.07000000000000002
2,2014,C2 (Dune),23,-0.4365159420289855,-0.3906666666666666,0.32976228549717407,-0.12947826086956524,-0.07000000000000002
2,2015,C2 (Dune),26,-0.4602446406052963,-0.4113333333333333,0.309495545974624,-0.14907692307692308,-0.08500000000000002
2,2016,C2 (Dune),25,-0.33597954337899544,-0.24000000000000005,0.3123040833824439,-0.044079999999999994,-0.023999999999999983
2,2017,C2 (Dune),27,-0.2595802469135803,-0.196,0.30409648424728725,0.035555555555555556,0.07
2,2018,C2 (Dune),26,-0.28346410256410254,-0.22133333333333333,0.31056977057202845,-0.027692307692307683,0.035
2,2019,C2 (Dune),25,-0.36672266666666664,-0.2853333333333333,0.3200316082074579,-0.13544,-0.06799999999999999
2,2020,C2 (Dune),24,-0.3649194444444444,-0.30366666666666664,0.3207333553114484,-0.08958333333333333,-0.027999999999999997
2,2021,C2 (Dune),24,-0.35089166666666666,-0.2886666666666666,0.3190054495392653,-0.08533333333333332,-0.028000000000000008
2,2022,C2 (Dune),25,-0.323056,-0.25599999999999995,0.31173400144876606,-0.023039999999999998,0.03200000000000001
2,2023,C2 (Dune),25,-0.3336048087431694,-0.2646666666666666,0.31259191667101877,-0.023279999999999995,0.038
2,2024,C2 (Dune),26,-0.2365943673812526,-0.15466666666666665,0.30545794770302287,0.08246153846153846,0.12400000000000001
2,2025,C2 (Dune),26,-0.2692463219840269,-0.197,0.3077503143400597,0.05600000000000001,0.115
3,2009,C3 (Western Residual),5,-0.39274555555555557,-0.23094444444444445,0.4895964700901053,-0.13151666666666667,0.028666666666666663
3,2010,C3 (Western Residual),5,-0.4350122222222222,-0.29827777777777775,0.4906300739361757,-0.1217166666666667,-0.005333333333333345
3,2011,C3 (Western Residual),8,-0.5425833333333334,-0.45500000000000007,0.3853388428507096,-0.1955,-0.12099999999999998
3,2012,C3 (Western Residual),8,-0.7134166666666667,-0.696,0.3159566852974106,-0.38924999999999993,-0.396
3,2013,C3 (Western Residual),9,-0.7067407407407408,-0.6966666666666667,0.2963129810117157,-0.36644444444444446,-0.354
3,2014,C3 (Western Residual),9,-0.6437777777777778,-0.6146666666666667,0.3025669806468938,-0.33044444444444443,-0.288
3,2015,C3 (Western Residual),12,-0.7005,-0.6653333333333333,0.26993513998362606,-0.39596666666666663,-0.363
3,2016,C3 (Western Residual),13,-0.5785641025641026,-0.5760000000000002,0.2648926891254962,-0.2644307692307692,-0.23799999999999993
3,2017,C3 (Western Residual),16,-0.5336666666666666,-0.4863333333333333,0.31187575873877865,-0.2161,-0.139
3,2018,C3 (Western Residual),17,-0.5561272902603664,-0.4973333333333333,0.3089912172720081,-0.2896235294117647,-0.21400000000000002
3,2019,C3 (Western Residual),21,-0.6321587301587301,-0.5946666666666667,0.30009531113830445,-0.39714285714285713,-0.33799999999999997
3,2020,C3 (Western Residual),22,-0.6621212121212121,-0.6063333333333332,0.34358080995272855,-0.4078181818181818,-0.32999999999999996
3,2021,C3 (Western Residual),22,-0.6375777446597118,-0.5743333333333334,0.34217118308131117,-0.3932727272727272,-0.304
3,2022,C3 (Western Residual),22,-0.5993353204172877,-0.5426666666666666,0.3403924315544918,-0.3315454545454546,-0.21099999999999997
3,2023,C3 (Western Residual),22,-0.6151430700447095,-0.5549999999999999,0.3436499691615367,-0.33754545454545454,-0.223
