well,window_end_year,n_years_in_window,MSL5_m_bg,MAX5_m_bg,n_interp_in_window,cluster_id,cluster_label,network,msl5_excluded,msl5_excluded_reason
d10,2025,5,-0.17400000000000002,0.128,0,2,C2 (Dune),Reference,False,
d41,2025,5,-0.2066666666666667,0.05800000000000001,0,2,C2 (Dune),Reference,False,
pw,2025,5,-0.4951475409836066,-0.276,0,3,C3 (Western Residual),Extended,False,
p2,2025,5,-0.326,-1.0408340855860842e-18,0,1,C1 (Lake Edge),Extended,False,
pe,2025,5,-0.6086666666666667,-0.346,0,2,C2 (Dune),Extended,False,
ceh6,2025,5,-0.23800000000000004,0.298,0,1,C1 (Lake Edge),Reference,False,
ceh5,2025,5,-0.2633333333333333,0.17400000000000002,0,1,C1 (Lake Edge),Reference,False,
ceh11,2025,5,-0.4,-0.019999999999999997,0,1,C1 (Lake Edge),Reference,False,
ceh36,2025,5,-0.48533333333333334,-0.22600000000000003,0,3,C3 (Western Residual),Reference,False,
ceh4,2025,5,-0.6053333333333334,-0.31799999999999995,0,3,C3 (Western Residual),Reference,False,
ceh42,2025,5,-0.2013333333333333,0.10799999999999998,0,3,C3 (Western Residual),Reference,False,
ceh39,2025,5,-0.2527103825136612,-0.05600000000000001,1,3,C3 (Western Residual),Reference,False,
wmc1,2025,5,-0.3093333333333333,-0.05,0,2,C2 (Dune),Reference,False,
t41d,2025,5,-0.37466666666666665,-0.12,0,2,C2 (Dune),Reference,False,
ceh40,2025,5,-0.382,-0.174,0,3,C3 (Western Residual),Reference,False,
ceh41,2025,5,-0.23133333333333334,-0.026000000000000002,0,3,C3 (Western Residual),Reference,False,
