quadrat,piezo,window_end_year,msl5_pipeline_m,msl5_published_m,diff_m,datum_offset_m,resid_m
CEH1-1,CEH1,2011,-0.29333333333333333,-0.18933333333333238,-0.10400000000000095,-0.10400000000000105,9.71445146547012e-17
CEH1-1,CEH1,2012,-0.58,-0.4759999999999989,-0.10400000000000104,-0.10400000000000105,1.3877787807814457e-17
CEH1-1,CEH1,2013,-0.5746666666666667,-0.4706666666666656,-0.10400000000000104,-0.10400000000000105,1.3877787807814457e-17
CEH1-1,CEH1,2014,-0.5173333333333333,-0.41333333333333233,-0.10400000000000098,-0.10400000000000105,6.938893903907228e-17
CEH1-1,CEH1,2015,-0.5626666666666666,-0.4586666666666656,-0.10400000000000104,-0.10400000000000105,1.3877787807814457e-17
CEH1-1,CEH1,2016,-0.366,-0.26199999999999896,-0.10400000000000104,-0.10400000000000105,1.3877787807814457e-17
CEH1-1,CEH1,2017,-0.23000000000000004,-0.12599999999999895,-0.10400000000000109,-0.10400000000000105,-4.163336342344337e-17
CEH1-1,CEH1,2018,-0.31466666666666665,-0.2106666666666656,-0.10400000000000106,-0.10400000000000105,-1.3877787807814457e-17
CEH1-1,CEH1,2019,-0.5173333333333334,-0.4133333333333322,-0.1040000000000012,-0.10400000000000105,-1.5265566588595902e-16
CEH1-2,CEH1,2011,-0.29333333333333333,-0.5333333333333318,0.23999999999999844,0.23999999999999844,0.0
CEH1-2,CEH1,2012,-0.58,-0.8199999999999985,0.23999999999999855,0.23999999999999844,1.1102230246251565e-16
CEH1-2,CEH1,2013,-0.5746666666666667,-0.8146666666666651,0.23999999999999844,0.23999999999999844,0.0
CEH1-2,CEH1,2014,-0.5173333333333333,-0.7573333333333319,0.23999999999999855,0.23999999999999844,1.1102230246251565e-16
CEH1-2,CEH1,2015,-0.5626666666666666,-0.8026666666666651,0.23999999999999844,0.23999999999999844,0.0
CEH1-2,CEH1,2016,-0.366,-0.6059999999999984,0.23999999999999844,0.23999999999999844,0.0
CEH1-2,CEH1,2017,-0.23000000000000004,-0.46999999999999853,0.2399999999999985,0.23999999999999844,5.551115123125783e-17
CEH1-2,CEH1,2018,-0.31466666666666665,-0.5546666666666651,0.23999999999999844,0.23999999999999844,0.0
CEH1-2,CEH1,2019,-0.5173333333333334,-0.7573333333333316,0.23999999999999821,0.23999999999999844,-2.220446049250313e-16
CEH1-3,CEH1,2011,-0.29333333333333333,-0.3683333333333326,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2012,-0.58,-0.6549999999999992,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2013,-0.5746666666666667,-0.649666666666666,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2014,-0.5173333333333333,-0.5923333333333327,0.0749999999999994,0.07499999999999929,1.1102230246251565e-16
CEH1-3,CEH1,2015,-0.5626666666666666,-0.6376666666666659,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2016,-0.366,-0.4409999999999993,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2017,-0.23000000000000004,-0.30499999999999927,0.07499999999999923,0.07499999999999929,-5.551115123125783e-17
CEH1-3,CEH1,2018,-0.31466666666666665,-0.38966666666666594,0.07499999999999929,0.07499999999999929,0.0
CEH1-3,CEH1,2019,-0.5173333333333334,-0.5923333333333327,0.07499999999999929,0.07499999999999929,0.0
CEH1-4,CEH1,2011,-0.29333333333333333,-0.38633333333333153,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2012,-0.58,-0.6729999999999982,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2013,-0.5746666666666667,-0.6676666666666649,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2014,-0.5173333333333333,-0.6103333333333316,0.0929999999999983,0.0929999999999982,1.1102230246251565e-16
CEH1-4,CEH1,2015,-0.5626666666666666,-0.6556666666666648,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2016,-0.366,-0.4589999999999982,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2017,-0.23000000000000004,-0.3229999999999982,0.09299999999999814,0.0929999999999982,-5.551115123125783e-17
CEH1-4,CEH1,2018,-0.31466666666666665,-0.40766666666666485,0.0929999999999982,0.0929999999999982,0.0
CEH1-4,CEH1,2019,-0.5173333333333334,-0.6103333333333316,0.0929999999999982,0.0929999999999982,0.0
CEH1-5,CEH1,2011,-0.29333333333333333,-0.15933333333333302,-0.1340000000000003,-0.1340000000000004,8.326672684688674e-17
CEH1-5,CEH1,2012,-0.58,-0.4459999999999996,-0.13400000000000034,-0.1340000000000004,5.551115123125783e-17
CEH1-5,CEH1,2013,-0.5746666666666667,-0.44066666666666626,-0.1340000000000004,-0.1340000000000004,0.0
CEH1-5,CEH1,2014,-0.5173333333333333,-0.38333333333333297,-0.13400000000000034,-0.1340000000000004,5.551115123125783e-17
CEH1-5,CEH1,2015,-0.5626666666666666,-0.42866666666666625,-0.1340000000000004,-0.1340000000000004,0.0
CEH1-5,CEH1,2016,-0.366,-0.2319999999999996,-0.1340000000000004,-0.1340000000000004,0.0
