cluster_id,cluster_label,window_end_year,n_wells,MSL5_m_bg_mean,MIN5_m_bg_mean,MIN5_minus_MSL5_m
1,C1 (Lake Edge),2025,8,-0.13283333333333333,-0.8674999999999999,-0.7346666666666666
2,C2 (Dune),2025,22,-0.21524242424242424,-0.9885454545454546,-0.7733030303030302
3,C3 (Western Residual),2025,20,-0.45443551912568303,-1.1667999999999998,-0.712364480874317
4,C4 (Main Forest),2025,8,-0.79525,-1.5825,-0.78725
5,C5 (Coastal Forest),2025,8,-1.1227916666666666,-1.6648749999999999,-0.5420833333333333
