cluster_id,cluster_label,window_end_year,MSL5_m_bg_centroid,MAX5_m_bg_centroid,n_years_in_window
1,C1 (Lake Edge),2011,-0.2459285714285714,-0.0694047619047619,5
1,C1 (Lake Edge),2012,-0.32067142857142855,-0.16610952380952376,5
1,C1 (Lake Edge),2013,-0.3115441754102771,-0.13220476190476188,5
1,C1 (Lake Edge),2014,-0.2612267150928168,-0.0642047619047619,5
1,C1 (Lake Edge),2015,-0.28250449287059454,-0.11327619047619046,5
1,C1 (Lake Edge),2016,-0.19307592144202312,-0.045276190476190484,5
1,C1 (Lake Edge),2017,-0.12777750874361044,0.025761904761904743,5
1,C1 (Lake Edge),2018,-0.13074603174603172,0.00033333333333333896,5
1,C1 (Lake Edge),2019,-0.1895079365079365,-0.08852380952380949,5
1,C1 (Lake Edge),2020,-0.15665079365079365,-0.009666666666666667,5
1,C1 (Lake Edge),2021,-0.16179365079365077,0.002619047619047632,5
1,C1 (Lake Edge),2022,-0.16180952380952382,0.02857142857142857,5
1,C1 (Lake Edge),2023,-0.1801904761904762,0.039142857142857104,5
1,C1 (Lake Edge),2024,-0.09523809523809526,0.1345714285714285,5
1,C1 (Lake Edge),2025,-0.12247619047619049,0.1062857142857142,5
2,C2 (Dune),2010,-0.14730038986354774,-0.026611111111111103,5
2,C2 (Dune),2011,-0.25041169590643275,-0.09672807017543858,5
2,C2 (Dune),2012,-0.3953785575048733,-0.2511842105263158,5
2,C2 (Dune),2013,-0.405717738791423,-0.2399561403508772,5
2,C2 (Dune),2014,-0.36915282651072123,-0.21766666666666667,5
2,C2 (Dune),2015,-0.38867446393762184,-0.2623157894736842,5
2,C2 (Dune),2016,-0.2834463937621833,-0.17978947368421055,5
2,C2 (Dune),2017,-0.19592982456140348,-0.08347368421052632,5
2,C2 (Dune),2018,-0.2148456140350877,-0.12001052631578948,5
2,C2 (Dune),2019,-0.3112549707602339,-0.22335555555555553,5
2,C2 (Dune),2020,-0.26470331384015594,-0.15703976608187134,5
2,C2 (Dune),2021,-0.26529980506822615,-0.14935555555555555,5
2,C2 (Dune),2022,-0.2311243664717349,-0.10598713450292396,5
2,C2 (Dune),2023,-0.257682261208577,-0.10271345029239765,5
2,C2 (Dune),2024,-0.14934307992202728,0.003578947368421037,5
2,C2 (Dune),2025,-0.18119298245614032,-0.01673684210526316,5
3,C3 (Western Residual),2010,-0.43578279851974766,-0.3133364646464646,5
3,C3 (Western Residual),2011,-0.5436772671772672,-0.39688455988455984,5
3,C3 (Western Residual),2012,-0.7302219065534855,-0.6036178932178932,5
3,C3 (Western Residual),2013,-0.7049794823110612,-0.5476178932178931,5
3,C3 (Western Residual),2014,-0.6498876639132557,-0.4899633477633477,5
3,C3 (Western Residual),2015,-0.6769275499531417,-0.5415872793872794,5
3,C3 (Western Residual),2016,-0.5226857917113834,-0.39537482517482514,5
3,C3 (Western Residual),2017,-0.4231867363807493,-0.29389790209790206,5
3,C3 (Western Residual),2018,-0.4705876687816817,-0.37126853146853145,5
3,C3 (Western Residual),2019,-0.6063076923076924,-0.5204615384615384,5
3,C3 (Western Residual),2020,-0.5637435897435898,-0.44953846153846155,5
3,C3 (Western Residual),2021,-0.5558478352248846,-0.4407692307692308,5
3,C3 (Western Residual),2022,-0.5044632198402691,-0.36800000000000005,5
3,C3 (Western Residual),2023,-0.5282580916351408,-0.37292307692307697,5
3,C3 (Western Residual),2024,-0.3678478352248844,-0.21876923076923074,5
3,C3 (Western Residual),2025,-0.38780680958385877,-0.23692615384615384,5
4,C4 (Main Forest),2011,-0.901237037037037,-0.8203444444444445,5
4,C4 (Main Forest),2012,-1.2531481481481481,-1.180477777777778,5
4,C4 (Main Forest),2013,-1.2662222222222224,-1.1838666666666668,5
4,C4 (Main Forest),2014,-1.276637037037037,-1.210088888888889,5
4,C4 (Main Forest),2015,-1.322874074074074,-1.2474666666666667,5
4,C4 (Main Forest),2016,-1.1504296296296297,-1.0941333333333334,5
4,C4 (Main Forest),2017,-0.9876296296296296,-0.9302222222222223,5
4,C4 (Main Forest),2018,-1.0699259259259262,-1.0206666666666666,5
4,C4 (Main Forest),2019,-1.257925925925926,-1.2037777777777778,5
4,C4 (Main Forest),2020,-1.2676296296296297,-1.2111111111111112,5
4,C4 (Main Forest),2021,-1.2062962962962964,-1.1342222222222222,5
4,C4 (Main Forest),2022,-1.0904444444444443,-1.0077777777777777,5
4,C4 (Main Forest),2023,-1.1282962962962961,-1.0462222222222224,5
4,C4 (Main Forest),2024,-0.906074074074074,-0.8220000000000001,5
4,C4 (Main Forest),2025,-0.8518518518518519,-0.7517777777777779,5
5,C5 (Coastal Forest),2010,-0.4592888888888889,-0.3507666666666667,5
5,C5 (Coastal Forest),2011,-0.6897488888888889,-0.5646266666666667,5
5,C5 (Coastal Forest),2012,-1.0479088888888888,-0.9651866666666666,5
5,C5 (Coastal Forest),2013,-1.1082466666666666,-1.01348,5
5,C5 (Coastal Forest),2014,-1.11649,-1.01519,5
5,C5 (Coastal Forest),2015,-1.1839333333333335,-1.0794,5
5,C5 (Coastal Forest),2016,-1.0977999999999999,-0.9958,5
5,C5 (Coastal Forest),2017,-1.0244666666666666,-0.9218,5
5,C5 (Coastal Forest),2018,-1.0734,-0.9878,5
5,C5 (Coastal Forest),2019,-1.2127333333333334,-1.1378,5
5,C5 (Coastal Forest),2020,-1.2080666666666666,-1.1278,5
5,C5 (Coastal Forest),2021,-1.2036666666666667,-1.1282,5
5,C5 (Coastal Forest),2022,-1.1646,-1.0826,5
5,C5 (Coastal Forest),2023,-1.1855333333333333,-1.1006000000000002,5
5,C5 (Coastal Forest),2024,-1.0519333333333334,-0.9790000000000001,5
5,C5 (Coastal Forest),2025,-1.0384666666666669,-0.9634,5
