well,cid,cluster,beta3,se3,p3,VIF,hd_sd,n,beta3_full,se3_full,p3_full,VIF_full,hd_sd_full,n_full
nw1,3,C3 (Western Residual),0.10019449938254249,0.013564068181641019,5.263667062535544e-11,1.4686435859984708,0.4229927519035659,100,0.10075676116097032,0.0077908210907870696,1.3804727385103146e-29,1.3082058617860743,0.4242885247459641,251
nw2,3,C3 (Western Residual),0.08162907714261791,0.010022940305550667,1.323897039625599e-12,1.4694977544973262,0.4207323472447786,100,0.07893113420388521,0.006134884166487283,2.3190112331826444e-29,1.2943716396036413,0.4225356138567358,251
nw3,2,C2 (Dune),0.06741336521708333,0.00930459057699378,1.0382789793460927e-10,1.3764051014761485,0.32554838000176817,100,0.06217730226909127,0.0059211495788157095,5.9474841456384706e-21,1.4953133206030105,0.32092260987713994,210
nw4,2,C2 (Dune),0.05965411413253212,0.009715926105348495,1.8105278678779757e-08,1.6874994542697326,0.31795883095428906,100,0.05604164449035648,0.006281241496624289,1.1794153295611954e-16,1.3784604632807278,0.3041997504353167,244
nw4b,2,C2 (Dune),0.06105753846798165,0.010074513721317842,2.5901669186020978e-08,1.6261176046321952,0.3201028941952962,100,0.06026258960648413,0.0067487781846115175,1.2125397617713878e-16,1.3758445327422368,0.3132267648767675,240
nw5,3,C3 (Western Residual),0.049824382740351454,0.009081884809648404,3.272258424310668e-07,1.334902414194163,0.39262908321085754,100,0.04910246713297451,0.005418939493263346,4.661128403290338e-17,1.217752666019214,0.4003839329578679,243
nw6,3,C3 (Western Residual),0.05852841531146123,0.008121025650672001,1.2461027108148963e-10,1.174092391636678,0.3031437343555198,100,0.05872448598166699,0.00568622471488456,1.6883835055801594e-20,1.2753427661429189,0.3131595412504175,214
nw7,3,C3 (Western Residual),0.046199649014951466,0.008945715170378328,1.2858070953537096e-06,1.1602097186900144,0.3399887897371114,100,0.050427588659447055,0.006113566147576831,1.62317368882558e-14,1.1724813617661773,0.3543657098498709,217
nw9,5,C5 (Coastal Forest),0.05076520133627621,0.007565517087927447,1.3080154472867055e-09,1.439342240748301,0.2727265348815549,100,0.04918682715323637,0.004423630627535841,2.1794799477813202e-23,1.135778345157564,0.3634856589059867,240
nw10,4,C4 (Main Forest),0.039969995298225605,0.009325209663385813,4.288391016762273e-05,1.2372676746588536,0.4564229699328179,100,0.04252484702789075,0.006205221833321693,8.65814619279688e-11,1.172332894502323,0.4127617196226715,204
nw11,3,C3 (Western Residual),0.07563098122129973,0.009466061463758148,2.8222561345052987e-12,1.4817271936696543,0.4228521648870621,100,0.07114185685370522,0.005979070492712987,1.4108703937708579e-25,1.2679428551401632,0.4217355377164295,225
nw13,3,C3 (Western Residual),0.08848830978246736,0.009194505846550873,8.696541965303775e-16,1.6535840422775592,0.4069385542861626,100,0.0839625031422614,0.00694756400688874,2.6485519385546628e-24,1.4205135058670015,0.4094251858194927,163
ceh1,3,C3 (Western Residual),0.06657143688697303,0.009115501827115163,7.866521216656816e-11,1.3299246126737772,0.4663552630864303,100,0.06490719359580738,0.00585030448993255,2.8219307380343624e-23,1.2128244134383053,0.47857652306306275,238
ceh2,4,C4 (Main Forest),0.019076047215110168,0.011180769177894925,0.09118045979334742,1.2027877973434866,0.45735997881350465,100,0.026693649680629886,0.006513714984563837,5.850960755502848e-05,1.1709727949838546,0.41916090676741824,224
ceh4,3,C3 (Western Residual),0.06909535903712893,0.0070225261805248245,2.9838742895606163e-16,1.5734699681403495,0.3014576984395785,100,0.06122034274042366,0.004206058504597547,1.3149636767212316e-34,1.2340425623258064,0.33849915113178225,237
ceh5,1,C1 (Lake Edge),0.0983242060374733,0.009299542940281614,7.798426635915229e-18,2.0954211884606178,0.418074313007154,100,0.08636397089634675,0.00604339914996892,1.0014059640281709e-33,1.6815808708165683,0.3852024632500604,237
ceh6,1,C1 (Lake Edge),0.12219793571925629,0.009755007902810385,5.496382160244272e-22,2.598858740082859,0.358755751426402,100,0.10316052472904426,0.007185332901345643,5.538946949636073e-34,2.0254173491860414,0.32750953405616196,238
ceh9,3,C3 (Western Residual),0.034959868071550326,0.007602225748154933,1.284205200609479e-05,1.3114407802712318,0.3699125451127477,100,0.03942278715812566,0.004909004878846761,5.6400843731670135e-14,1.2123536154902186,0.3747661550911561,225
ceh10,3,C3 (Western Residual),0.10121163366186021,0.015858032397286122,5.983289470103084e-09,1.4100254534061765,0.465332110535737,100,0.11343248629904625,0.009152949761303313,2.787593436797709e-27,1.3308582191983374,0.4701647856948441,230
ceh11,1,C1 (Lake Edge),0.0925044649612415,0.009426355042460987,3.3909930190321756e-16,1.992829432828138,0.3579286017770049,100,0.07934474581906621,0.006093115510055825,1.9553894320507593e-29,1.6807661993203415,0.33961952952525737,234
ceh13,4,C4 (Main Forest),0.0006527739859413691,0.011932099661300384,0.9564841058246563,1.15691045333241,0.4557074901470623,100,0.006425771331124391,0.0074480198952960285,0.38925043414816013,1.1089382684784639,0.4147797298207939,215
ceh14,4,C4 (Main Forest),-0.02029147414312917,0.01359651461810839,0.13883901971617923,1.1337354350702233,0.570643113291065,100,-0.01611448489206946,0.008734810817676594,0.06644014190179917,1.1094358689817463,0.5211870898957934,217
ceh16,5,C5 (Coastal Forest),0.03899576046125788,0.007243464470705588,5.083977533991517e-07,1.3012241450466504,0.29148874092644356,100,0.0440749056711733,0.004533303876071723,8.148168835305628e-19,1.168092834013859,0.3300677556207222,223
