cluster,cid,n,beta3,se3,t3,p3,VIF,corr_PET_hd,cond,hd_mean,hd_sd,hd_range,rec_headdep,rec_p,n_rec
C1 (Lake Edge),1,238,0.0889024540368703,0.005897285457950869,15.075148501928084,2.2109117071862182e-36,1.8168567657561836,-0.6150351340970046,161.89607777301836,3.317240770087789,0.33880479712044953,1.2928571428571427,0.27719625761398825,1.9558620110362963e-12,131
C2 (Dune),2,248,0.06287994690097233,0.005247018272676801,11.983938997966117,2.3815051974062054e-26,1.3753852961360589,-0.41119476594510035,135.6202448571144,3.2220782610310383,0.3623605884218582,1.3899122807017545,0.12433241183152045,1.4869211468658038e-06,135
C3 (Western Residual),3,251,0.06161508554434086,0.0044032567998645395,13.993071116414642,3.4660701991259564e-33,1.3063840165918836,-0.35002961277066197,120.89405604652691,2.942605475285381,0.3649007529545604,1.5453518284993693,0.1395728369453374,4.804653542236334e-13,136
C4 (Main Forest),4,238,0.01846592360638137,0.00562039764550027,3.2855190630800513,0.0011734395521730604,1.0948671407548929,-0.0404770558308014,89.10984790329664,2.3792735309970987,0.47823935103635035,2.118,0.04698035174154601,3.21193764628484e-07,143
C5 (Coastal Forest),5,240,0.04504491230381465,0.0050274939618997335,8.95971484902462,9.87669228024872e-17,1.0737538860275366,-0.1701094371621603,95.83134018423618,2.5480164332877964,0.4261631154717123,2.3787999999999996,0.09164643696975133,1.893827385303018e-13,145
