,delta_coast_exp_m_yr,dist_ceh36_m,dist_forest_m,ground_elev_m,depth_to_water_m
slope_m_yr,0.2521238445777755,0.28571693830891154,0.14473771624335463,0.016002007516044525,0.1314950205743738
beta_1_recharge,0.5456362831439822,0.5076225765785647,0.05404724695430718,0.13322501962447963,0.01271244774847069
beta_2_atmospheric_draw,0.3110774304346958,0.06731825904960509,0.010424476126726367,0.3438739898632205,0.00705057949747856
beta_3_drainage,0.2650165649882792,0.3117793465587847,0.023662457578013107,0.06375038201268346,0.037854534065892564
recession_time_months,0.1810333091289752,0.2193513535335736,0.005640021617040136,0.04840287844049107,0.00789241659554829
mean_head_maod,0.4716945522564212,0.04886872969551004,0.3075052324793923,0.9891717372206221,0.02004614919596792
summer_min_depth_m,0.03430913577481143,0.0004311115399052712,0.07079000552697112,0.12898444361499994,0.947232428892348
winter_max_depth_m,0.06424765696623824,0.1653241631926341,0.18911560395957072,0.022797167774232463,0.8763506945662893
seasonal_amplitude_m,0.6355268145602189,0.6175230781414778,0.11631368490112526,0.11816840809805729,0.0016225081751830572
