metric,n,full_R2,full_adj_R2,strongest_unique_predictor,strongest_unique_delta_R2
slope_m_yr,21,0.4608328836007345,0.2811105114676461,depth_to_water_m,0.0930924845523513
beta_1_recharge,21,0.8069806229841224,0.7426408306454966,dist_ceh36_m,0.2209120991364374
beta_2_atmospheric_draw,21,0.7151882455658078,0.6202509940877439,dist_ceh36_m,0.3367331553028803
beta_3_drainage,21,0.7113977724150083,0.6151970298866778,dist_ceh36_m,0.33348336646597776
recession_time_months,21,0.6724655605141676,0.5632874140188902,dist_ceh36_m,0.45324305142289034
mean_head_maod,21,1.0,1.0,ground_elev_m,0.01940615053940653
summer_min_depth_m,21,0.9935952444702011,0.9914603259602681,depth_to_water_m,0.8798097557352603
winter_max_depth_m,21,0.9639246987447886,0.9518995983263848,depth_to_water_m,0.7506775736676873
seasonal_amplitude_m,21,0.8055904059040535,0.7407872078720714,delta_coast_exp_m_yr,0.1272489173566469
