Well,Label,Distance_m,Role,Scrape_era_mean,Post_fell_mean,Step_change_m
CEH2,CEH2 Pine/BL margin,414,reference,-1.3935437795220895,-1.3013131313131314,0.0922306482089581
CEH34,CEH34 Regional control,285,control,-0.9604290254237289,-0.9022222222222221,0.05820680320150673
WMC3,WMC3 Core impact,92,impact,-1.3357525527924423,-1.2211260142407683,0.11462653855167404
NW8B,NW8B Edge E,184,edge,-1.5799123319696085,-1.478888888888889,0.10102344308071953
CEH20,CEH20 Edge N,186,edge,-1.3609216101694914,-1.280669439492969,0.08025217067652246
CEH16,CEH16 Edge W,191,edge,-0.9516472457627119,-0.9495959595959593,0.0020512861667525417
