Well,Zone,Period,beta_1_slope,beta_1_ci_low,beta_1_ci_high,beta_2_slope,beta_2_ci_low,beta_2_ci_high,beta_3_slope,beta_3_ci_low,beta_3_ci_high
CEH34,Control,Before,1.144013133030693,0.2510123788367571,2.037013887224629,2.9781490245133466,2.081023404963683,3.87527464406301,0.06533052306546844,-0.0036255706484444594,0.13428661677938133
CEH34,Control,After,0.8384184700222288,-0.041645595504324895,1.7184825355487825,3.5658848135426893,2.644073109583748,4.487696517501631,0.13500286744742324,0.0549673750433074,0.21503835985153907
CEH34,Control,After_Scrape2,3.0644605511889846,1.2578253596897209,4.871095742688248,3.8828351647256762,2.381363997804067,5.384306331647286,0.002419978891500162,-0.17407625004187186,0.1789162078248722
CEH33,Control,Before,0.7824605923735238,-0.09431693580047329,1.659238120547521,2.959118399663588,2.030925106784152,3.887311692543024,0.0529003924971425,0.006490695896976192,0.0993100890973088
CEH33,Control,After,0.18888400896652052,-0.7002022289764658,1.077970246909507,3.9437070885898784,2.937482902340091,4.949931274839666,0.1131982260199393,0.060002999367610124,0.16639345267226846
CEH33,Control,After_Scrape2,2.6104490454605154,0.5404839311324334,4.680414159788597,3.288477174593173,1.4253256323525016,5.151628716833844,0.007248316253735049,-0.12187248588556439,0.13636911839303448
NW10,Control,Before,0.7820628725642901,-0.13472913946108378,1.698854884589664,3.706659158001261,2.8000032431146757,4.613315072887847,0.12350460028076793,0.05455945876160484,0.19244974179993102
NW10,Control,After,1.6155702651248203,0.4752547174744608,2.7558858127751797,4.212108334137894,2.985290438420738,5.43892622985505,0.10406718909846205,0.010942060455497407,0.1971923177414267
NW10,Control,After_Scrape2,3.2990474502674627,1.6425120250739285,4.955582875460997,5.177414590334046,3.6685355356272145,6.6862936450408785,0.06227101326429852,-0.07738604027160068,0.2019280668001977
CEH19,Control,Before,0.7585646747453096,0.11274175417756938,1.4043875953130498,2.4317332966970935,1.7301018203268488,3.1333647730673384,0.0875851060513384,0.018574203838159484,0.1565960082645173
CEH19,Control,After,0.7282774184173402,0.060852888576570785,1.3957019482581097,2.6549389705803614,1.8496903028599165,3.4601876383008063,0.09805311854171767,0.022373054601506362,0.17373318248192898
CEH19,Control,After_Scrape2,1.6248866791943102,0.25741180658228147,2.992361551806339,2.9468519837035094,1.5022246005740412,4.391479366832978,0.0728454845418927,-0.09122142473967192,0.2369123938234573
