Well,Zone,Period,beta_1_slope,beta_1_ci_low,beta_1_ci_high,beta_2_slope,beta_2_ci_low,beta_2_ci_high,beta_3_slope,beta_3_ci_low,beta_3_ci_high
FE2,Impact,Before,0.346811777331345,-1.329477527948117,2.023101082610807,3.211521617984171,1.028920071802239,5.3941231641661025,0.07534139236617439,-0.04008936974040739,0.19077215447275617
FE2,Impact,After,0.9781307029522067,0.03817290666141726,1.9180884992429963,3.905692550648471,2.8326662817206794,4.978718819576263,0.08886948180407608,0.02777747397435141,0.14996148963380077
FE2,Impact,After_Scrape2,2.1147842278684372,0.39810751992447746,3.831460935812397,3.7454377726616412,2.030959915097417,5.459915630225865,0.04686552117667112,-0.06898588758369703,0.1627169299370393
FE4,Impact,Before,,,,,,,,,
FE4,Impact,After,0.5519341437092419,-0.5319451193259249,1.6358134067444086,3.4983674589368174,2.2414888718251254,4.7552460460485095,0.09365801850714733,0.02040709438780197,0.1669089426264927
FE4,Impact,After_Scrape2,2.814574861224822,1.3746116266456505,4.254538095803993,3.9877402721973096,2.6424837055593935,5.332996838835226,0.01955707001301316,-0.07916931174765271,0.11828345177367902
WMC3,Impact,Before,0.6055838688711234,-0.2230307505945437,1.4341984883367904,3.036493190527188,2.178836325611247,3.894150055443129,0.08852498950696723,0.029184230110898976,0.1478657489030355
WMC3,Impact,After,0.43496469545243815,-0.5697419134407107,1.439671304345587,3.860380111050101,2.7243462866263406,4.996413935473861,0.15040528785090623,0.06369862682111457,0.2371119488806979
WMC3,Impact,After_Scrape2,2.1211575978227732,0.5838507495177223,3.658464446127824,3.9996355098685297,2.4625906272076437,5.536680392529416,0.07773628148018098,-0.05814073070053889,0.21361329366090087
FE1,Edge,Before,0.5572903402554745,-1.2518013012554496,2.3663819817663985,3.0380790784051634,1.0094278576584332,5.066730299151894,0.09603903611407703,-0.08220514875722758,0.27428322098538166
FE1,Edge,After,0.5811639887157318,-0.43128902453435036,1.593617001965814,3.899130343110582,2.8528673349732596,4.945393351247905,0.17298319654069555,0.07942562984954016,0.26654076323185094
FE1,Edge,After_Scrape2,3.1366345278198127,1.2319220651955358,5.041346990444089,3.7747700257180212,2.139081353042895,5.410458698393148,0.0012178665277288274,-0.18873518245791768,0.1911709155133753
FE3,Edge,Before,,,,,,,,,
FE3,Edge,After,0.7064475849189087,-0.24314184671440486,1.6560370165522222,3.4859836127774972,2.3450313397458,4.6269358858091945,0.0710189928282278,0.01676281069030682,0.12527517496614876
FE3,Edge,After_Scrape2,2.7046645097376807,1.235046213709154,4.174282805766207,4.052355283704753,2.523161882602495,5.581548684807012,0.02341691694130783,-0.05997666866315943,0.1068105025457751
CEH31,Edge,Before,0.8017946524751102,-0.02163545911014708,1.6252247640603674,2.9680484853743954,2.0598889416687505,3.8762080290800403,0.06301812968314187,0.009997596437780427,0.11603866292850332
CEH31,Edge,After,0.3133839284824937,-0.5385705909146912,1.1653384478796787,3.3036278823278353,2.2686515850658733,4.338604179589797,0.10335401391896917,0.04178001327091974,0.1649280145670186
CEH31,Edge,After_Scrape2,2.4545196913571465,1.0778603846688395,3.831178998045454,3.534592461693883,2.1236998761109414,4.945485047276825,0.021917314369287833,-0.07721841424411982,0.12105304298269548
LIS1,Edge,Before,,,,,,,,,
LIS1,Edge,After,0.7282882135821908,-0.3721619995752147,1.828738426739596,3.7441399352960643,2.5684998569351167,4.919780013657012,0.15988534091653056,0.053418895546999134,0.266351786286062
LIS1,Edge,After_Scrape2,3.8312807410144716,2.212120856047669,5.450440625981274,4.383435811273806,2.9429443559616235,5.823927266585988,-0.024262633000666653,-0.18873164636488793,0.14020638036355465
CEH20,Edge,Before,0.8257458652564663,0.04070654136440255,1.61078518914853,3.073372664676467,2.3001664549709835,3.846578874381951,0.0708341536141056,0.019641369806459724,0.12202693742175147
CEH20,Edge,After,0.4975149745293564,-0.4321368204642622,1.427166769522975,3.8296408278288983,2.8090219216187697,4.850259734039026,0.13134489458671023,0.060497358769076595,0.20219243040434387
CEH20,Edge,After_Scrape2,3.491745301954708,1.7067647580928473,5.276725845816568,3.443455683262591,1.9767087514119537,4.910202615113229,-0.0442637757051073,-0.18928112624743232,0.10075357483721771
CEH30,Edge,Before,0.7718590327339595,-0.11116796860775569,1.6548860340756746,3.172400496636807,2.236777578406794,4.108023414866819,0.06035170675240462,0.012462145220193135,0.10824126828461611
CEH30,Edge,After,-0.037377834879845306,-0.9854830248843474,0.9107273551246566,3.988036484810767,2.8969098241827904,5.079163145438743,0.1271777039231582,0.06866966053704525,0.18568574730927112
CEH30,Edge,After_Scrape2,2.7672972312079245,0.9219838093946215,4.612610653021227,3.3011256061714405,1.595446373833335,5.006804838509546,-0.0021965380141551927,-0.11829677305143274,0.11390369702312236
CEH16,Edge,Before,0.674535320301282,0.04643826770785664,1.3026323728947076,2.6422251206639342,1.9439850941383978,3.3404651471894704,0.1036250883766092,0.04114590343241738,0.16610427332080102
CEH16,Edge,After,0.693671534320762,-0.1488988964420198,1.5362419650835437,3.251381542870767,2.3060748406465152,4.196688245095018,0.1350757500253005,0.044205139258872386,0.22594636079172864
CEH16,Edge,After_Scrape2,2.6832358149786066,1.4157908302864752,3.950680799670738,3.353283472744934,2.1427786225970555,4.563788322892813,0.012485020617463599,-0.12820724391212962,0.1531772851470568
NW8B,Edge,Before,0.9775616440254763,-0.9250984063872193,2.880221694438172,3.8417313588924777,1.4864553998311294,6.197007317953826,0.07716007142824208,-0.06679338896220335,0.2211135318186875
NW8B,Edge,After,0.7610683481108492,-0.3428474489143277,1.864984145136026,4.509173297070288,3.2521351220271075,5.7662114721134685,0.13266040107218863,0.05188657268938621,0.21343422945499105
NW8B,Edge,After_Scrape2,2.6925999611049005,1.016724811835453,4.368475110374348,4.527307109760008,2.8658111570018745,6.188803062518141,0.05523152833540466,-0.06684838591840103,0.17731144258921033
CEH32,Control,Before,0.8995727701655234,-0.01528078807111044,1.8144263284021571,3.0738094448244775,2.125176019884479,4.022442869764475,0.049392069984215,0.003812750653883444,0.09497138931454654
CEH32,Control,After,0.3005833025793671,-0.6913852582703173,1.2925518634290514,4.103968105511118,3.0010015600750597,5.206934650947177,0.11283963141839087,0.05564802160547531,0.17003124123130645
CEH32,Control,After_Scrape2,3.056792729631094,0.7507977080974784,5.36278775116471,3.37612041964351,1.4419228575310072,5.310317981756013,-0.009569714493729224,-0.14850990649554266,0.1293704775080842
