Date,Impact_Mean,Edge_Mean,Control_Mean,Impact_BACI_Delta,Edge_BACI_Delta,Impact_CUSUM,Edge_CUSUM
2009-07-01,-1.13,-0.915,-0.9339999999999999,-0.19599999999999995,0.018999999999999906,0.13132475264609184,0.2356862613819839
2009-08-01,-1.22,-0.985,-0.9739999999999999,-0.2460000000000001,-0.01100000000000012,0.21264950529218352,0.44137252276396777
2009-09-01,-1.31,-1.03,-0.99,-0.32000000000000006,-0.040000000000000036,0.21997425793827524,0.6180587841459517
2009-10-01,-1.34,-1.115,-1.118,-0.22199999999999998,0.0030000000000001137,0.32529901058436705,0.8377450455279358
2009-11-01,-1.42,-1.1949999999999998,-1.198,-0.22199999999999998,0.0030000000000001137,0.43062376323045887,1.05743130690992
2009-12-01,-1.0,-0.78,-0.6839999999999999,-0.31600000000000006,-0.09600000000000009,0.4419485158765506,1.1781175682919038
2010-01-01,-0.93,-0.74,-0.6,-0.33000000000000007,-0.14,0.4392732685226423,1.2548038296738877
2010-02-01,-0.97,-0.735,-0.5980000000000001,-0.3719999999999999,-0.1369999999999999,0.3945980211687342,1.334490091055872
2010-03-01,-1.02,-0.8300000000000001,-0.748,-0.272,-0.08200000000000007,0.449922773814826,1.4691763524378558
2010-04-01,-1.07,-0.795,-0.618,-0.45200000000000007,-0.17700000000000005,0.3252475264609177,1.5088626138198398
2010-05-01,-1.09,-0.92,-0.844,-0.2460000000000001,-0.07600000000000007,0.4065722791070094,1.6495488752018237
2010-06-01,-1.25,-1.05,-0.9719999999999999,-0.27800000000000014,-0.07800000000000018,0.45589703175310103,1.7882351365838076
2010-07-01,-1.36,-1.4475,-1.116,-0.244,-0.3314999999999999,0.5392217843991929,1.6734213979657917
2010-08-01,-1.26,-1.32,-1.1914285714285715,-0.0685714285714285,-0.12857142857142856,0.7979751084738562,1.7615362307763471
2010-09-01,-1.23,-1.5325,-1.3787500000000001,0.14875000000000016,-0.15374999999999983,1.2740498611199482,1.8244724921583313
2010-10-01,-1.52,-1.5950000000000002,-1.4075,-0.11250000000000004,-0.18750000000000022,1.48887461376604,1.853658753540315
2010-11-01,-1.53,-1.5850000000000002,-1.42375,-0.10624999999999996,-0.16125000000000012,1.709949366412132,1.909095014922299
2010-12-01,-1.32,-1.4225,-1.28,-0.040000000000000036,-0.14250000000000007,1.9972741190582237,1.9832812763042829
2011-01-01,-1.41,-1.515,-1.31625,-0.09375,-0.19874999999999998,2.2308488717043153,2.0012175376862666
2011-02-01,-1.25,-1.3775,-1.2225000000000001,-0.027499999999999858,-0.1549999999999998,2.530673624350407,2.062903799068251
2011-03-01,-1.19,-1.3075,-1.1437499999999998,-0.046250000000000124,-0.16375000000000028,2.8117483769964986,2.1158400604502345
2011-04-01,-1.35,-1.46,-1.28375,-0.06625000000000014,-0.17625000000000002,3.07282312964259,2.1562763218322187
2011-05-01,-1.43,-1.5699999999999998,-1.3925,-0.03749999999999987,-0.17749999999999977,3.362647882288682,2.195462583214203
2011-06-01,-1.53,-1.6475,-1.5025,-0.02750000000000008,-0.14500000000000002,3.662472634934774,2.2671488445961874
2011-07-01,-1.61,-1.7525000000000002,-1.61125,0.0012499999999999734,-0.1412500000000001,3.9910473875808656,2.3425851059781713
2011-08-01,-1.7,-1.8499999999999999,-1.7034943762781185,0.0034943762781185495,-0.14650562372188136,4.321866516505076,2.412765743638274
2011-09-01,-1.79,-1.9299999999999997,-1.750635353959344,-0.03936464604065604,-0.17936464604065572,4.609826623110512,2.4500873589796024
2011-10-01,-1.793296703296703,-1.9607377049180328,-1.7596497832877098,-0.033646920008993275,-0.20108792163032296,4.90350445574761,2.4656856987312636
