Well,Period,beta_3_internal_brake,P_Value,Conf_Low,Conf_High,N,Mean_Pre_Scraping,Mean_Post_Scraping_PreFell,Mean_Post_Felling,Mean_PF_Pre_Scrape2,Mean_PF_Post_Scrape2,Step_Change_From_Clean_Baseline,Step_PF_Pre_Scrape2,Step_PF_Post_Scrape2,Combined_Hydrological_Cost
FE2,Before,-0.03350909778617233,0.45811623793644074,-0.1250846734424425,0.05806647787009785,27.0,,,,,,,,,
FE2,After,-0.002683790383612047,0.9313359756378135,-0.06462106450056641,0.05925348373334232,69.0,,,,,,,,,
FE2,After_Scrape2,0.008474782325972464,0.8912633200261975,-0.1177111760952346,0.1346607407471795,28.0,,,,,,,,,
FE4,After,0.009752842422620625,0.8081763827347463,-0.07011379000612332,0.08961947485136458,69.0,,,,,,,,,
FE4,After_Scrape2,-0.0016168509946333127,0.9723594398991077,-0.09661607403140222,0.0933823720421356,28.0,,,,,,,,,
WMC3,Before,0.030338265194869825,0.304372259709362,-0.027971101718217865,0.08864763210795751,100.0,,,,,,,,,
WMC3,After,0.047210412149273,0.23233400617522196,-0.03097240351780948,0.12539322781635548,69.0,,,,,,,,,
WMC3,After_Scrape2,0.06381233689749086,0.27496407545461343,-0.05380545345338915,0.18143012724837088,28.0,,,,,,,,,
FE1,Before,-0.05358296871674044,0.257306322545486,-0.14877896189088338,0.0416130244574025,27.0,,,,,,,,,
FE1,After,-0.039329407817306115,0.19052495146109608,-0.0986916634606736,0.020032847826061365,69.0,,,,,,,,,
FE1,After_Scrape2,-0.021277857924683986,0.7331948199294014,-0.1482134758889224,0.10565776003955443,28.0,,,,,,,,,
FE3,Before,-0.13205002882552297,0.0018926942293227538,-0.18894017175467853,-0.0751598858963674,7.0,,,,,,,,,
FE3,After,0.043171482264754986,0.30654455135715114,-0.0404598001746982,0.12680276470420818,69.0,,,,,,,,,
FE3,After_Scrape2,0.04322067643299168,0.36701516032364917,-0.053547872356868746,0.1399892252228521,28.0,,,,,,,,,
CEH31,Before,0.060735700939449314,0.03288833270300241,0.005055253131073842,0.11641614874782479,88.0,,,,,,,,,
CEH31,After,0.05616096835841358,0.18555397768175033,-0.027644981155473286,0.13996691787230045,69.0,,,,,,,,,
CEH31,After_Scrape2,0.08212502312665715,0.28836437226310285,-0.07362044922340374,0.23787049547671804,28.0,,,,,,,,,
LIS1,After,0.0020161383147520285,0.959080143182418,-0.07612385792076513,0.0801561345502692,69.0,,,,,,,,,
LIS1,After_Scrape2,2.5958581870745567e-05,0.9996688458953238,-0.12730666548097974,0.12735858264472122,28.0,,,,,,,,,
CEH20,Before,0.0029293560166874667,0.8862810538946968,-0.03758678049941662,0.04344549253279155,107.0,,,,,,,,,
CEH20,After,-0.018933484063480787,0.5338413290392695,-0.07936226761459277,0.0414952994876312,69.0,,,,,,,,,
