h,P_m,PET,P_m_lag1,h_prev,Delta_h,Drainage_Component,Well_Name,Period,neg_h_prev
-2.06,0.0452,0.0647883702674166,0.0688,-1.97,-0.09000000000000008,-0.14473924826722814,FE2,Before,1.97
-2.16,0.0602,0.0480001375870365,0.0452,-2.06,-0.10000000000000009,-0.12547635235621685,FE2,Before,2.06
-2.24,0.1344,0.0332604770452743,0.0602,-2.16,-0.08000000000000007,-0.1730947435238258,FE2,Before,2.16
-2.11,0.2542,0.0288951701427901,0.1344,-2.24,0.13000000000000034,-0.16534557938271918,FE2,Before,2.24
-1.41,0.1104,0.0209265813637323,0.2542,-2.11,0.7,0.07633340538351605,FE2,Before,2.11
-1.2395,0.0812,0.0193207823553236,0.1104,-1.41,0.17049999999999987,-0.08062144429254742,FE2,Before,1.41
-1.08,0.0566,0.0281204607788839,0.0812,-1.2395,0.15949999999999998,0.0016321245040588975,FE2,Before,1.2395
-1.17,0.081,0.0407997000451405,0.0566,-1.08,-0.08999999999999986,-0.15914658209396282,FE2,Before,1.08
-1.2,0.0467999999999999,0.0778803399851474,0.081,-1.17,-0.030000000000000027,-0.09135290128572665,FE2,Before,1.17
-1.36,0.072,0.0982962049606961,0.0467999999999999,-1.2,-0.16000000000000014,-0.09262907674761559,FE2,Before,1.2
-1.49,0.0716,0.1038697513504052,0.072,-1.36,-0.1299999999999999,-0.11770600586354613,FE2,Before,1.36
-1.59,0.0617999999999999,0.0970605148512966,0.0716,-1.49,-0.10000000000000009,-0.09979690135105604,FE2,Before,1.49
-1.71,0.0945999999999999,0.0756181482032507,0.0617999999999999,-1.59,-0.11999999999999988,-0.13556154600267117,FE2,Before,1.59
-1.8,0.025,0.0457991580867349,0.0945999999999999,-1.71,-0.09000000000000008,-0.24876791561257688,FE2,Before,1.71
-1.86,0.0815999999999999,0.0214853539670968,0.025,-1.8,-0.06000000000000005,-0.08385877279571192,FE2,Before,1.8
-1.81,0.0757999999999999,0.0227736084745642,0.0815999999999999,-1.86,0.050000000000000044,-0.11922747153288538,FE2,Before,1.86
-1.84,0.0386,0.017945191473887,0.0757999999999999,-1.81,-0.030000000000000027,-0.1933909372093073,FE2,Before,1.81
-1.829491525423729,0.104,0.0212533893132983,0.0386,-1.84,0.010508474576271132,-0.04932451434772189,FE2,Before,1.84
-1.82,0.0768,0.0363025673098141,0.104,-1.829491525423729,0.009491525423728886,-0.19215164417941644,FE2,Before,1.829491525423729
-1.68,0.017,0.0469725339299765,0.0768,-1.82,0.14000000000000012,0.02999388087320845,FE2,Before,1.82
-1.79,0.0314,0.0827422871667585,0.017,-1.68,-0.1100000000000001,0.0052109634635536806,FE2,Before,1.68
-1.92,0.1291999999999999,0.0982264362407887,0.0314,-1.79,-0.1299999999999999,-0.022534871791711125,FE2,Before,1.79
-1.95,0.0788,0.1034540511032635,0.1291999999999999,-1.92,-0.030000000000000027,-0.1679291847556518,FE2,Before,1.92
-2.03,0.06,0.0916238627374468,0.0788,-1.95,-0.07999999999999985,-0.10909309636886735,FE2,Before,1.95
-2.13,0.0862,0.0662149663422362,0.06,-2.03,-0.10000000000000009,-0.1289992966801837,FE2,Before,2.03
-2.18,0.0658,0.051859877934108,0.0862,-2.13,-0.050000000000000266,-0.17513311081639377,FE2,Before,2.13
-2.2,0.104,0.0254322190955134,0.0658,-2.18,-0.020000000000000018,-0.1428250056388215,FE2,Before,2.18
-1.96,0.0792,0.0173753308217581,0.104,-2.2,0.2400000000000002,0.0018440172690565235,FE2,After,2.2
-1.81,0.0886,0.016843406399149,0.0792,-1.96,0.1499999999999999,-0.024398089584213523,FE2,After,1.96
-1.69,0.062,0.0130734806917993,0.0886,-1.81,0.1200000000000001,-0.08622594890294506,FE2,After,1.81
-1.55,0.0948,0.0219099754243658,0.062,-1.69,0.1399999999999999,0.020306767992880975,FE2,After,1.69
-1.52,0.065,0.0476546327440168,0.0948,-1.55,0.030000000000000027,-0.12571094378967101,FE2,After,1.55
-1.56,0.029,0.0774579471188726,0.065,-1.52,-0.040000000000000036,-0.06037159308917525,FE2,After,1.52
-1.71,0.0108,0.1057139093761601,0.029,-1.56,-0.1499999999999999,-0.021821253235644766,FE2,After,1.56
-1.85,0.049,0.115506484690514,0.0108,-1.71,-0.14000000000000012,0.054612872826700076,FE2,After,1.71
-2.0,0.0373999999999999,0.0939167922714824,0.049,-1.85,-0.1499999999999999,-0.09682443781091243,FE2,After,1.85
-2.12,0.087,0.0659618410912312,0.0373999999999999,-2.0,-0.1200000000000001,-0.0904505388848735,FE2,After,2.0
-2.17,0.0975999999999999,0.0444083991785766,0.087,-2.12,-0.04999999999999982,-0.19159767682443538,FE2,After,2.12
-2.06,0.1392,0.0271936127970865,0.0975999999999999,-2.17,0.10999999999999988,-0.09249692807314146,FE2,After,2.17
-1.89,0.1128,0.02336955409366,0.1392,-2.06,0.17000000000000015,-0.148543973167284,FE2,After,2.06
-1.73,0.0382,0.0179122893806151,0.1128,-1.89,0.15999999999999992,-0.10010801189989511,FE2,After,1.89
-1.88,0.0504,0.0255738024998631,0.0382,-1.73,-0.1499999999999999,-0.2004535118398229,FE2,After,1.73
-1.91,0.096,0.034794782798454,0.0504,-1.88,-0.030000000000000027,-0.09453474806149727,FE2,After,1.88
-1.71,0.0672,0.0516120532400373,0.096,-1.91,0.19999999999999996,0.04878866344679182,FE2,After,1.91
-1.86,0.0392,0.0681657841856536,0.0672,-1.71,-0.15000000000000013,-0.19404421364125737,FE2,After,1.71
-1.98,0.0608,0.092120481510294,0.0392,-1.86,-0.11999999999999988,-0.044689584152366124,FE2,After,1.86
-2.09,0.0322,0.1097485813223114,0.0608,-1.98,-0.10999999999999988,-0.05710776083224389,FE2,After,1.98
-2.21,0.0608,0.0989358321187804,0.0322,-2.09,-0.1200000000000001,-0.013256173290892959,FE2,After,2.09
-2.3,0.0862,0.0699707475329168,0.0608,-2.21,-0.08999999999999986,-0.11384377100981652,FE2,After,2.21
-2.35,0.1478,0.0431907817709369,0.0862,-2.3,-0.050000000000000266,-0.19185679302919473,FE2,After,2.3
-2.01,0.093,0.0217215999048298,0.1478,-2.35,0.3400000000000003,-0.004188498074095069,FE2,After,2.35
-1.91,0.0602,0.0206794590017241,0.093,-2.01,0.09999999999999987,-0.10304708508797907,FE2,After,2.01
-1.86,0.0728,0.0203284124671498,0.0602,-1.91,0.04999999999999982,-0.06804218144460492,FE2,After,1.91
-1.74,0.1134,0.023081649956265,0.0728,-1.86,0.1200000000000001,-0.025645340230781334,FE2,After,1.86
-1.49,0.031,0.0306170022564282,0.1134,-1.74,0.25,0.012833482753336754,FE2,After,1.74
-1.57,0.0128,0.0554076360862932,0.031,-1.49,-0.08000000000000007,-0.054092351552757725,FE2,After,1.49
-1.78,0.0072,0.0780053641747065,0.0128,-1.57,-0.20999999999999996,-0.09295561501649643,FE2,After,1.57
