Coefficient,r_vs_Elevation,p_vs_Elevation,r_vs_Dist_from_ridge,p_vs_Dist_from_ridge,r_vs_Easting,p_vs_Easting,R2_elevation_only,R2_elevation_plus_dist,Marginal_gain,R2_elevation_only_LOO
β₁_recharge,0.167,0.5678,-0.489,0.0763,0.556,0.0391,,,,
β₂_atm_draw,0.989,0.0,-0.909,0.0,0.744,0.0023,,,,
β₃_drainage,-0.833,0.0002,0.651,0.0117,-0.484,0.0796,,,,
,,,,,,,,,,
β₂_atm_draw,,,,,,,0.978,0.978,0.0,0.9709956479008272
β₃_drainage,,,,,,,0.693,0.783,0.089,0.5563010351980593
