Metric,C4_mean,C4_sd,C4_min,C4_max,C5_mean,C5_sd,C5_min,C5_max,t_statistic,p_value
Elevation_m,10.601,1.897,8.61,14.42,5.643,0.711,4.65,6.32,5.548,0.0001
β₁_recharge,2.474,0.424,2.069,3.481,2.339,0.287,2.062,2.753,0.632,0.5393
β₂_atm_draw,2.584,0.54,2.038,3.828,1.134,0.225,0.797,1.384,5.657,0.0001
β₃_drainage,0.016,0.018,-0.021,0.04,0.046,0.008,0.038,0.057,-3.569,0.0039
Model_R²,0.678,0.073,0.551,0.772,0.684,0.082,0.552,0.747,-0.124,0.9033
