Cluster,Label,Best_Kappa,b1,b2,b3,Mean_Upstand_m,R2_OneStep,NSE_Iterative,SSM_b1,SSM_b2,SSM_b3,SSM_NSE
C1,C1 (Lake Edge),2.25,4.297987192469784,5.260620825525063,0.06105370596022093,0.05714285714285715,0.8277380690463001,0.8780380207969619,4.998361955070496,0.542801754534753,0.10260182998204986,0.693980866022411
C2,C2 (Dune),0.95,3.776836196710703,3.9514899343382703,0.04760276555227583,0.07458333333333333,0.8138793810137366,0.8728809368547389,4.239629669321562,1.6301680146558009,0.0700298002194272,0.7787315678868753
C3,C3 (Western Residual),0.45,3.32350496010509,2.8107917605889474,0.04621715454836768,0.09142857142857143,0.8333685462767717,0.870894976769089,3.5167311707094533,1.6970949997072906,0.05581081354486106,0.82769921090608
C4,C4 (Main Forest),0.2,2.2355143809487448,3.680848454750783,0.0017570691552826114,0.14,0.7485139362164521,0.7330553940979851,2.407473002755282,2.666860400390961,0.010970580822765127,0.5987476413108519
C5,C5 (Coastal Forest),0.5,2.1430787655576298,2.407391208137396,0.03636523469021331,0.1022,0.725345367390098,0.8382937974462398,2.250128549730432,1.0559259403341317,0.04377550504019939,0.8050150787367683
