index,alongshore_m,E_local_m,N_local_m,normal_bearing_deg,signed_2012_2020_m,nearest_2012_2020_m,signed_2006_2020_m,nearest_2006_2020_m
0,0.0,1446.2124313819697,-772.6895529092924,196.39105117875388,,,,
1,25.034023440373982,1422.1958392018603,-765.625161239269,196.3910511787538,,,,
2,50.068046880747964,1398.1792470217506,-758.5607695692456,196.3910511787538,,,,
3,75.10207032112194,1374.1626548416411,-751.4963778992222,196.39105117875388,,,,
4,100.13609376149593,1350.1460626615317,-744.4319862291989,196.3910511787538,,,,
5,125.17011720186991,1326.129470481422,-737.3675945591755,196.3910511787538,,,,
6,150.20414064224389,1302.1128783013125,-730.3032028891521,196.39105117875388,,,,
7,175.23816408261789,1278.096286121203,-723.2388112191287,196.3910511787538,,,,
8,200.27218752299186,1254.0796939410934,-716.1744195491053,196.3910511787539,,,,
9,225.30621096336583,1230.063101760984,-709.1100278790818,196.391051178754,,,,
10,250.34023440373983,1206.0465095808745,-702.0456362090584,196.39105117875388,,,,
11,275.3742578441138,1182.029917400765,-694.9812445390351,199.18152707204413,-7.0445746478729845,-6.908636450452581,24.7957899868299,24.426154517087944
12,300.40828128448777,1158.924688760216,-685.6531152402304,204.73278204673844,-0.8857756567923618,-0.8478569319064322,31.030256354062153,29.90795016637969
13,325.44230472486174,1136.7127116490992,-674.1062367690408,207.46762991595378,7.99484287010873,7.5334623368812155,39.70816610831622,37.72346495624448
14,350.47632816523577,1114.5007345379825,-662.5593582978513,207.46762991595392,16.88946895327463,15.914781605668864,46.779417984741805,45.538979746109234
15,375.51035160560974,1092.288757426866,-651.0124798266618,207.46762991595392,25.784095036440558,24.29610087445651,47.46261773314594,47.44495274838274
16,400.5443750459837,1070.0767803157491,-639.4656013554722,207.46762991595367,34.67872111960639,32.67742014324405,48.145817481549955,48.12789821849951
17,425.5783984863577,1047.8648032046324,-627.9187228842828,207.46762991595367,39.51210407334212,39.494730515635844,48.82901722995388,48.81084368861618
18,450.61242192673166,1025.6528260935156,-616.3718444130933,207.46762991595392,38.769481388750705,38.75243436384664,49.51221697835793,49.493789158733
19,475.6464453671057,1003.4408489823988,-604.8249659419037,207.46762991595378,38.02685870415941,38.01013821205749,50.19541672676206,50.17673462884992
20,500.68046880747966,981.2288718712821,-593.2780874707142,207.46762991595372,37.284236019567906,37.267842060268244,50.87861647516599,50.859680098966535
21,525.7144922478536,959.0168947601654,-581.7312089995247,207.46762991595386,36.54161333497655,36.525545908479096,51.561816223570084,51.542625569083356
22,550.7485156882276,936.8049176490487,-570.1843305283352,207.46762991595386,35.79899065038516,35.78324975668995,52.24501597197411,52.225571039200126
23,575.7825391286016,914.592940537932,-558.6374520571457,207.46762991595386,35.05636796579381,35.04095360490085,51.86119053478485,51.78011535539137
24,600.8165625689755,892.3809634268152,-547.0905735859561,207.46762991595378,34.313745281202415,34.298657453111645,50.45973914583001,50.380854871072486
25,625.8505860093495,870.1689863156985,-535.5436951147666,207.46762991595378,33.57112259661101,33.5563613013225,49.05828775687515,48.9815943867536
26,650.8846094497235,847.9570092045817,-523.9968166435771,207.46762991595378,32.82849991201961,32.81406514953325,47.656836367920285,47.582333902434776
27,675.9186328900976,825.7450320934649,-512.4499381723875,207.70158231133448,32.08110850459763,32.06776137547796,46.24519945841464,46.18307341811589
28,700.9526563304715,803.6282415642733,-500.72213166155205,207.98289561237064,31.45690700516237,31.447895296253137,45.03757401593125,44.98798630866931
29,725.9866797708455,781.5307198697499,-488.9576994791957,208.03025461908692,30.877643518454168,30.86939808729532,43.88085800807539,43.834230476431266
30,751.0207032112195,759.4331981752266,-477.1932672968393,208.03025461908692,30.298991788864164,30.290900878337602,42.725874897840406,42.68047464419317
31,776.0547266515935,737.3356764807032,-465.4288351144829,208.03025461908686,29.720340059274058,29.712403669379835,41.57089178760533,41.526718811955064
32,801.0887500919674,715.2381547861798,-453.6644029321265,208.03025461908686,29.141688329683998,29.133906460422118,40.4159086773703,40.372962979716974
33,826.1227735323414,693.1406330916565,-441.89997074977015,208.03025461908686,28.79751136907816,28.79709033899911,39.260925567135224,39.219207147478826
34,851.1567969727154,671.0431113971331,-430.13553856741373,208.03025461908686,28.66213916587749,28.661720114989283,38.10594245690018,38.06545131524078
35,876.1908204130893,648.9455897026097,-418.3711063850574,208.03025461908686,28.52676696267677,28.526349890979308,36.9754866695,36.95361403573438
36,901.2248438534633,626.8480680080863,-406.60667420270096,208.0302546190869,28.391394759476093,28.39097966696943,36.11403287493415,36.09266982914297
37,926.2588672938373,604.750546313563,-394.84224202034454,208.0302546190869,28.25602255627542,28.255609442959607,35.2525790803683,35.231725622551515
38,951.2928907342114,582.6530246190396,-383.0778098379881,208.03025461908686,28.12065035307475,28.120239218949727,34.391125285802445,34.3707814159601
39,976.3269141745853,560.5555029245161,-371.3133776556317,210.5046566104049,27.428767424335163,27.389373932350022,33.51113142613833,33.509837209368534
40,1001.3609376149593,539.6012486774516,-357.7136625445209,214.3989014367716,27.134312995552797,27.131513027339622,34.912723433717645,34.80992975707047
41,1026.3949610553332,519.2997261769837,-343.0661196182762,215.81043815799853,28.129033149972102,28.10764157805989,37.53661404818835,37.34383447901418
42,1051.4289844957073,498.9982036765155,-328.41857669203137,215.81043815799853,29.105904592052728,29.08377012878013,37.78304736729194,37.78195159753137
43,1076.4630079360813,478.6966811760474,-313.77103376578657,215.8104381579986,30.08277603413331,30.059898679500368,37.97371029750674,37.97260899821145
44,1101.4970313764552,458.39515867557947,-299.12349083954183,215.8104381579986,31.05964747621396,31.03602723022067,38.16437322772162,38.1632663988916
45,1126.5310548168293,438.0936361751113,-284.47594791329703,215.81043815799853,32.03651891829455,32.01215578094091,38.35503615793641,38.35392379957163
46,1151.5650782572031,417.79211367464336,-269.8284049870523,215.81043815799853,31.18254212688857,31.098958695756856,38.54569908815126,38.54458120025172
47,1176.5991016975772,397.4905911741752,-255.1808620608075,215.8104381579986,29.345900432218237,29.267240038277475,38.736362018366066,38.73523860093175
48,1201.633125137951,377.1890686737073,-240.53331913456276,215.81043815799856,27.509258737548016,27.435521380798214,38.927024948580936,38.9258960016119
49,1226.6671485783252,356.8875461732391,-225.88577620831794,216.35929168859786,25.655763735766968,25.603802723318932,39.12233707774422,39.116553402291956
50,1251.701172018699,336.8984085434774,-210.8726457818224,221.06514698474578,24.2570786662966,24.25293794653572,39.98322664811159,39.786150568785025
51,1276.735195459073,319.26341367884766,-193.10443580620355,225.215591431314,26.63581092408656,26.525803991822247,44.723186678813576,44.06505372398944
52,1301.769218899447,301.62841881421804,-175.33622583058485,225.215591431314,28.91810292385748,28.798670037108735,49.065997328482354,48.34395687919381
53,1326.803242339821,283.9934239495883,-157.568015854966,225.215591431314,29.910030066931487,29.898240155267178,53.40880797815122,52.622860034398215
54,1351.8372657801951,266.3584290849585,-139.79980587934713,225.21559143131398,30.613136262895047,30.60106920139429,57.751618627820044,56.90176318960262
55,1376.871289220569,248.72343422032893,-122.03159590372844,225.16328219862797,31.315452529949493,31.303898247521424,62.0846222897003,61.18066634480698
56,1401.905312660943,231.05766442240486,-104.29726456123416,222.19917425962666,31.970618325067505,31.960970473594955,65.88099220043765,65.41412922048953
57,1426.939336101317,211.68191347046573,-88.4453686285194,219.28765106447113,30.16126420818532,30.075606645915844,66.0610896002108,66.0609077179152
58,1451.973359541691,192.30616251852643,-72.59347269580451,219.28765106447113,28.270530724247177,28.190242818236722,66.0023448723369,66.00216315177987
59,1477.0073829820649,172.93041156658728,-56.74157676308974,219.28765106447113,26.379797240309035,26.304878990557594,65.94360014446296,65.9434185856445
60,1502.041406422439,153.554660614648,-40.889680830374836,219.28765106447116,24.489063756370893,24.441578976071405,65.88485541658905,65.88467401950916
61,1527.0754298628128,134.17890966270886,-25.037784897660075,219.28765106447116,23.877892326578507,23.871732832238724,65.82611068871513,65.8259294533738
62,1552.109453303187,114.80315871076955,-9.185888964945164,221.41440894254347,23.305569888865634,23.303152047427,64.64737646302326,64.63578968519927
63,1577.1434767435608,96.6759407566227,8.04229540454503,224.34176854207126,24.644892845538518,24.59205066468782,65.12518627712556,65.09151349561589
64,1602.1775001839349,79.01731516909089,25.787020591838484,225.1393408773629,26.662123560036132,26.578087980321282,66.3150375971981,66.24464760681742
65,1627.211523624309,61.35868958155909,43.53174577913194,225.13934087736288,28.65444040176937,28.564125295954764,67.46939700133919,67.39778171801896
66,1652.2455470646828,43.700063994027445,61.27647096642522,225.13934087736288,30.646757243502595,30.550162611588203,68.62375640548026,68.55091582922047
67,1677.2795705050569,26.041438406495644,79.02119615371868,225.1393408773629,32.63907408523585,32.536199927221666,69.77811580962135,69.70404994042201
68,1702.3135939454307,8.382812818964013,96.76592134101196,225.13934087736288,34.63139092696907,34.522237242855105,70.9324752137624,70.85718405162355
69,1727.3476173858048,-9.275812768567803,114.51064652830541,225.98282260990155,36.67064330893941,36.508274558488566,72.14362384701462,72.01031816282509
70,1752.3816408261787,-26.401558934531568,132.76458837972638,227.14436184418594,39.38057096790715,39.16213641762184,74.14242420527727,73.89889362513078
71,1777.4156642665528,-43.32646355688616,151.21045331302236,227.46222957221357,42.192576425663184,41.93327858258402,76.35091514152882,76.06465595225352
72,1802.4496877069266,-60.2513681792406,169.6563182463182,227.46222957221357,44.98085417387875,44.70442074754619,78.52482802636014,78.23041827937625
73,1827.4837111473007,-77.1762728015952,188.10218317961417,225.4313567934806,47.61111329423766,47.47556291250832,80.50157215972963,80.39618060649893
74,1852.5177345876746,-95.24011659231266,205.17590548338998,217.6354930038534,48.55308883188702,48.46400344772975,81.07276372138054,80.78083591700309
75,1877.5517580280487,-116.48726014789872,218.41453155793099,211.92612240783848,45.04689893025637,44.46984804067552,77.50322950111446,76.1873521796101
76,1902.5857814684227,-137.73440370348476,231.653157632472,211.9261224078385,41.00091445176805,40.475692633621335,72.83040895907068,71.59386844221713
77,1927.6198049087966,-158.98154725907062,244.8917837070129,211.92612240783848,36.954929973279796,36.48153722656721,68.157588417027,67.00038470482421
78,1952.6538283491707,-180.2286908146567,258.1304097815539,211.92612240783848,32.908945494791475,32.48738181951301,63.48476787498322,62.40690096743119
79,1977.6878517895445,-201.47583437024255,271.3690358560948,212.03905537670545,28.853825387788316,28.493542288760697,58.790431713507346,57.81341723003826
80,2002.7218752299186,-222.67055870457634,284.6912758625301,212.19734270806288,26.110283053881105,25.98503574514017,54.19058936955099,53.31699430830349
81,2027.7558986702925,-243.84423143937335,298.0470952882674,212.2426965766206,23.667383345589244,23.555679694421237,49.652982745472364,48.85955108472367
82,2052.7899221106663,-265.0179041741704,311.4029147140047,212.2426965766206,21.226507018471025,21.126323643702282,45.943325652399174,45.65369861632269
83,2077.8239455510407,-286.19157690896776,324.7587341397422,212.24269657662066,18.785630691352825,18.696967592983366,43.11899903202354,42.84717657009045
84,2102.8579689914145,-307.3652496437648,338.1145535654795,212.2426965766207,16.344754364234657,16.267611542264493,40.29467241164795,40.040654523858244
85,2127.8919924317884,-328.5389223785618,351.47037299121683,212.2426965766207,13.903878037116522,13.853078655769224,37.4703457912724,37.234132477626076
86,2152.9260158721627,-349.71259511335916,364.82619241695437,213.7543640042038,14.018819149469184,14.010895381280145,34.55520082446328,34.42761043139382
87,2177.9600393125365,-370.1321469315321,379.2666597461587,216.32256623018756,15.559250906319123,15.511399810209394,32.967011808357356,32.939121044369394
88,2202.9940627529104,-390.02574790781745,394.4635992344085,217.3766054700761,18.01642005855285,17.93200066322423,32.378246471952394,32.36987467456405
