line,elevation_median_m_aod,contour_m_aod,seaward_distance_median_m
coast2026,9.388750076293945,,
coast2026,,0.5,96.0
coast2026,,2.0,50.0
coast2026,,3.0,36.0
coast2026,,4.0,27.0
