line,vertices,median_vertex_spacing_m,coarsest_spacing_m,sagitta_median_m,sagitta_p90_m,sagitta_max_m
coast2006,26,146.0672600300596,146.0672600300596,0.13645914451422259,2.6298444792679736,6.7069709651170175
coast2017,36,104.53487880907397,146.0672600300596,0.5109499507879429,2.2631505164643575,4.425595951749611
coast2021,41,90.94979604165906,146.0672600300596,0.5306019828395139,3.2908472905568966,6.633444198232341
coast2026,86,41.62694121829841,146.0672600300596,1.0994902566679468,3.8288742849434816,6.703111595184841
