well,E,N,cluster,beta1,beta2,beta3,sy,mean_head,winter_head,summer_head,head_swing,P_eff,recharge_m_mon,et_draw_m_mon,drainage_m_mon,lateral_inflow_m_mon,storage_change_mm
nw1,241725.0,364139.0,3.0,1.3669090017644332,5.5998170434436245,0.1383438349761759,0.173,11.096978058288723,11.326317110692914,10.887094392438945,0.4392227182539692,0.06704030544488711,0.09163799699365333,0.33204229745234576,1.53519850123014,1.7756028016888323,75.98553025793667
nw2,241703.008,364112.082,3.0,1.7195218338684803,4.974298454761458,0.1936939184900408,0.2036,11.73907479904276,11.958748397353574,11.539844825925003,0.4189035714285705,0.06704030544488711,0.11527726896169535,0.2949520447398302,2.2737873972742806,2.4534621730524155,85.28876714285695
nw3,242091.94,363939.361,2.0,1.2046937621866585,4.518423061478501,0.3233068729447888,0.2539,10.192744493966181,10.416188094124387,9.98494666283884,0.43124143128554593,0.06704030544488711,0.08076303778454377,0.26792082001171313,3.29538434906942,3.482542131296589,109.49219940340012
nw4,242431.164,363744.512,2.0,1.5538069435064157,3.798096044032725,0.2646482343503263,0.2329,8.87229406165611,9.04207234640495,8.709447123597249,0.33262522280770135,0.06704030544488711,0.10416769209505655,0.22520888211550513,2.3480369580541747,2.469078148074623,77.46841439191364
nw4b,242414.677,363751.66,2.0,1.4946469798385946,4.035833362580789,0.2904107338213731,0.2125,8.954564310673982,9.141296795985232,8.773386216980903,0.3679105790043291,0.06704030544488711,0.1002015900606574,0.23930556506576015,2.6005015925135093,2.739605567518612,78.18099803841993
nw5,241711.757,363023.697,3.0,1.4329320196623023,3.882078452900556,0.1584767029208028,0.2543,4.9387373168225155,5.109304520696577,4.787772096094817,0.32153242460176035,0.06704030544488711,0.09606420027991973,0.2301886362342055,0.7826748065619645,0.9167992425162503,81.76569557622766
nw6,241444.307,363316.599,3.0,1.3015127538300189,3.40581651540234,0.1939027021183179,0.2375,5.945958859999088,6.122412056235874,5.789347668139451,0.3330643880964237,0.06704030544488711,0.08725381255718062,0.20194858719525244,1.152937489638176,1.2676322642762479,79.10279217290064
nw7,241423.695,363584.862,3.0,0.9121396836495876,3.895456842516416,0.1140693557288841,0.2649,7.089210112323679,7.245949805971263,6.949088286190184,0.29686151978107844,0.06704030544488711,0.061150123000271055,0.230981910584028,0.8086616301394521,0.9784934177232091,78.63861659000769
nw9,240937.259,363567.162,3.0,1.0907304610889983,3.146050011343358,0.113963737129785,0.2821,4.281383662663515,4.409669222146071,4.160584204714674,0.24908501743139766,0.06704030544488711,0.073122903269449,0.18654567918241016,0.4879224822835409,0.6013452581965021,70.26688341739728
nw10,241435.0,364325.025,4.0,1.5317094535108091,4.118611036530953,0.0993855017137576,0.2098,10.57123004489365,10.703745421385127,10.449717532410597,0.2540278889745302,0.0509506321381142,0.07804156490830118,0.24421388418099885,1.0506270017433037,1.2167993210160013,53.295051106856434
nw11,241689.0,364237.0,3.0,1.9743886245082416,4.938791364211896,0.1561335849987218,0.2025,11.178694153069516,11.386390358113372,10.988602564686143,0.3977877934272289,0.06704030544488711,0.13236361645394304,0.2928466445400632,1.7453695937229936,1.9058526218091136,80.55202816901385
ceh2,241421.0,363979.0,4.0,0.9392051100783384,4.2219900702896656,0.1212965855529796,0.1818,11.289258261146513,11.404271249851273,11.187749108127806,0.21652214172346795,0.0509506321381142,0.04785309406583848,0.2503437651416342,1.3693484805028397,1.5718391515786356,39.363725365326474
ceh1,241595.864,363948.335,3.0,2.35882253944819,4.633988915647414,0.118141216942512,0.2323,9.762340024843255,9.973662546021732,9.576513379355065,0.3971491666666669,0.06704030544488711,0.15813618353489092,0.2747733209822969,1.1533347307415749,1.269971868188981,92.25775141666671
ceh5,242521.077,364465.817,1.0,2.438035992389969,5.476006117912089,0.2993058392945574,0.1923,9.146435651035192,9.437110764420762,8.881505949605947,0.5556048148148154,0.06704030544488711,0.16344667761545198,0.32470090328816936,2.7375815990867496,2.898835824759467,106.842805888889
ceh6,242621.679,364724.912,1.0,2.445026135880107,5.1392746435374175,0.4306930002285111,0.2115,8.401428207691977,8.68234747408301,8.143261825934863,0.5390856481481467,0.06704030544488711,0.16391529897013443,0.30473434161151786,3.6184363209753,3.759255363616684,114.01661458333304
ceh3,240743.0,363388.0,5.0,1.0470279927823416,1.2578092201347124,0.0028365453249737,0.1,-1.355179637472789,-1.2593951870530748,-1.4490811129790009,0.18968592592592604,0.06704030544488711,0.07019307644547523,0.07458205508682844,0.003844028465172993,0.008233007106526205,18.968592592592607
ceh4,241131.693,363211.05,3.0,1.3930336862238644,3.803166631591136,0.1533497056274575,0.243,3.788648486878623,3.9491351148024085,3.6440031703579656,0.3051319444444429,0.06704030544488711,0.0933894038194649,0.225509543642349,0.5809881301887492,0.7131082700116332,74.14706249999962
ceh7,243385.803,363612.9,,,,,0.12,5.059323190978142,5.238630907870769,4.910489361702128,0.32814154616864144,0.06704030544488711,,,,,39.37698554023697
ceh8,243149.932,363382.305,,,,,0.12,5.239967320261438,5.343006128043863,5.149847457627119,0.19315867041674473,0.06704030544488711,,,,,23.179040450009367
ceh10,242538.185,363173.915,2.0,1.5300050983669986,5.780447214781861,0.1709188719831954,0.2452,4.350166494541982,4.628420877444496,4.102460691401362,0.5259601860431342,0.06704030544488711,0.10257200912675814,0.3427528004232564,0.7435255501862069,0.9837063414827052,128.9654376177765
ceh9,241711.211,363459.012,3.0,1.28692396854904,3.6887454997664273,0.1390870849701464,0.275,7.08111035422011,7.220880633110097,6.961468639665966,0.2594119934441306,0.06704030544488711,0.08627577593587392,0.21872491921740345,0.984890997520396,1.1173401408019257,71.33829819713591
