Cluster_Label,n,pflood_min,pflood_max,pflood_median,m_P
C1 (Lake Edge),8,421.7474893524344,486.4787316371078,430.94124731051375,1.0765047300247648
C2 (Dune),32,419.6110371703592,738.1962280512879,468.8821652395382,1.1712823310712632
C3 (Western Residual),25,544.9714648407116,934.0334041819874,590.5611366815706,1.2800361527558088
C4 (Main Forest),13,689.948343322282,1198.4756162132696,821.7869615494993,1.7812161270170044
C5 (Coastal Forest),10,708.6995381792211,1532.1039700059096,1043.6685061087755,2.2621424545791133
