well,E,N,cluster,network,depth_bg,lambda,pflood_mm,category
T41c,242721.13,363323.682,2,Reference,0.8196544715447152,1.1115162116724815,444.9568769223864,Achievable
T41d,242731.987,363353.284,2,Reference,1.004969512195122,1.2749683446136588,510.38925643790833,Achievable
D43,242664.714,363428.693,2,Reference,1.0756249999999996,1.2133021654944658,485.703345261385,Achievable
D44,242819.407,363279.547,2,Reference,1.113125,1.2647470392191726,506.2975121352704,Achievable
nw8,241276.11,363480.129,5,Extended,1.561111111111111,2.125575033171014,980.6613703753022,Marginal
nw8b,241272.0,363487.0,3,Extended,1.8881818181818175,1.764804678495879,814.2153287699401,Marginal
nw12,241262.0,364524.0,4,Extended,1.415000000000001,1.7726460459336095,817.8330444549184,Marginal
ceh3,240743.0,363388.0,5,Extended,1.1420000000000003,1.7962854999380284,828.7394104956942,Marginal
ceh7,243385.803,363612.9,2,Extended,0.8347154471544727,1.1700071972664086,468.3717097468445,Achievable
ceh8,243149.932,363382.305,2,Extended,0.8599999999999994,1.1835299985549383,473.78509316437686,Achievable
ceh12,240339.0,364588.0,2,Extended,1.5066666666666677,1.5293832508024363,612.2354201838465,Marginal
ceh15,240679.892,363754.368,4,Extended,1.2962327868852457,1.673927252752336,772.2878599791112,Marginal
ceh22,241375.022,362906.94,2,Extended,0.7805182926829266,1.1410212248903095,456.7681833136844,Achievable
ceh35,241081.0,363212.0,2,Extended,0.9379999999999996,1.2252463186713891,490.4847717842511,Achievable
ceh37,242886.0,363346.0,2,Extended,0.944,1.228455266372655,491.7693624473183,Achievable
ceh38,241130.0,363261.0,3,Extended,0.9385714285714286,1.2757804781120912,588.5977264688746,Achievable
l1,242804.097,364389.095,2,Extended,1.59,1.5739519688755668,630.0769571708912,Marginal
fe1,241338.0,363744.0,4,Extended,1.1872727272727266,1.5833601230890804,730.503550274444,Marginal
fe2,241135.0,363595.0,5,Extended,1.9681818181818176,2.445404595238143,1128.2188509293417,Marginal
fe3,241104.1,363546.1,5,Extended,2.3022222222222224,2.707855305351294,1249.3038604063167,Unreachable
fe4,241223.2,363692.4,5,Extended,1.9087499999999995,2.3987098759872127,1106.6756418422488,Marginal
lis1,241406.0,363720.0,4,Extended,1.1974999999999998,1.5918609878874876,734.4255335460223,Marginal
p2,242303.0,364558.0,1,Extended,0.6999999999999993,1.0816724462932428,433.0099628789381,Achievable
pe,242739.0,362823.0,2,Extended,1.1728571428571426,1.350853700120922,540.7673205957402,Achievable
pw,242056.0,363286.0,3,Extended,1.0742857142857138,1.3456697408857583,620.8420364257418,Achievable
p1,241243.0,363283.0,3,Extended,0.7549512195121952,1.1812209335958006,544.9714648407116,Achievable
