Cluster,Label,Horizon,P_flood_equation,Sum_P_clim_mm,Spreadsheet_formula
C1,C1 (Lake Edge),Oct–Jan (4 mo),173.86·d + 311.94,400.0,=(173.86*A2+311.94)
C2,C2 (Dune),Oct–Jan (4 mo),219.15·d + 287.56,400.0,=(219.15*A2+287.56)
C3,C3 (Western Residual),Oct–Feb (5 mo),222.72·d + 370.21,461.0,=(222.72*A2+370.21)
C4,C4 (Main Forest),Oct–Feb (5 mo),383.68·d + 275.56,461.0,=(383.68*A2+275.56)
C5,C5 (Coastal Forest),Oct–Feb (5 mo),364.70·d + 417.52,461.0,=(364.70*A2+417.52)
