level,Cluster,Cluster_Label,well,fit_basis,n,fit_start,fit_end,beta_3_A,pvalue_beta_3_A,t_half_A_months,R2_A,alpha_B,pvalue_alpha_B,beta_1_B,beta_2_B,beta_3_B,pvalue_beta_3_B,t_efold_B_months,t_half_B_months,R2_B,drainage_datum_m,ratio_t_half_A_over_B,note
centroid,1,C1 (Lake Edge),,full_record,238,2006-05,2026-02,0.0889024540368703,2.2109117071862182e-36,7.796715940737451,0.7339564318115865,1.0585616684505537,1.4025842479363851e-21,3.7270473807069173,3.0884199541158703,0.35178451845005937,2.45562838192935e-32,2.8426492570109043,1.9703743178179316,0.8198531315457157,3.7,3.9569719673223487,
centroid,2,C2 (Dune),,full_record,248,2005-04,2026-02,0.06287994690097233,2.3815051974062054e-26,11.023342332835636,0.7447783827358394,0.4319610012188209,1.206546690275543e-07,3.4085360122249106,2.4566878936383336,0.17159239607602117,5.030922691123373e-15,5.827764066870228,4.039498231919659,0.7724918686834461,3.7,2.728889010454425,
centroid,3,C3 (Western Residual),,full_record,251,2005-04,2026-02,0.06161508554434086,3.4660701991259564e-33,11.249634313355402,0.8249189969812034,0.16275953524947773,0.005063959451517362,3.547458655494682,2.083813796796539,0.10552038054377162,3.389772965156086e-10,9.476842244566994,6.5688464824329955,0.8303915796302239,3.7,1.7125737895443582,
centroid,4,C4 (Main Forest),,full_record,238,2006-05,2026-02,0.01846592360638137,0.0011734395521730604,37.53655627170528,0.7329520994584948,-0.0253843342800465,0.5068370805450437,2.534734974807459,2.519027814692293,0.011055857592150555,0.37682721103617633,90.44979022794041,62.69501707873538,0.7334544584126226,3.7,0.5987167405116915,
centroid,5,C5 (Coastal Forest),,full_record,240,2006-03,2026-02,0.04504491230381465,9.87669228024872e-17,15.387912754383267,0.6774444453920847,0.0016000473549588785,0.9677841559980116,2.409213756705072,1.2514312983739124,0.045515023909004096,0.0003996753292723146,21.97076732287892,15.2289754245921,0.677298780762942,3.7,1.010436508390086,
well,3,C3 (Western Residual),nw1,comparison_window,100,2017-11,2026-02,0.10019449938254249,5.263667062535544e-11,6.918016306598929,0.7498198816387192,0.11275417978983153,0.3185524924525553,4.107803903488772,2.3250294727764573,0.13445057915937048,0.0004158134307318417,7.437677146891676,5.155404944283103,0.7518658402542143,3.7,1.3418958125239822,
well,3,C3 (Western Residual),nw2,comparison_window,100,2017-11,2026-02,0.08162907714261791,1.323897039625599e-12,8.491424928753219,0.7815240454549617,0.15907237458336854,0.22519958225232922,4.278607525002892,2.1301996437295134,0.1213856840626126,0.000573212047218497,8.238203769434497,5.710287715661835,0.7844930971282894,3.7,1.4870397695484674,
well,2,C2 (Dune),nw3,comparison_window,100,2016-02,2026-02,0.06741336521708333,1.0382789793460927e-10,10.282043899275537,0.7441370180692726,0.8295634205848824,5.3515016820174206e-08,3.494544073057861,3.422673718856834,0.2790872907154973,2.0067216918750492e-11,3.583108343759745,2.4836214461178825,0.8122537619802473,3.7,4.139940052195664,
well,2,C2 (Dune),nw4,comparison_window,100,2017-08,2026-02,0.05965411413253212,1.8105278678779757e-08,11.619436322866127,0.6488064275356964,0.7267337909998557,0.00011855199672874855,2.6316498312400913,2.39387767900146,0.23542156968365868,8.558746344579343e-07,4.247699143896299,2.9442806854586134,0.6990790388407335,3.7,3.946443143227778,
well,2,C2 (Dune),nw4b,comparison_window,100,2017-11,2026-02,0.06105753846798165,2.5901669186020978e-08,11.35236037927453,0.6434060610030531,0.8147225803195441,1.8841168514738525e-05,2.6759153257323556,2.5949434054104152,0.26072417564570316,1.0225565762712376e-07,3.8354709436645997,2.6585458707207104,0.7050944909016525,3.7,4.2701389900024544,
well,3,C3 (Western Residual),nw5,comparison_window,100,2017-07,2026-02,0.049824382740351454,3.272258424310668e-07,13.911806678511716,0.7506099571939135,0.13625295852987662,0.2500813907115647,3.3436081634799737,2.278553423898817,0.08441591212839783,0.008142662796018756,11.846107857947272,8.211096262345166,0.7531969747483008,3.7,1.694269100498692,
well,3,C3 (Western Residual),nw6,comparison_window,100,2016-02,2026-02,0.05852841531146123,1.2461027108148963e-10,11.842917271402884,0.7339486500931933,0.3915014227965886,0.002434187064863413,3.26716794049904,2.0400302772372427,0.161851957383636,7.148202818613765e-06,6.178485673977426,4.2825999250474664,0.7581427072235567,3.7,2.765356904374303,
well,3,C3 (Western Residual),nw7,comparison_window,100,2016-08,2026-02,0.046199649014951466,1.2858070953537096e-06,15.00329970765847,0.7786625726387739,0.052012427105322084,0.5123483136437263,2.9934921713826528,2.2715511750546282,0.06308512419023465,0.022491673263042494,15.851597549122307,10.987490148545065,0.7794297979236072,3.7,1.3654892523061937,
well,5,C5 (Coastal Forest),nw9,comparison_window,100,2017-11,2026-02,0.05076520133627621,1.3080154472867055e-09,13.653982695122899,0.741211934544429,0.17982952160451648,0.12455183928286981,2.537177943203617,1.3307117258636314,0.10283745071326579,0.0035820032239650135,9.72408391168921,6.740221346915701,0.7468061051462864,3.7,2.0257469291228705,
well,4,C4 (Main Forest),nw10,comparison_window,100,2017-05,2026-02,0.039969995298225605,4.288391016762273e-05,17.341687818279937,0.792184633260722,-0.03833201958846258,0.6518463047181295,3.565596674801583,2.628494473499847,0.029706984096551932,0.22889124446787598,33.66211786258267,23.332802088125746,0.792414348743541,3.7,0.7432321138619379,
well,3,C3 (Western Residual),nw11,comparison_window,100,2017-11,2026-02,0.07563098122129973,2.8222561345052987e-12,9.16485769940978,0.8066747229162563,0.11110782976370143,0.36104011956635024,4.294902850136257,2.2794745927110487,0.10363640826229649,0.0016245803129790967,9.649118652096377,6.688259388588983,0.8078327693821532,3.7,1.3702904099452522,
well,3,C3 (Western Residual),nw13,comparison_window,100,2017-11,2026-02,0.08848830978246736,8.696541965303775e-16,7.833206242315209,0.8151099261690228,0.2369014387456512,0.0807507942142711,4.416290012765499,2.209895913311594,0.14729601072686196,4.688884709324919e-05,6.7890501247474235,4.705810952648821,0.8205594380538069,3.7,1.664581582459455,
well,3,C3 (Western Residual),ceh1,comparison_window,100,2017-11,2026-02,0.06657143688697303,7.866521216656816e-11,10.412080810825687,0.8055128174420503,-0.0068210065473406495,0.9507228287021388,4.445580766822118,2.168885600338533,0.06494703517640901,0.021429948485296196,15.397161660787162,10.672499193800306,0.8048912735521097,3.7,0.9755991189836869,
well,4,C4 (Main Forest),ceh2,comparison_window,100,2017-11,2026-02,0.019076047215110168,0.09118045979334742,36.33599627552307,0.702525846634676,0.07651271814826727,0.37753556938485233,2.537428169400944,2.956076392570792,0.04062807230907308,0.13228369663424136,24.61352319136932,17.06079420374447,0.7039995544852535,3.7,2.1297951221724554,
well,3,C3 (Western Residual),ceh4,comparison_window,100,2017-11,2026-02,0.06909535903712893,2.9838742895606163e-16,10.031747286926713,0.814863534003936,0.2447221631039408,0.032194180957237487,3.1811385382051918,1.4283256349520037,0.13611878967136737,3.979475792133443e-05,7.346524329332546,5.092222625791897,0.8232273222966967,3.7,1.9700134939341276,
well,1,C1 (Lake Edge),ceh5,comparison_window,100,2017-11,2026-02,0.0983242060374733,7.798426635915229e-18,7.049608722960582,0.7970025186553041,0.8049546867293748,3.175268897794792e-06,4.213061878087911,3.3249105015821696,0.2824010728181424,4.9493012776993564e-11,3.5410630349976366,2.4544778588936547,0.8380962094765857,3.7,2.8721419088857307,
well,1,C1 (Lake Edge),ceh6,comparison_window,100,2017-11,2026-02,0.12219793571925629,5.496382160244272e-22,5.6723313407880855,0.7552009270074146,1.3062543703993756,4.390983394743585e-09,4.282415746894612,2.7146801597525494,0.4274022072015675,3.290088537101646e-14,2.339716508596291,1.621767901243078,0.8292790825772383,3.7,3.4976221544650556,
well,3,C3 (Western Residual),ceh9,comparison_window,100,2017-11,2026-02,0.034959868071550326,1.284205200609479e-05,19.82693925335534,0.7934407600229019,0.13570850061651765,0.16319787321074009,2.826074594090732,2.3890839606574588,0.07056652534351145,0.008946370082392806,14.171025073603818,9.822606075412777,0.7967917434318004,3.7,2.0185009050688363,
well,3,C3 (Western Residual),ceh10,comparison_window,100,2017-08,2026-02,0.10121163366186021,5.983289470103084e-09,6.848493157176904,0.6460036595321891,0.22333328222634657,0.1151266734828428,4.18534738427288,2.457644775946501,0.16256444460216685,0.0001776726977067658,6.151406615679298,4.263830152135901,0.6543157819096459,3.7,1.6061833874283795,
well,1,C1 (Lake Edge),ceh11,comparison_window,100,2017-11,2026-02,0.0925044649612415,3.3909930190321756e-16,7.493121341227879,0.7475460945889059,0.719588693650798,3.780305069791787e-05,3.645083236830591,2.3541448355141608,0.2699174557750821,4.8792805454342495e-09,3.704836343868342,2.567996866188357,0.7883960070844843,3.7,2.91788570301093,
well,4,C4 (Main Forest),ceh13,comparison_window,100,2017-06,2026-02,0.0006527739859413691,0.9564841058246563,1061.8486574037624,0.5813607715528946,0.02147879480223298,0.8139091265365218,2.0205764355531524,2.749608564758298,0.006742232599498506,0.8131691036103785,148.3188224734906,102.80677362147105,0.5810505966191233,3.7,10.328586531792462,
well,4,C4 (Main Forest),ceh14,comparison_window,100,2017-07,2026-02,-0.02029147414312917,0.13883901971617923,,0.5982465766752845,0.16018010889424444,0.09025101007623318,1.741132397023799,4.151793973420267,0.01939125389201781,0.4713206832371585,51.56964090969066,35.7453511990409,0.609409799227288,3.7,,Model A beta_3 <= 0: t_half_A undefined
well,5,C5 (Coastal Forest),ceh16,comparison_window,100,2017-11,2026-02,0.03899576046125788,5.083977533991517e-07,17.774936874191336,0.7565397529615636,0.08767223769253502,0.3548940600494011,2.3852611789935656,1.4952191943672373,0.06486985008569188,0.026374103192814417,15.415481902286169,10.68519781754252,0.7578503906398849,3.7,1.6635103231321722,
