Cluster,Cluster_Label,n_wells,n_boot_success,beta_1_median,beta_1_lo,beta_1_hi,beta_2_median,beta_2_lo,beta_2_hi,beta_3_median,beta_3_lo,beta_3_hi,R2_median,LCSC_median,LCSC_lo,LCSC_hi,beta_1_frac_positive
1,C1 (Lake Edge),7,1000,4.597616535078574,4.264511082257441,4.943776903708789,0.9495110450680316,0.5963807097966706,1.2073406328592526,0.0880888167759015,0.07979756363557232,0.09898834108853898,0.7254899792035467,21.75040032098606,20.22744997351734,23.449346964075538,1.0
2,C2 (Dune),24,1000,3.9979726311207013,3.8219902455396983,4.255503135850407,1.750677703296778,1.625991670623728,1.9330804099837124,0.064153496382449,0.05965410778947127,0.07095529966452034,0.7327853934026174,25.01267758400419,23.498983983268467,26.164378701059984,1.0
3,C3 (Western Residual),21,1000,3.5853613215732762,3.2455729958770623,3.9256682101834683,1.817005714851704,1.6384358741942568,1.9846884360450743,0.05650718460324887,0.04921677368688706,0.0655877136214009,0.7997751067950627,27.891192023179766,25.473370524016147,30.811200409154893,1.0
4,C4 (Main Forest),9,1000,2.4738045824969888,2.2070006125921395,2.8170209010400944,2.5638837991674905,2.3266279626462443,2.865781373285293,0.018666064808331172,0.006322933000367348,0.03014954624317478,0.707102152051517,40.423564925984216,35.49849416049952,45.31036353615498,1.0
5,C5 (Coastal Forest),5,1000,2.4373010931697,2.225981470584544,2.6694416509398127,1.2294813115232335,1.016574074746717,1.4030733060710323,0.046088770970124274,0.04420388110156589,0.0540559715862276,0.6829922345194555,41.02898910612247,37.461030501180836,44.92400378056154,1.0
