window,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,n,beta_1_lo,beta_1_hi,beta_2_lo,beta_2_hi,beta_3_lo,beta_3_hi
pre_2018,4.357494243056124,1.233476176019539,0.0786873678083943,0.6922931733454082,140,4.076479531278536,4.629028881942009,0.8657533857303202,1.4948854115165315,0.07142968922948185,0.08804992376251249
post_2018,4.943079048442177,0.43055379437779584,0.10466609771007755,0.7995129986682747,97,4.495072363582742,5.420658529297392,0.07558540210559954,0.7616562915606244,0.09330511195380417,0.11768740426090554
