Cluster,Cluster_Label,Block,n_wells,beta_1_recharge,beta_1_boot_lo,beta_1_boot_hi,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,pvalue_beta_3,R2,LCSC_percent,LCSC_boot_lo,LCSC_boot_hi,beta_1_frac_positive,amplitude_heterogeneous,post2018_amp_lo_m,post2018_amp_hi_m,n
1,C1 (Lake Edge),Lake Edge,7,4.577813590907992,4.250982287453154,4.929804901935175,9.142449667545617e-68,0.9109262729676493,3.886343710842146e-05,0.0889024540368703,2.2109117071862182e-36,0.7339564318115865,21.84448929912967,20.28477840182791,23.52397477346684,1.0,False,0.853,1.223,238
2,C2 (Dune),Eastern Block,19,3.8956999904219503,3.7471803024487547,4.116768796264798,1.274720234126725e-68,1.666422670342663,6.313831895366459e-16,0.06287994690097233,2.3815051974062054e-26,0.7447783827358394,25.669327783418154,24.29089543367971,26.68673308285782,1.0,False,0.785,1.156,248
3,C3 (Western Residual),Western Block,26,3.757786825005514,3.4152383885104354,4.087620558378608,1.3172288945560205e-88,1.778065805120788,5.325821374128362e-26,0.06161508554434086,3.4660701991259564e-33,0.8249189969812034,26.611408431837607,24.464110317759935,29.280533645599895,1.0,True,0.6429999999999998,1.3729999999999998,251
4,C4 (Main Forest),Forest,9,2.4757654498272195,2.1987297533611256,2.801386426902313,2.487733261432215e-53,2.5702360687720596,1.6703474346952326e-37,0.01846592360638137,0.0011734395521730604,0.7329520994584948,40.39154840252694,35.69661362724644,45.48080545122735,1.0,True,0.906,1.4260000000000004,238
5,C5 (Coastal Forest),Coastal Forest,5,2.4118433288008996,2.170761620109061,2.6511237022184284,6.551728800021143e-54,1.248147887922419,8.091649646328584e-15,0.04504491230381465,9.87669228024872e-17,0.6774444453920847,41.46206298139489,37.71989005230421,46.06678092778142,1.0,False,0.5800000000000001,0.7989999999999998,240
