ref_depth,Cluster,Cluster_Label,beta_2_atmospheric_draw,beta_3_drainage,mean_h_prev_m,mean_PET_m_month,h_disp_prev_mean_m,drainage_flux_m_month,et_flux_m_month,drainage_share_pct,all_beta3_pos_sig
0.5,1,C1 (Lake Edge),3.678594561390558,0.3882470508957239,-0.3836,0.0551,0.1164,0.04520133374480716,0.20265349401027605,18.237019691814385,False
0.5,2,C2 (Dune),3.656738712907316,0.23353851030480174,-0.5357,0.0547,-0.0357,-0.008326376461625649,0.19995408791693295,-4.345079528629439,False
0.5,3,C3 (Western Residual),3.4145661940736995,0.12318100446547052,-0.7722,0.0548,-0.2722,-0.03353173818311964,0.1869683634134599,-21.85380324468264,False
0.5,4,C4 (Main Forest),2.916296118086069,-0.0017204148634620004,-1.3185,0.0551,-0.8185,0.0014081701418832318,0.16065853086982804,0.8688830790610556,False
0.5,5,C5 (Coastal Forest),2.237079515803045,0.01775698932197805,-1.1527,0.0549,-0.6527,-0.01158994884518339,0.1228176812977312,-10.42001719321925,False
0.6,1,C1 (Lake Edge),3.356078541391377,0.3665963420707762,-0.3836,0.0551,0.2164,0.07934030253240436,0.18488611105018832,30.02739258980402,False
0.6,2,C2 (Dune),3.4725015438192424,0.23004819415678163,-0.5357,0.0547,0.0643,0.014802883613456292,0.18987981737215168,7.232112700377713,False
0.6,3,C3 (Western Residual),3.344759254173658,0.13498813067057827,-0.7722,0.0548,-0.1722,-0.02324700399391108,0.18314600690718835,-14.538554694127338,False
0.6,4,C4 (Main Forest),2.9290925174939724,0.000881853021117684,-1.3185,0.0551,-0.7185,-0.000633616816807715,0.16136348353788788,-0.3942122455108179,False
0.6,5,C5 (Coastal Forest),2.2632065417016913,0.026222199460119403,-1.1527,0.0549,-0.5527,-0.014492953400114998,0.12425207856318808,-13.204326636698585,False
0.7,1,C1 (Lake Edge),3.0667038272821237,0.3444808633391509,-0.3836,0.0551,0.3164,0.10900206513132334,0.1689444801055981,39.21691670548021,False
0.7,2,C2 (Dune),3.2926459178117775,0.22377359174980754,-0.5357,0.0547,0.1643,0.03677649169840306,0.18004513393466345,16.961634519169678,False
0.7,3,C3 (Western Residual),3.2516235831722313,0.14310901387583977,-0.7722,0.0548,-0.0722,-0.010334641895440672,0.17804625982576588,-6.162150257076487,False
0.7,4,C4 (Main Forest),2.938566516027866,0.0036708833588003594,-1.3185,0.0551,-0.6185,-0.0022704639239370787,0.1618854053950267,-1.4224632750614503,False
0.7,5,C5 (Coastal Forest),2.276989533470811,0.034857398269834965,-1.1527,0.0549,-0.4527,-0.015779869434447504,0.1250087772314611,-14.446605530261413,False
0.8,1,C1 (Lake Edge),2.811107874029651,0.32290848783781206,-0.3836,0.0551,0.4164,0.13446689328614658,0.1548637185220436,46.475169856997546,False
0.8,2,C2 (Dune),3.1232271622417507,0.21567191968002997,-0.5357,0.0547,0.2643,0.057012199136495655,0.17078114889070792,25.028035116147088,False
0.8,3,C3 (Western Residual),3.1438426732217577,0.14776991828107902,-0.7722,0.0548,0.0278,0.004105761924459595,0.17214459642394678,2.3295055754402774,False
0.8,4,C4 (Main Forest),2.944090699709279,0.00657821293737908,-1.3185,0.0551,-0.5185,-0.0034108438471714708,0.1621897322529911,-2.1481721414082244,False
0.8,5,C5 (Coastal Forest),2.2770275442475474,0.04334342600952338,-1.1527,0.0549,-0.3527,-0.015287133390381109,0.12501086405735623,-13.932385726820955,False
0.9,1,C1 (Lake Edge),2.58735608750038,0.30244711720876616,-0.3836,0.0551,0.5164,0.15619099608996634,0.1425372496561576,52.285312257584856,False
0.9,2,C2 (Dune),2.967561872519059,0.20651686366059085,-0.5357,0.0547,0.3643,0.07524377500481169,0.16226921695612379,31.679856492729154,False
0.9,3,C3 (Western Residual),3.0293562476217653,0.1494609316909684,-0.7722,0.0548,0.1278,0.019098839612143415,0.16587576506708557,10.325114436797088,False
0.9,4,C4 (Main Forest),2.945216160825714,0.009520115804576337,-1.3185,0.0551,-0.4185,-0.003984226988514043,0.1622517338201146,-2.5174004874881435,False
0.9,5,C5 (Coastal Forest),2.2628757983740897,0.051350672781642674,-1.1527,0.0549,-0.2527,-0.012976204874763921,0.12423392045646287,-11.663195497875574,False
1.0,1,C1 (Lake Edge),2.392341369324423,0.2833730148308334,-0.3836,0.0551,0.6164,0.17467797042354372,0.13179390369556127,56.99641147352339,False
1.0,2,C2 (Dune),2.8269567041402635,0.19688813501242458,-0.5357,0.0547,0.4643,0.09142439126180525,0.15458078734523803,37.16360435153364,False
1.0,3,C3 (Western Residual),2.9144818187492163,0.1487860628190102,-0.7722,0.0548,0.2278,0.03389120789058137,0.1595856881602055,17.516927644779393,False
1.0,4,C4 (Main Forest),2.9417406124273544,0.012404677402539888,-1.3185,0.0551,-0.3185,-0.003950966009664468,0.16206026612374985,-2.4988827392276156,False
1.0,5,C5 (Coastal Forest),2.235152262537848,0.058579965278782196,-1.1527,0.0549,-0.1527,-0.008945035055493341,0.12271187335678278,-7.862603188289498,False
1.1,1,C1 (Lake Edge),2.2226051818234955,0.26578045906562014,-0.3836,0.0551,0.7164,0.19041154005749744,0.12244315006316216,60.86261324196893,False
1.1,2,C2 (Dune),2.7013958121230193,0.1871939403844814,-0.5357,0.0547,0.5643,0.10564231626771248,0.14771499363875154,41.696967933040554,False
1.1,3,C3 (Western Residual),2.8036723587899623,0.14634776387735926,-0.7722,0.0548,0.3278,0.047970576770616814,0.15351819313982226,23.808064733304757,False
1.1,4,C4 (Main Forest),2.9337450141327914,0.015140908883903908,-1.3185,0.0551,-0.2185,-0.003308381668895344,0.16161978922311437,-2.0897936036367297,False
1.1,5,C5 (Coastal Forest),2.1954517710070367,0.06479889415361235,-1.1527,0.0549,-0.0527,-0.0034147627409316507,0.12053228059678017,-2.9156720561091767,False
1.2,1,C1 (Lake Edge),2.074775099216336,0.24965649281794,-0.3836,0.0551,0.8164,0.20382559049019067,0.11429920207971164,64.07095430809706,False
1.2,2,C2 (Dune),2.5900822643290082,0.17770544481439904,-0.5357,0.0547,0.6643,0.11805805787540223,0.1416282587994845,45.461793823817274,False
