Cluster,Label,beta_1_mm_wt_rise_per_mm_rain,pvalue_beta_1,beta_2_mm_wt_drop_per_mm_pet,pvalue_beta_2,beta_3_drain_rate,pvalue_beta_3,R2,n
C1,C1: Eastern Block Lake,1.564670811482163,9.924883948149098e-12,4.9782630908687855,4.409498989844936e-42,-0.36603824411662467,6.645907343380325e-19,0.6600215111792,187
C2,C2: Eastern Block Mature Dune,1.6738073800519921,2.2275890052347943e-11,4.375523042934521,1.6245340962914904e-38,-0.19999920342514715,4.06986848027154e-10,0.6031773670303102,199
C3,C3: Western Block Mature Dune,1.2007031918836746,2.713719176599269e-06,3.591651923718209,1.7684031744750003e-28,-0.11794068299845377,2.001899729520315e-06,0.5045801184301568,199
C4,C4: Forest,0.9565707113432821,0.0007146345631302008,3.4141311359073163,4.371824729504142e-25,-0.07764741371620786,1.4662680733075543e-05,0.4610190887412927,187
C5,C5: Coastal,0.9765949263807778,9.772550845507962e-07,1.4701740193919675,8.437958132089164e-09,-0.017082671121532767,0.3977797297265972,0.2691194909200758,187
C6,C6: Lake,0.8525033118078489,5.940411808101355e-14,0.14862642958547861,0.21078444622091544,-0.13365268809453593,1.6103814844914046e-07,0.3421072394092006,141
