Cluster,Cluster_Label,Excluded_Well,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,n
1,C1 (Lake Edge),ceh5,4.514897607054711,0.797804910115664,0.089221820897369,0.71293776555086,237
1,C1 (Lake Edge),ceh6,4.5292331669560735,1.0697850951543606,0.0854390322418413,0.7364419883189091,236
1,C1 (Lake Edge),ceh11,4.710020451430955,0.8636480384718279,0.09173845529361681,0.7269242645675673,237
1,C1 (Lake Edge),ceh23,4.6347040153879115,0.9301708217922346,0.08977494008841692,0.7389550676799741,237
1,C1 (Lake Edge),ceh25,4.4570902044769936,0.9534749018306433,0.08532664551300903,0.7310636501143681,237
1,C1 (Lake Edge),ceh26,4.653169257999919,0.930534620002802,0.09019819698300297,0.7376769827165683,237
1,C1 (Lake Edge),ceh27,4.574222083324303,0.896634981469521,0.08911002280163312,0.7257214060804976,237
2,C2 (Dune),nw3,3.986948162327156,1.7608733145522837,0.06396320871212587,0.7402355906094621,247
2,C2 (Dune),nw4,4.047625291460546,1.789080880023739,0.0657775128366105,0.7342643296331155,248
2,C2 (Dune),nw4b,4.013191039043684,1.7891845698947197,0.06490906923192252,0.7465101366627954,248
2,C2 (Dune),ceh10,3.924457580605563,1.7068995811266479,0.0625786685266701,0.7317968829304013,248
2,C2 (Dune),ceh24,3.9604981670626014,1.7384302253640866,0.06425196338003633,0.7468207505167512,248
2,C2 (Dune),ceh28,3.972145779492951,1.7390945710332288,0.06441110980013565,0.7489231351138393,248
2,C2 (Dune),wmc1,3.9867948056274995,1.7327603535281537,0.06489244676668852,0.740580034970417,248
2,C2 (Dune),l7,3.9733925295252517,1.7086184691639352,0.06401109180052167,0.7555170904557571,248
2,C2 (Dune),d5,3.9747903175491657,1.7367759012446595,0.0644827505051134,0.7482352370586106,248
2,C2 (Dune),d6,3.9706564299983778,1.7307087123684755,0.0645020946690075,0.7458295374108024,248
2,C2 (Dune),d7,3.969454109548904,1.7417807314935794,0.06430515636203007,0.7474463494506217,248
2,C2 (Dune),d8,3.98946112553757,1.7430756780464738,0.06483707276128829,0.7478640343857432,248
2,C2 (Dune),d9,3.9669854305054555,1.7278089142731659,0.06447694983626516,0.7453514807046417,248
2,C2 (Dune),d10,3.9795185908031128,1.7346134389415508,0.06473247406281891,0.7473184428574415,248
2,C2 (Dune),d15,3.968178774669857,1.7296023241925276,0.06458842062131714,0.7461073370167932,248
2,C2 (Dune),d17,3.9729911270935148,1.7484896351478603,0.06439056257655244,0.7474417006107941,248
2,C2 (Dune),d38,3.9351474508202866,1.7522647149597177,0.06322506652352035,0.743593657993453,248
2,C2 (Dune),d41,3.9840438426822358,1.750320931889481,0.0645619165392697,0.7487100395011591,248
2,C2 (Dune),t41a,3.9374490260755106,1.739223900687977,0.06365329934317374,0.746224480676876,248
2,C2 (Dune),t41b,3.981309664135889,1.753429935092278,0.06450116947325188,0.748002569265531,248
2,C2 (Dune),t41c,3.978397032462665,1.7485341537391772,0.06448674925887801,0.7478742421795908,248
2,C2 (Dune),t41d,3.9836535903781978,1.7473412345787485,0.06447243425259178,0.7474979109973348,248
2,C2 (Dune),d43,3.9619381434052787,1.7371294986483456,0.06413394323982306,0.7458231607957788,248
2,C2 (Dune),d44,3.9671586128189533,1.7473228094981272,0.06402634452191228,0.7483343631678874,248
3,C3 (Western Residual),nw1,3.4935929669626287,1.8007490197611913,0.05408668264786007,0.8132378756562224,249
3,C3 (Western Residual),nw2,3.4988359820918684,1.8076208376362959,0.055059482488565945,0.8102775797471837,249
3,C3 (Western Residual),nw5,3.5813474946829222,1.7671679972328425,0.05806721093248327,0.8055745059047603,249
3,C3 (Western Residual),nw6,3.567352055708434,1.813706288187696,0.05698508692049552,0.8128456859874165,249
3,C3 (Western Residual),nw7,3.6482769924388196,1.8246003104444062,0.057968411086402105,0.813345486850022,249
3,C3 (Western Residual),nw11,3.5295357622505947,1.7870321339959707,0.05617619259271915,0.8109836612666359,249
3,C3 (Western Residual),nw13,3.5332492650211433,1.8042322812980718,0.056031424471553924,0.8099878941826446,249
3,C3 (Western Residual),ceh1,3.5188101934182945,1.7622118177165758,0.05662141663768825,0.808464793433723,249
3,C3 (Western Residual),ceh4,3.593088156800394,1.8560420528544987,0.05674308807456141,0.8096246383594162,249
3,C3 (Western Residual),ceh9,3.606575383324924,1.7874234063025731,0.05827580644744807,0.8120491499975753,249
