Cluster,Cluster_Label,datum_sweep_min_m,datum_sweep_max_m,datum_sweep_step_m,drainage_datum_m,aic_optimal_datum_m,R2_at_optimum,R2_at_datum,delta_R2_datum_vs_optimum,AIC_at_optimum,AIC_at_datum,delta_AIC_datum_vs_optimum,beta_3_at_datum,beta_3_at_deepest,flux_at_datum_m_month,flux_at_deepest_m_month,flux_fraction_of_deepest,flux_frac_ge_80pct_from_m,flux_frac_ge_90pct_from_m,model_b_zero_drainage_level_m,model_b_minus_aic_optimum_m,well_median_max_R2_datum_m,well_min_max_R2_datum_m,well_max_max_R2_datum_m,well_max_R2_gain,well_median_R2_gain,n_wells,beta3_order_invariant_from_m,flux_order_invariant_from_m,beta3_order_at_datum,all_beta3_pos_sig_from_m
1,C1 (Lake Edge),0.5,8.0,0.1,3.7,0.7,0.8198457438617754,0.7339564318115867,-0.08588931205018879,-1103.0704013590168,-1010.2869050583346,92.78349630068226,0.08890245403687026,0.04007766440780214,0.2949108450919618,0.30528121929700675,0.9660300943866591,1.7,2.4,0.6908804596788105,-0.009119540321189445,0.8,0.6,1.0,0.07993607814340964,0.060529198933085504,7,,,,
2,C2 (Dune),0.5,8.0,0.1,3.7,1.2,0.7725029150581595,0.7447783827358394,-0.027724532322320083,-1141.3491109987608,-1112.8303931179157,28.518717880845088,0.0628799469009723,0.028046257132519476,0.20260410996440886,0.21096614107981146,0.960363160303344,1.9,2.6,1.182633198807669,-0.017366801192330916,0.9,0.6,2.3,0.06808361505138039,0.030723783246008884,19,,,,
3,C3 (Western Residual),0.5,8.0,0.1,3.7,2.2,0.8303998300659333,0.8249189969812034,-0.005480833084729908,-1257.407496654296,-1249.4244376643253,7.9830589899706865,0.061615085544340836,0.027061341713662833,0.18130888808295448,0.1959946216639431,0.9250707317562564,2.4,3.3,2.157553560641659,-0.04244643935834125,1.8,0.7,3.8,0.03649138546013364,0.008879315247600716,26,,,,
4,C4 (Main Forest),0.5,8.0,0.1,3.7,6.0,0.7334555156470207,0.7329520994584949,-0.0005034161885257848,-1155.6931527416327,-1155.2440717884213,0.4490809532114781,0.018465923606381374,0.008020847633266607,0.04393548326207769,0.053573435293038374,0.8200983009911054,3.6,4.6,5.996007710706123,-0.0039922892938770715,3.0,0.5,8.0,0.005977000827342982,0.00033108465942477405,9,,,,
5,C5 (Coastal Forest),0.5,8.0,0.1,3.7,3.7,0.6774444453920847,0.6774444453920847,0.0,-1206.9717422630395,-1206.9717422630395,0.0,0.04504491230381469,0.018781205241623626,0.11477517678612748,0.1286140021315895,0.8924003209906879,3.0,3.8,3.6648457318586107,-0.035154268141389444,2.0,1.7,2.8,0.025235909099742493,0.006296221927780898,5,,,,
0,all clusters,0.5,8.0,0.1,3.7,,,,,,,,,,,,,,,,,,,,,,66,0.5,1.2,1>2>3>5>4,1.6
