well,Cluster,Cluster_Label,ref_depth,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_3,R2,beta_3_positive,beta_3_sig
nw1,3,C3 (Western Residual),0.5,2.639812215627588,4.136418677294118,0.06284976473727145,0.16850461297472008,0.587125172466498,True,False
nw1,3,C3 (Western Residual),0.6,2.545949280851619,4.276643943082905,0.08413214368111269,0.07042612619842753,0.5929740378563526,True,False
nw1,3,C3 (Western Residual),0.7,2.476541361306348,4.387290069919016,0.10588658763915731,0.024371795741317037,0.6004744437089262,True,True
nw1,3,C3 (Western Residual),0.8,2.4370912222124788,4.46051875343872,0.12719629303830923,0.007039815326449252,0.6094581200173315,True,True
nw1,3,C3 (Western Residual),0.9,2.431006015225617,4.491009479805978,0.14708936393994965,0.0017413072631149715,0.619607545923373,True,True
nw1,3,C3 (Western Residual),1.0,2.458907377158025,4.476968212926016,0.1646762229567472,0.00038470968196503295,0.6304889036087866,True,True
nw1,3,C3 (Western Residual),1.1,2.5184945881306,4.420444501735427,0.17927811490808235,8.01420970625705e-05,0.6416120475441909,True,True
nw1,3,C3 (Western Residual),1.2,2.6050131317809564,4.326849417604396,0.190509406404593,1.6700412736599038e-05,0.6525008077073702,True,True
nw1,3,C3 (Western Residual),1.3,2.712158047113596,4.203862085017817,0.19829430056880382,3.6824814904887e-06,0.6627536147994151,True,True
nw1,3,C3 (Western Residual),1.4,2.83311280730982,4.060099943696082,0.20282358170419784,9.003142011179592e-07,0.6720802488097851,True,True
nw1,3,C3 (Western Residual),1.5,2.9614429886772315,3.903926010838812,0.20447513235422188,2.523234729947476e-07,0.6803111414872098,True,True
nw1,3,C3 (Western Residual),1.6,3.09168537103494,3.7426217665637314,0.20372618133637138,8.261436174301195e-08,0.6873848489298748,True,True
nw1,3,C3 (Western Residual),1.7,3.219610550231346,3.5819767748414586,0.20107814164692933,3.178947920616058e-08,0.6933234453943933,True,True
nw1,3,C3 (Western Residual),1.8,3.342228375949755,3.4262208786891035,0.19700374645942997,1.4316226004740135e-08,0.698204936627086,True,True
nw1,3,C3 (Western Residual),1.9,3.457636597740643,3.2781758449465097,0.19191694312715707,7.46225969976894e-09,0.7021386920528652,True,True
nw1,3,C3 (Western Residual),2.0,3.5648021034489767,3.139511016595739,0.1861609301995225,4.434686724205279e-09,0.7052465861810162,True,True
nw1,3,C3 (Western Residual),2.1,3.6633359539716936,3.0110205977956364,0.18000829805884355,2.95494929969171e-09,0.7076501718299462,True,True
nw1,3,C3 (Western Residual),2.2,3.7532953540931864,2.892875574368689,0.1736679317737066,2.17109136822884e-09,0.7094629667447108,True,True
nw1,3,C3 (Western Residual),2.3,3.8350251556719144,2.784830281067671,0.16729480736446223,1.731574010077574e-09,0.7107865342336666,True,True
nw1,3,C3 (Western Residual),2.4,3.909039298505654,2.6863803256985666,0.16100026726917743,1.4781458422499563e-09,0.7117091069895845,True,True
nw1,3,C3 (Western Residual),2.5,3.975936793133084,2.5968770194765383,0.15486147963257413,1.3340185669463434e-09,0.7123057610436785,True,True
nw1,3,C3 (Western Residual),2.6,4.036345024986495,2.515606566999214,0.14892952665195874,1.2595255619270012e-09,0.712639433003614,True,True
nw1,3,C3 (Western Residual),2.7,4.090883409781839,2.4418424626072497,0.14323600143887294,1.2331326212942504e-09,0.7127623172484536,True,True
nw1,3,C3 (Western Residual),2.8,4.140141541155364,2.374878429305139,0.13779821617270838,1.2427246543561282e-09,0.7127173613265313,True,True
nw1,3,C3 (Western Residual),2.9,4.184667278298864,2.3140477348845643,0.1326232179060323,1.281352360540248e-09,0.7125397021273358,True,True
nw1,3,C3 (Western Residual),3.0,4.224961414897342,2.258733274340007,0.12771082976638579,1.3450370437187038e-09,0.7122579651304495,True,True
nw1,3,C3 (Western Residual),3.1,4.261476542602925,2.208371593833502,0.12305592096814906,1.4315788256093994e-09,0.7118953972082653,True,True
nw1,3,C3 (Western Residual),3.2,4.294618462902754,2.1624530857915762,0.11865008020669214,1.5398787826937902e-09,0.7114708307107795,True,True
nw1,3,C3 (Western Residual),3.3,4.324749041575719,2.1205198820754227,0.1144828349700766,1.669536316275471e-09,0.7109994906399575,True,True
nw1,3,C3 (Western Residual),3.4,4.352189782055202,2.0821624669699927,0.11054252947675039,1.8206000717372534e-09,0.7104936628938425,True,True
nw1,3,C3 (Western Residual),3.5,4.377225657806955,2.047015677312874,0.10681694844734552,1.9934078488520633e-09,0.7099632432304801,True,True
nw1,3,C3 (Western Residual),3.6,4.400108922247657,2.0147545133107725,0.10329375316514042,2.1884799988477274e-09,0.7094161858809088,True,True
nw1,3,C3 (Western Residual),3.7,4.421062733118718,1.9850900188328704,0.09996077990850369,2.40644613304619e-09,0.7088588688897943,True,True
nw1,3,C3 (Western Residual),3.8,4.440284505224117,1.9577653805034534,0.0968062381909516,2.6479933261391227e-09,0.7082963910030342,True,True
nw1,3,C3 (Western Residual),3.9,4.457948954354564,1.9325523235313151,0.09381883661328096,2.9138286906806735e-09,0.7077328126438527,True,True
nw1,3,C3 (Western Residual),4.0,4.474210825353332,1.909247836701577,0.09098785687247657,3.2046519054046127e-09,0.7071713514156808,True,True
nw1,3,C3 (Western Residual),4.1,4.489207315035548,1.887671230803047,0.08830319103973164,3.521134877853796e-09,0.7066145407215282,True,True
nw1,3,C3 (Western Residual),4.2,4.503060210402134,1.8676615181061058,0.08575535317673269,3.863906686292833e-09,0.706064358513694,True,True
nw1,3,C3 (Western Residual),4.3,4.515877767209902,1.849075091349313,0.08333547336219219,4.2335425404186005e-09,0.705522331870965,True,True
nw1,3,C3 (Western Residual),4.4,4.527756355415662,1.8317836763393742,0.08103527998586402,4.630555874639991e-09,0.7049896220150924,True,True
nw1,3,C3 (Western Residual),4.5,4.538781897576199,1.8156725309197597,0.07884707453499946,5.0553929286087735e-09,0.7044670934919284,True,True
nw1,3,C3 (Western Residual),4.6,4.549031124785658,1.8006388635233417,0.07676370189812197,5.5084293286714225e-09,0.7039553705232632,True,True
nw1,3,C3 (Western Residual),4.7,4.558572672695064,1.78659044601646,0.07477851833085433,5.989968291751073e-09,0.7034548829540939,True,True
nw1,3,C3 (Western Residual),4.8,4.567468037914421,1.773444397563182,0.07288535858479142,6.500240148798671e-09,0.7029659037515854,True,True
nw1,3,C3 (Western Residual),4.9,4.575772412841758,1.7611261184732587,0.07107850323111371,7.039402939848407e-09,0.7024885796350326,True,True
nw1,3,C3 (Western Residual),5.0,4.583535414815762,1.7495683552516672,0.06935264686992952,7.607543874104457e-09,0.7020229561130423,True,True
nw1,3,C3 (Western Residual),5.1,4.590801723501658,1.7387103802280777,0.06770286767029438,8.204681480787096e-09,0.7015689979604831,True,True
nw1,3,C3 (Western Residual),5.2,4.597611638627999,1.7284972711507431,0.06612459850938976,8.830768302663294e-09,0.7011266059717509,True,True
