block,key,upstand_m,d_beta_1,d_beta_2,d_beta_3,beta_3_ground_frame,value
per_well,nw1,0.27,0.06327193346517479,-0.08832084199744239,-0.009341025427682809,0.10019449938254249,
per_well,nw2,0.59,0.09132241098393212,-0.1258693431847071,-0.014607458776412799,0.08162907714261791,
per_well,nw3,0.05,0.0005315849838227749,-0.002399839792430747,-0.0010089449953037122,0.06741336521708333,
per_well,nw4,0.07,0.0019295724764760713,-0.004842371057993677,-0.0011577157280872816,0.05965411413253212,
per_well,nw4b,0.08,0.0016709473343516912,-0.005009996723007948,-0.0013953473606686806,0.06105753846798165,
per_well,nw5,0.0,0.0,0.0,0.0,0.049824382740351454,
per_well,nw6,0.08,0.001648937359951752,-0.003204210026227061,-0.0013859949920645015,0.05852841531146123,
per_well,nw7,0.03,0.002089997764789686,-0.0020433226417302386,-0.00047430265494468465,0.046199649014951466,
per_well,nw9,0.031,0.001471102020281112,-0.0020608437312696903,-0.00048338886154147137,0.05076520133627621,
per_well,nw10,0.14,0.01409929530175802,-0.014866075123339595,-0.0014750344675718494,0.039969995298225605,
per_well,nw11,0.15,0.019809191922392166,-0.02615532503673812,-0.0030703767582426073,0.07563098122129973,
per_well,nw13,0.05,0.006294785227127342,-0.009733153978765285,-0.0011668226068664855,0.08848830978246736,
per_well,ceh1,0.04,0.005184618685764697,-0.006313399864287916,-0.0006375642464757081,0.06657143688697303,
per_well,ceh2,0.71,0.03158661243433247,-0.02393756142315473,-0.005866060603438406,0.019076047215110168,
per_well,ceh4,0.07,0.004686582258620398,-0.007921325102760668,-0.0014159083417922408,0.06909535903712893,
per_well,ceh5,0.05,0.004249520390081862,-0.010420959708585364,-0.0012449692309728783,0.0983242060374733,
per_well,ceh6,0.15,0.007347949347948912,-0.037903622405820514,-0.004777847361785534,0.12219793571925629,
per_well,ceh9,0.0,0.0,0.0,0.0,0.034959868071550326,
per_well,ceh10,0.04,0.006501905678235609,-0.011675484820657944,-0.0012370285990491864,0.10121163366186021,
per_well,ceh11,0.05,0.003199253392428325,-0.008810876155366354,-0.0012539079384559365,0.0925044649612415,
per_well,ceh13,0.09,-0.00034508916908393417,0.0006171392077161109,-5.233173781836464e-05,0.0006527739859413691,
per_well,ceh14,0.0,0.0,0.0,0.0,-0.02029147414312917,
per_well,ceh16,0.07,0.0031184301837896555,-0.003599433779384098,-0.00085918864882914,0.03899576046125788,
per_well,ceh17,0.09,0.00815719824041139,-0.010552983025987395,-0.0028399616228935234,0.05914428714985098,
per_well,ceh18,0.06,0.004031132646886704,-0.005596759666046669,-0.0011063936513946784,0.06073534830053992,
per_well,ceh19,0.15,0.00434265723099081,-0.007222837819571448,-0.0023394820726065566,0.0444637711288769,
per_well,ceh20,0.11,0.005540240456420875,-0.005540935747413656,-0.0007994555978946064,0.023344035717624414,
per_well,ceh21,0.05,0.0018163950149920893,-0.00260103058384642,-0.0007488688624095602,0.04366293804197634,
per_well,ceh23,0.06,0.0026423013430871833,-0.009602753199532799,-0.0015142477411224653,0.09441811522320448,
per_well,ceh24,0.15,0.009635786482927955,-0.019404789508580045,-0.0029421147381922808,0.07451392876448873,
per_well,ceh25,0.025,0.002245651765718115,-0.008220780754763346,-0.000835528611702302,0.13434145134502273,
per_well,ceh26,0.025,0.0008600174372368485,-0.0035083069409405088,-0.0005900645200120902,0.08761778537218887,
per_well,ceh27,0.04,0.002668338695568373,-0.007514015246107175,-0.0010043237648919012,0.09835636217726085,
per_well,ceh28,-0.14,-0.002816824151386399,0.011888021888794897,0.0029531452723909613,0.07805750655498356,
per_well,ceh30,0.06,0.0030460919290757893,-0.0026104304388097077,-0.0006390464933201355,0.02644979402466932,
per_well,ceh31,0.17,0.0038323974326028853,-0.0060597714863679375,-0.0032541661057833016,0.04020858524856575,
per_well,Ceh32,0.04,0.0019225032439194045,-0.0016511105412742033,-0.0002130723370212806,0.01625546523367688,
per_well,ceh33,0.06,0.0031003704889509542,-0.0026578907833778587,-0.0005173488666074255,0.022615706376002118,
per_well,ceh34,0.05,0.0006999916977212806,-0.00045785596146474816,-0.00014291455529747386,0.009387441007877563,
per_well,ceh36,0.03,0.000788150788432862,-0.001646688987127387,-0.0004560813414186543,0.050610543589148335,
per_well,ceh39,0.04,0.0013013556932648385,-0.001414589399488797,-0.000374034692233835,0.0335400388138642,
per_well,ceh40,0.05,0.0005478425422840161,-0.0008737165568997174,-0.0005839146247816895,0.03714287468246382,
per_well,ceh41,0.06,0.0013060825913280283,-0.0017660701554209624,-0.0006537986056166303,0.037323126880347786,
per_well,ceh42,0.13,0.004193265246972722,-0.00894415952652805,-0.001907065257180783,0.05176654404258359,
per_well,WMC1,0.05,0.002127631718670475,-0.0034770009108342492,-0.00082599672453125,0.05824160875955017,
per_well,WMC2,0.05,0.0023897620262562924,-0.0033736840666473977,-0.0006642321078556696,0.04744362091529891,
per_well,wmc3,0.08,0.0021709395590812086,-0.0025969918936294967,-0.0010427655933898175,0.03464308401728843,
per_well,wmc4,0.04,0.00533633758409735,-0.00804092083121688,-0.0009342397361852828,0.08891709365247175,
per_well,L7,0.06,0.010069857407086324,-0.014685937952180428,-0.0017008908899125569,0.08525492117204352,
per_well,D5,0.1,0.00690801180142131,-0.011306783260773834,-0.0019336206731713906,0.07071615882559354,
per_well,D6,0.05,0.0033816274047104855,-0.005806651282568964,-0.0008900632198953762,0.06719526646914023,
per_well,D7,0.1,0.002484931846691296,-0.009232685326021395,-0.002199810938323374,0.07598791070080456,
per_well,D8,0.05,0.0020850942779238046,-0.0033649202301349046,-0.0007637993520488023,0.05675018355975307,
per_well,D9,0.02,0.0015378830747891925,-0.0021139154030835883,-0.0003212699600782659,0.06230797139050788,
per_well,D10,0.04,0.0023013978991857087,-0.0034819890610271464,-0.0006201030924658096,0.05950455477579476,
per_well,D15,0.15,0.010357906929463923,-0.01601161718372457,-0.0024314027904391577,0.06283758865249625,
per_well,D17,0.05,0.0029805700570246785,-0.005251559434420017,-0.0009434732714549837,0.07242073552037774,
per_well,D25,0.05,0.0031101480535591364,-0.005451040089784032,-0.0008913681923143069,0.06618166348733005,
per_well,D38,0.11,0.01471112957725218,-0.029198898084179303,-0.0031456163259070413,0.10892240599514577,
per_well,D41,0.08,0.0032799172835087376,-0.007662990735523012,-0.0014493510460679149,0.0663853619816698,
per_well,T41a,0.4,0.05257461064142088,-0.09777259282897388,-0.010080872987849612,0.0962838877438416,
per_well,T41b,0.0,0.0,0.0,0.0,0.06592275841699627,
per_well,T41c,0.09,0.005079030452915134,-0.010448061463498082,-0.0016803569999150059,0.0708245145416409,
per_well,T41d,0.11,0.005515373124448608,-0.011732337965588924,-0.002182025768832946,0.06911855040749573,
per_well,D43,0.0,0.0,0.0,0.0,0.07702766407705554,
per_well,D44,0.08,0.005858436721767113,-0.013194317560358382,-0.002045694133669451,0.09021156214143478,
summary,corr_upstand_vs_d_beta_1,,,,,,0.803642263244116
summary,corr_upstand_vs_d_beta_1_p,,,,,,4.601523717782765e-16
summary,corr_upstand_vs_d_beta_2,,,,,,-0.7442919911624298
summary,corr_upstand_vs_d_beta_2_p,,,,,,7.941317253612014e-13
summary,corr_upstand_vs_d_beta_3,,,,,,-0.8549660586569608
summary,corr_upstand_vs_d_beta_3_p,,,,,,6.555328318617075e-20
summary,beta_3_shift_pct_median,,,,,,1.786694315458274
summary,beta_3_shift_pct_max,,,,,,30.750923067499485
summary,n_wells,,,,,,66.0
