Match_ID,Original_Cluster,Cluster_Label,dist_coast_m,empirical_slope_m_yr,model_delta_mm_yr,obs_years,total_drift_m,Best_Original,Best_Detrended_FF,Best_Detrended_Summer,Best_Detrended_Full,Best_Detrended_L500,Best_Detrended_L1500,D_C1,D_C2,D_C3,D_C4,D_C5,D_C2_DT,D_C3_DT,Margin_C3_C2_Orig,Margin_C3_C2_DT
nw1,C3,C3 (Western Residual),1316.9,-0.0132857142857138,-0.0,20.922655715263517,-0.0,C3,C3,C3,C3,C3,C3,0.13847625356902604,0.05773212591018062,0.018863474456290885,0.13912500595811472,0.24495585668485786,0.05773212591018062,0.018863474456290885,-0.038868651453889735,-0.038868651453889735
nw2,C3,C3 (Western Residual),1282.2,-0.0137272727272723,-0.0,20.922655715263517,-0.0,C3,C3,C3,C3,C3,C3,0.14528996401583716,0.06116700079790405,0.01895137994955831,0.12856775152182054,0.2343024832378786,0.06116700079790405,0.01895137994955831,-0.042215620848345736,-0.042215620848345736
nw3,C2,C2 (Dune),1396.9,-0.0088746470920381,-0.0,20.922655715263517,-0.0,C2,C2,C2,C2,C2,C2,0.084287205103311,0.03699277742758145,0.06174471650932245,0.2873048650064979,0.3560521411324088,0.03699277742758145,0.06174471650932245,0.024751939081741003,0.024751939081741003
nw4,C2,C2 (Dune),1478.0,-0.0139999999999999,-0.0,20.922655715263517,-0.0,C2,C2,C2,C2,C2,C2,0.08329342860364375,0.05149016634753245,0.08642965672981962,0.2721381885867995,0.3223262144396427,0.05149016634753245,0.08642965672981962,0.034939490382287164,0.034939490382287164
nw4b,C2,C2 (Dune),1471.7,-0.0116503759398495,-0.0,20.0,-0.0,C2,C2,C2,C2,C2,C2,0.07447210334999566,0.04821598063273291,0.08209457962548716,0.2777531717138779,0.32463891308689496,0.04821598063273291,0.08209457962548716,0.03387859899275425,0.03387859899275425
nw5,C3,C3 (Western Residual),459.7,-0.0136940600383213,-13.821168049792533,20.922655715263517,-0.28917554068860923,C3,C3,C3,C3,C3,C3,0.21824116776096436,0.09500922262977918,0.025952781803748493,0.10581083620129406,0.180181122570782,0.0808972879346419,0.022745403663167685,-0.06905644082603069,-0.05815188427147422
nw6,C3,C3 (Western Residual),502.5,-0.0102077922077915,-12.648163900414938,20.922655715263517,-0.2646331787186063,C3,C3,C3,C3,C3,C3,0.1910181558664612,0.09823789447374442,0.022168424632066808,0.1455160157289752,0.21572802459917484,0.08807946097674635,0.02994286122512224,-0.07606946984167762,-0.05813659975162411
nw7,C3,C3 (Western Residual),694.8,-0.018598167906524,-7.377867219917013,20.922655715263517,-0.15436457575525206,C4,C3,C4,C3,C4,C3,0.3009619083864373,0.17261459435190285,0.054215610682426085,0.05212730202178906,0.14646131530115902,0.15333054358537912,0.0405658154212144,-0.11839898366947677,-0.11276472816416472
nw9,C5,C5 (Coastal Forest),419.4,-0.032721804511278,-14.925655601659752,20.0,-0.2985131120331951,C5,C3,C5,C3,C5,C3,0.3419510460696301,0.25615751853901136,0.11623626530440256,0.10902279647419988,0.033032938536701306,0.18595008164028526,0.060870677983846044,-0.1399212532346088,-0.12507940365643921
nw10,C4,C4 (Main Forest),,,,18.757015742642025,,C4,n/a,n/a,n/a,n/a,n/a,0.3213368042862491,0.18829729666745032,0.06974872208415739,0.03292701863369407,0.18743843051774378,,,-0.11854857458329293,
nw11,C3,C3 (Western Residual),1375.8,-0.0103859649122802,-0.0,18.757015742642025,-0.0,C3,C3,C3,C3,C3,C3,0.15908712035057593,0.059442326766428244,0.011766702731564105,0.11122196064849288,0.15611933565834013,0.059442326766428244,0.011766702731564105,-0.04767562403486414,-0.04767562403486414
nw13,C3,C3 (Western Residual),1371.3,0.0044395604395598,-0.0,14.001368925393566,-0.0,C2,C2,C2,C2,C2,C2,0.08575138169837315,0.018696222448376543,0.019858421107577406,0.16404198824878768,0.06067425236520063,0.018696222448376543,0.019858421107577406,0.0011621986592008637,0.0011621986592008637
ceh1,C3,C3 (Western Residual),1086.9,-0.0130375939849623,-0.0,19.838466803559207,-0.0,C3,C3,C3,C3,C3,C3,0.21607754105191823,0.09828518311993817,0.014581717990157395,0.0746372658869986,0.19342591984817292,0.09828518311993817,0.014581717990157395,-0.08370346512978077,-0.08370346512978077
ceh2,C4,C4 (Main Forest),,,,19.838466803559207,,C4,n/a,n/a,n/a,n/a,n/a,0.3599318424073883,0.2218712980283175,0.07624854778999024,0.020509068399737207,0.20367913564078022,,,-0.14562275023832727,
ceh4,C3,C3 (Western Residual),220.7,-0.0315413533834584,-20.371354771784233,19.756331279945243,-0.4024632334926626,C3,C3,C3,C3,C3,C3,0.21360844418138147,0.16668844709673303,0.0798847277404151,0.1757202079258373,0.10356856998945985,0.0785577070742518,0.026527073931777112,-0.08680371935631792,-0.05203063314247469
ceh9,C3,C3 (Western Residual),784.8,-0.0155187969924811,-4.911269709543569,19.756331279945243,-0.0970286713869032,C3,C3,C3,C3,C3,C3,0.25456991169439436,0.11960521437684601,0.02305785528021065,0.0670211781713731,0.1838867367828375,0.10806913501612803,0.01999925625399357,-0.09654735909663537,-0.08806987876213446
ceh10,C2,C2 (Dune),1122.7,-0.0095413533834586,-0.0,19.756331279945243,-0.0,C2,C2,C2,C2,C2,C2,0.13395384806173627,0.06623380867241346,0.07598372471642234,0.2753084572192911,0.3248280721552044,0.06623380867241346,0.07598372471642234,0.009749916044008877,0.009749916044008877
ceh13,C4,C4 (Main Forest),879.0,-0.0165806390352745,-2.3295643153526977,19.756331279945243,-0.04602364435204673,C4,C4,C4,C4,C4,C4,0.5736170826982331,0.41342636107048825,0.2186794841056825,0.03592247961853534,0.27388347717500483,0.4099391847589534,0.21911609173861013,-0.19474687696480575,-0.19082309302034328
ceh14,C4,C4 (Main Forest),1404.7,-0.0085698143664232,-0.0,19.756331279945243,-0.0,C4,C4,C4,C4,C4,C4,0.5411633245990068,0.34856379588339415,0.19815534985611982,0.06951626418331491,0.3485097295362758,0.34856379588339415,0.19815534985611982,-0.15040844602727432,-0.15040844602727432
ceh16,C5,C5 (Coastal Forest),,,,18.590006844626966,,C5,n/a,n/a,n/a,n/a,n/a,0.32500038375615325,0.2142835693605174,0.08206016555465356,0.06512041735920315,0.01766119443682168,,,-0.13222340380586384,
ceh17,C5,C5 (Coastal Forest),,,,18.590006844626966,,C5,n/a,n/a,n/a,n/a,n/a,0.35827009955221933,0.2745639006894658,0.13775531580878508,0.12173304797706408,0.008644146450552892,,,-0.1368085848806807,
ceh18,C3,C3 (Western Residual),302.0,-0.0312009803921567,-18.14319502074689,18.50513347022587,-0.33574224543525866,C3,C3,C3,C3,C3,C3,0.1896055044985545,0.10703731563490348,0.04303172501851005,0.14240831175499757,0.056117447520557584,0.0647439662924153,0.015615364326551973,-0.06400559061639344,-0.04912860196586333
ceh19,C5,C5 (Coastal Forest),,,,17.921971252566735,,C5,n/a,n/a,n/a,n/a,n/a,0.23963980635539817,0.16149688846667232,0.08491503960744329,0.13631918327497017,0.022223859690587378,,,-0.07658184885922903,
ceh20,C4,C4 (Main Forest),,,,17.251197809719372,,C4,n/a,n/a,n/a,n/a,n/a,0.3888603515281164,0.21783321941934897,0.08192236512069051,0.006022691660107715,0.06741123851373498,,,-0.13591085429865846,
