id,easting,northing,longitude,latitude
R001,241458.8,363360.6,-4.37184816,53.14373503
R002,242797.7,363784.9,-4.35205675,53.14794272
R003,242900.5,362971.4,-4.35012191,53.14066671
R004,241548.5,362846.0,-4.37025368,53.13913998
R005,243117.9,363417.9,-4.34709346,53.14474098
R006,242436.7,364284.8,-4.35769576,53.15232578
R007,242741.4,363600.3,-4.35280714,53.14626814
R008,242853.2,364269.1,-4.35146536,53.15230788
R009,243663.9,363772.3,-4.33911040,53.14808457
R010,241364.5,363552.1,-4.37335161,53.14542686
R011,241926.0,364191.3,-4.36527961,53.15133465
R012,243369.1,362798.5,-4.34303811,53.13925183
R013,241771.2,363397.7,-4.36720008,53.14416114
R014,241691.7,363490.7,-4.36843358,53.14497277
R015,242184.1,363306.1,-4.36098723,53.14346097
R016,241237.6,363248.6,-4.37509675,53.14266324
R017,242303.1,363340.6,-4.35922669,53.14380608
R018,243327.5,363309.3,-4.34390934,53.14382731
R019,243819.6,363462.6,-4.33663329,53.14534871
R020,243513.4,363348.7,-4.34115169,53.14423583
R021,243410.6,364229.5,-4.34311813,53.15211645
R022,243791.5,363271.5,-4.33695983,53.14362411
R023,241964.5,362441.8,-4.36384101,53.13563332
R024,243930.5,363552.5,-4.33502047,53.14618865
R025,241728.8,364479.7,-4.36836839,53.15386626
R026,242806.0,362772.9,-4.35143598,53.13885603
R027,242563.3,363377.1,-4.35535791,53.14421088
R028,243028.2,363841.5,-4.34864108,53.14851907
R029,242577.7,363550.3,-4.35522796,53.14577070
R030,242365.4,363615.4,-4.35843137,53.14629259
R031,241399.0,362858.4,-4.37249270,53.13920685
R032,243144.7,364438.7,-4.34719333,53.15391708
R033,242681.4,363838.7,-4.35382059,53.14839157
R034,243018.4,364373.0,-4.34904815,53.15328978
R035,243087.2,363266.6,-4.34747791,53.14337305
R036,242635.9,362552.2,-4.35386813,53.13682362
R037,242279.3,364456.2,-4.36013185,53.15381857
R038,242611.6,362838.9,-4.35437192,53.13939139
R039,241888.4,363623.1,-4.36556071,53.14622033
R040,240954.2,363163.3,-4.37928748,53.14181259
R041,242571.9,363135.6,-4.35511072,53.14204443
R042,242836.1,362308.2,-4.35075842,53.13469126
R043,242433.0,362570.6,-4.35690750,53.13692890
R044,243112.8,362938.7,-4.34693488,53.14043560
R045,242460.1,363985.8,-4.35719899,53.14964729
R046,242113.3,362912.0,-4.36185050,53.13990046
R047,241648.6,363849.5,-4.36925486,53.14818243
R048,243060.8,364227.5,-4.34834331,53.15199549
R049,241110.9,362840.2,-4.37678663,53.13895753
R050,242194.4,362139.2,-4.36025851,53.13298372
R051,241777.8,363205.6,-4.36700657,53.14243780
R052,242213.8,364050.0,-4.36091022,53.15015096
R053,242904.9,363921.9,-4.35052253,53.14920481
R054,242197.2,362742.7,-4.36051396,53.13840478
R055,243763.5,363026.2,-4.33725840,53.14141274
R056,241605.7,362990.8,-4.36947097,53.14045747
R057,241586.4,364256.9,-4.37038568,53.15182289
R058,243029.9,362823.5,-4.34811664,53.13937651
R059,242768.9,364483.3,-4.35283007,53.15420679
R060,242033.6,363807.1,-4.36348247,53.14791598
R061,242016.8,363630.5,-4.36364630,53.14632490
R062,243422.7,363193.7,-4.34243075,53.14281705
R063,241873.3,362745.3,-4.36535285,53.13833208
R064,241440.9,364064.8,-4.37246429,53.15005428
R065,241512.8,363067.2,-4.37089634,53.14111601
R066,242681.8,362270.1,-4.35304408,53.13430353
R067,242065.5,364444.4,-4.36332038,53.15364921
R068,242210.9,363586.1,-4.36072490,53.14598368
R069,242752.6,362425.4,-4.35206297,53.13571924
R070,241141.7,363151.5,-4.37648102,53.14176257
R071,241726.0,363673.9,-4.36801178,53.14662834
R072,243195.7,363600.5,-4.34602072,53.14640390
R073,243657.8,363366.8,-4.33900351,53.14444081
R074,243596.6,364001.8,-4.34022793,53.15012605
R075,241907.4,363151.7,-4.36504415,53.14199220
R076,242641.8,364519.3,-4.35474679,53.15449257
R077,241312.6,363795.4,-4.37424748,53.14759652
R078,242919.2,364105.7,-4.35039909,53.15085980
R079,242158.1,362409.3,-4.36093366,53.13539883
R080,242930.4,364627.8,-4.35048801,53.15555227
R081,241862.2,363794.4,-4.36603670,53.14775104
R082,242728.0,363400.3,-4.35290907,53.14446791
R083,242718.9,364365.0,-4.35351899,53.15312953
R084,241543.1,363695.7,-4.37075478,53.14676973
R085,241961.6,364310.5,-4.36480660,53.15241579
R086,242757.9,364822.6,-4.35316116,53.15725091
R087,241546.4,362501.3,-4.37011454,53.13604351
R088,241956.9,364586.2,-4.36501298,53.15489053
R089,243540.7,363692.3,-4.34091180,53.14732987
R090,241725.1,364312.6,-4.36834103,53.15236439
R091,243055.6,364557.6,-4.34858289,53.15495871
R092,243464.3,363074.4,-4.34175105,53.14175780
R093,243437.2,364080.9,-4.34264803,53.15078963
R094,242532.3,362208.6,-4.35524652,53.13370701
R095,241041.1,363343.9,-4.37807914,53.14346054
R096,243613.6,362981.7,-4.33947570,53.14096908
R097,241906.1,362195.2,-4.36459150,53.13340121
R098,242056.7,362083.6,-4.36228746,53.13244356
R099,241790.6,362313.1,-4.36637456,53.13442581
R100,242435.3,362336.7,-4.35675811,53.13482884
R101,243265.0,363947.6,-4.34515542,53.14954175
R102,242987.3,363595.4,-4.34913139,53.14629669
R103,241121.9,363487.8,-4.37694362,53.14477704
R104,243273.3,364147.2,-4.34512916,53.15133688
R105,243356.1,363516.7,-4.34358359,53.14569847
R106,243346.0,363049.5,-4.34350590,53.14149938
R107,241837.3,363047.2,-4.36603960,53.14103284
R108,242932.5,362407.8,-4.34936758,53.13561424
R109,241970.8,362982.9,-4.36401387,53.14049497
R110,241994.3,363456.8,-4.36389669,53.14475818
R111,243167.2,362628.5,-4.34597045,53.13766558
R112,243090.1,363112.4,-4.34735904,53.14198898
R113,241568.9,363461.1,-4.37025329,53.14467041
R114,242437.5,363302.7,-4.35720045,53.14350546
R115,241174.7,362736.0,-4.37578208,53.13804072
R116,242301.0,363765.9,-4.35946753,53.14762521
R117,242390.0,362075.1,-4.35730595,53.13246592
R118,241766.1,362867.8,-4.36701444,53.13940045
R119,242598.6,363959.7,-4.35511704,53.14945384
R120,241161.9,363003.8,-4.37610605,53.14044207
R121,242648.7,364889.1,-4.35482554,53.15781590
R122,242470.0,364721.8,-4.35741337,53.15626047
R123,242024.6,362327.4,-4.36288703,53.13462369
R124,243114.5,362507.1,-4.34669809,53.13655972
R125,241791.5,364000.0,-4.36719448,53.14957659
R126,242615.9,365009.5,-4.35537488,53.15888756
R127,243516.6,362909.6,-4.34088933,53.14029302
R128,241944.0,363906.1,-4.36486986,53.14877854
R129,243242.4,363823.3,-4.34543219,53.14841871
R130,242217.7,363156.9,-4.36041183,53.14213092
R131,242329.2,364757.7,-4.35953485,53.15654122
R132,241246.5,363528.2,-4.37510243,53.14517704
R133,241373.5,363098.1,-4.37299228,53.14135206
R134,243491.4,363900.7,-4.34175017,53.14918712
