site,e_martin,n_martin,e_ref,n_ref,moved_m,ranwell_m,target_m,dem_martin,dem_ref,resid_before,resid_after,slope,accept_cells_within_80m
1,242586.8,364583.2,242557.0,364615.0,43.6,9.11,9.17,9.72,9.19,0.56,0.03,0.022,803
2,242141.1,364125.0,242141.0,364119.0,6.0,10.89,10.95,11.11,10.95,0.16,0.01,0.041,937
3,241718.0,363247.0,241713.0,363243.0,6.4,7.42,7.48,7.75,7.48,0.27,0.01,0.092,1221
4,241874.1,364311.0,241879.0,364313.0,5.3,11.62,11.68,11.65,11.68,-0.03,0.0,0.043,2547
5,242079.6,364010.3,242077.0,364013.0,3.7,11.21,11.27,11.15,11.26,-0.12,-0.01,0.031,1176
6,242083.2,363818.5,242079.0,363821.0,4.8,10.56,10.62,10.31,10.61,-0.3,-0.01,0.132,2363
7,241797.7,363241.8,241799.0,363233.0,8.9,6.75,6.81,6.88,6.82,0.08,0.01,0.004,960
8,241648.0,363123.1,241643.0,363119.0,6.5,6.85,6.91,8.0,6.92,1.09,0.01,0.069,1116
10,241484.5,362942.6,241485.0,362939.0,3.6,4.38,4.44,4.56,4.45,0.12,0.01,0.005,141
11,242120.5,364239.3,242129.0,364233.0,10.6,11.08,11.14,11.02,11.12,-0.11,-0.01,0.015,2676
12,241750.0,364092.6,241771.0,364129.0,42.1,10.83,10.89,11.59,11.02,0.7,0.13,0.012,11
13,241691.5,364113.5,241689.0,364107.0,6.9,11.41,11.47,11.93,11.47,0.46,-0.0,0.05,1005
14,242137.3,364102.4,242137.0,364107.0,4.6,10.65,10.71,10.89,10.81,0.19,0.1,0.011,492
15,241900.2,363581.7,241903.0,363581.0,2.9,9.67,9.73,9.67,9.72,-0.06,-0.01,0.02,2327
16,242325.6,364428.9,242333.0,364421.0,10.8,10.28,10.34,10.15,10.3,-0.19,-0.04,0.01,2678
18,241744.7,363292.6,241743.0,363291.0,2.3,7.07,7.13,7.16,7.15,0.03,0.02,0.004,1436
