source,model,n_obs,AIC,delta_0_mm_yr,delta_0_se,delta_0_ci_lo,delta_0_ci_hi,L_m,L_se,L_ci_lo,L_ci_hi,c_mm_yr,c_se
full,linear_capped,12457,-35168.4,-29.22,1.88,-32.91,-25.53,971.0,58.0,859.0,1084.0,-6.82,0.57
full,exponential,12457,-35166.8,-39.06,3.01,-44.95,-33.17,514.0,84.0,350.0,679.0,-4.51,1.2
forest_free,linear_capped,11778,-34260.9,-28.83,1.92,-32.59,-25.07,894.0,52.0,792.0,995.0,-6.4,0.56
forest_free,exponential,11778,-34261.4,-40.24,3.83,-47.74,-32.73,407.0,64.0,281.0,532.0,-5.24,0.88
c3_only,linear_capped_cfix,3794,-10647.4,-26.08,2.55,-31.08,-21.08,972.0,83.0,808.0,1135.0,-6.4,
c3_only,exponential_cfix,3794,-10654.4,-29.51,3.77,-36.9,-22.11,652.0,108.0,441.0,863.0,-5.24,
