Cluster,Sy_WTF,Recharge (mm/yr),Atm. Draw (mm/yr),Drainage (mm/yr),Total Loss (mm/yr),Boundary Subsidy (mm/yr),Subsidy (% rainfall)
C1_Eastern_Lake-buffer,0.223,396,747,435,1182,785,88
C2_Eastern_Mature_Dune,0.234,380,715,366,1082,702,79
C3_Western_Mature_Dune,0.259,289,625,410,1035,746,84
C4_Forest,0.227,173,539,383,922,702,79
