Cluster,Sy,Recharge (mm/yr),Atm. Draw (mm/yr),Drainage (mm/yr),Total Loss (mm/yr),Subsidy (mm/yr),Subsidy (% rainfall),Subsidy SE (mm/yr)
C1_Eastern_Lake-buffer,0.08,142,268,156,424,282,32,13
C2_Eastern_Mature_Dune,0.12,195,367,188,555,360,40,37
C3_Western_Mature_Dune,0.12,134,289,190,479,346,39,45
C4_Forest,0.12,91,285,203,487,371,42,56
